shape,activations,loss_function,normalize,optimizer,validation_split,epochs,eps,experiments,use_rand_net,function,loss,huber_loss,log_cosh,mean_absolute_error,mean_absolute_percentage_error,mean_squared_error,mean_squared_logarithmic_error,relative,rae,my_mae,root_mean_squared_error,inlier_ratio,max_deviation,mean_deviation,val_loss,val_huber_loss,val_log_cosh,val_mean_absolute_error,val_mean_absolute_percentage_error,val_mean_squared_error,val_mean_squared_logarithmic_error,val_relative,val_rae,val_my_mae,val_root_mean_squared_error,val_inlier_ratio,val_max_deviation,val_mean_deviation,train_time,predict_loss,predict_huber_loss,predict_log_cosh,predict_mean_absolute_error,predict_mean_absolute_percentage_error,predict_mean_squared_error,predict_mean_squared_logarithmic_error,predict_relative,predict_rae,predict_my_mae,predict_root_mean_squared_error,predict_inlier_ratio,predict_max_deviation,predict_mean_deviation,predict_all_time
"[1, 32, 16, 8, 4, 1]","['elu', 'elu', 'elu', 'elu', 'linear']",Huber,False,Adam,0.2,50,0.001,True,False,LH_ODE_2_solution,0.06960951536893845,0.06960951536893845,0.0668191909790039,0.3116735816001892,3736481.75,0.1392190307378769,0.08263139426708221,0.7569233179092407,1.565895915031433,0.6006967425346375,0.37312066555023193,1.0,0.8930150866508484,0.7018961310386658,0.07981591671705246,0.07981591671705246,0.07725056260824203,0.38486015796661377,83.32251739501953,0.15963183343410492,0.09761253744363785,0.8332251906394958,3.8989064693450928,0.5353507399559021,0.3995395302772522,1.0,0.8757714033126831,0.8332252502441406,11.552656300016679,0.07476239651441574,0.07476239651441574,0.07185713201761246,0.3359791338443756,64553.875,0.14952479302883148,0.0884421244263649,0.96746826171875,1.9931873083114624,0.6012619733810425,0.3866843581199646,0.9940000176429749,6.323988437652588,0.9667656421661377,2.1126468000002205
"[1, 32, 16, 8, 4, 1]","['relu', 'relu', 'relu', 'relu', 'linear']",Huber,False,Adam,0.2,50,0.001,True,False,LH_ODE_2_solution,0.06739496439695358,0.06739496439695358,0.06473229080438614,0.30533504486083984,4748426.0,0.13478992879390717,0.07936464995145798,0.741039514541626,1.5340501070022583,0.5965129733085632,0.36713749170303345,1.0,0.8867953419685364,0.6880362033843994,0.07817824184894562,0.07817824184894562,0.07568201422691345,0.3799174129962921,82.04934692382812,0.15635648369789124,0.09515801817178726,0.8204934597015381,3.848832845687866,0.5338256359100342,0.3954193890094757,1.0,0.8732764720916748,0.8204934597015381,9.01690490002511,0.07368990778923035,0.07368990778923035,0.07082638889551163,0.33207324147224426,77400.796875,0.1473798155784607,0.08682110905647278,1.0073484182357788,1.969832420349121,0.6019789576530457,0.38390079140663147,0.9919999837875366,7.633398532867432,1.006701946258545,1.7547456999891438
"[1, 32, 16, 8, 4, 1]","['gelu', 'gelu', 'gelu', 'gelu', 'linear']",Huber,False,Adam,0.2,50,0.001,True,False,LH_ODE_2_solution,0.06487653404474258,0.06487653404474258,0.06238466501235962,0.29881271719932556,5275775.0,0.12975306808948517,0.07576258480548859,0.7257668972015381,1.5012807846069336,0.5876563191413879,0.3602125346660614,1.0,0.8736287951469421,0.6738182306289673,0.0747697502374649,0.0747697502374649,0.07246002554893494,0.3708629608154297,79.95435333251953,0.1495395004749298,0.09020785987377167,0.7995434999465942,3.7571048736572266,0.5246418714523315,0.38670337200164795,1.0,0.8582529425621033,0.7995434999465942,9.308224600041285,0.07075788080692291,0.07075788080692291,0.06808778643608093,0.32451680302619934,86187.15625,0.14151576161384583,0.08262311667203903,1.0264707803726196,1.924872875213623,0.5927066802978516,0.376185804605484,0.9909999966621399,8.542441368103027,1.02586829662323,1.834081300010439
"[1, 32, 16, 8, 4, 1]","['selu', 'selu', 'selu', 'selu', 'linear']",Huber,False,Adam,0.2,50,0.001,True,False,LH_ODE_2_solution,0.03338134288787842,0.03338134288787842,0.03268539160490036,0.21725504100322723,12199909.0,0.06676268577575684,0.03535120189189911,0.6761362552642822,1.0915226936340332,0.43618497252464294,0.2583847641944885,1.0,2.997321605682373,0.6380360126495361,0.030606262385845184,0.030606262385845184,0.030114121735095978,0.22534695267677307,46.61454391479492,0.06121252477169037,0.03203471004962921,0.46614542603492737,2.2829244136810303,0.368341863155365,0.24741165339946747,1.0,0.6025643348693848,0.46614545583724976,9.013099899981171,0.03314226120710373,0.03314226120710373,0.032484639436006546,0.22029177844524384,204795.359375,0.06628452241420746,0.03434062749147415,1.3948009014129639,1.3016471862792969,0.42972099781036377,0.25745779275894165,0.9739999771118164,21.387447357177734,1.3948591947555542,1.7455279999994673
"[1, 32, 16, 8, 4, 1]","['exponential', 'exponential', 'exponential', 'exponential', 'linear']",Huber,False,Adam,0.2,50,0.001,True,False,LH_ODE_2_solution,0.02240181528031826,0.02240181528031826,0.022143274545669556,0.19056349992752075,19111362.0,0.04480363056063652,0.02477569878101349,0.8494900465011597,0.957420289516449,0.3213931620121002,0.2116686850786209,1.0,5.21984338760376,0.8252125978469849,0.011128959245979786,0.011128959245979786,0.011037454009056091,0.11860072612762451,22.613609313964844,0.022257918491959572,0.01041606068611145,0.22613610327243805,1.2015094757080078,0.2502330541610718,0.14919087290763855,1.0,0.4093520939350128,0.22613608837127686,8.436041600012686,0.019289350137114525,0.019289350137114525,0.01908605732023716,0.17277823388576508,319514.6875,0.03857870027422905,0.020413096994161606,1.9496694803237915,1.0133696794509888,0.30960696935653687,0.19641461968421936,0.9549999833106995,33.8868522644043,1.9504386186599731,1.7445661000092514
"[1, 32, 16, 8, 4, 1]","['linear', 'linear', 'linear', 'linear', 'linear']",Huber,False,Adam,0.2,50,0.001,True,False,LH_ODE_2_solution,0.04427175223827362,0.04427175223827362,0.04303888976573944,0.24655482172966003,9971241.0,0.08854350447654724,0.04830338433384895,0.6756218671798706,1.2387291193008423,0.5001570582389832,0.2975625991821289,1.0,2.237978935241699,0.6330642104148865,0.045809775590896606,0.045809775590896606,0.04481971636414528,0.28312015533447266,59.74188995361328,0.09161955118179321,0.050752583891153336,0.5974189043045044,2.8682079315185547,0.4332294464111328,0.30268722772598267,1.0,0.7087128758430481,0.5974189043045044,8.557309099996928,0.04612739384174347,0.04612739384174347,0.044885192066431046,0.25872743129730225,165869.5625,0.09225478768348694,0.04977308586239815,1.2620044946670532,1.5318509340286255,0.4987861216068268,0.3037347197532654,0.9810000061988831,17.106834411621094,1.2618032693862915,1.7643332000006922
"[1, 32, 16, 8, 4, 1]","['sigmoid', 'sigmoid', 'sigmoid', 'sigmoid', 'linear']",Huber,False,Adam,0.2,50,0.001,True,False,LH_ODE_2_solution,0.04833214730024338,0.04833214730024338,0.04686824232339859,0.25662872195243835,9426312.0,0.09666429460048676,0.053427234292030334,0.6820805072784424,1.2893420457839966,0.5218400955200195,0.31090882420539856,0.9375,2.0479862689971924,0.6390590071678162,0.05203930661082268,0.05203930661082268,0.05079549923539162,0.3034006953239441,64.30322265625,0.10407861322164536,0.058810412883758545,0.6430321931838989,3.0736641883850098,0.45735883712768555,0.3226121664047241,1.0,0.7481857538223267,0.6430321931838989,8.772176500002388,0.05168566852807999,0.05168566852807999,0.05014532431960106,0.27383145689964294,154053.40625,0.10337133705615997,0.05678500235080719,1.2315139770507812,1.6219911575317383,0.5255487561225891,0.3215141296386719,0.9829999804496765,15.809212684631348,1.231237530708313,1.768707400013227
"[1, 32, 16, 8, 4, 1]","['hard_sigmoid', 'hard_sigmoid', 'hard_sigmoid', 'hard_sigmoid', 'linear']",Huber,False,Adam,0.2,50,0.001,True,False,LH_ODE_2_solution,0.03807228058576584,0.03807228058576584,0.03716514632105827,0.23146554827690125,12785196.0,0.07614456117153168,0.04093930125236511,0.7113772630691528,1.1629184484481812,0.4680919945240021,0.2759430408477783,1.0,3.134089231491089,0.6744475364685059,0.03722552955150604,0.03722552955150604,0.03651364520192146,0.2498493194580078,51.88466262817383,0.07445105910301208,0.039945416152477264,0.5188466310501099,2.5311508178710938,0.40380579233169556,0.2728572189807892,1.0,0.6605792045593262,0.5188466310501099,8.910115999984555,0.03976207226514816,0.03976207226514816,0.03881638124585152,0.24056074023246765,207622.046875,0.07952414453029633,0.042088404297828674,1.441068410873413,1.422034740447998,0.4719938039779663,0.28200024366378784,0.9769999980926514,21.638748168945312,1.4410638809204102,1.9030898000346497
"[1, 32, 16, 8, 4, 1]","['swish', 'swish', 'swish', 'swish', 'linear']",Huber,False,Adam,0.2,50,0.001,True,False,LH_ODE_2_solution,0.07292734086513519,0.07292734086513519,0.06987936794757843,0.31910163164138794,3592854.5,0.14585468173027039,0.0874570682644844,0.7733820080757141,1.6032155752182007,0.61478590965271,0.38190925121307373,1.0,0.9139605164527893,0.7180675268173218,0.08525054156780243,0.08525054156780243,0.08234846591949463,0.39811035990715027,86.27079772949219,0.17050108313560486,0.10563302040100098,0.8627079725265503,4.033140182495117,0.551950991153717,0.41291776299476624,1.0,0.9029274582862854,0.8627079725265503,8.713571800035425,0.07977446168661118,0.07977446168661118,0.07649689167737961,0.3477253019809723,59063.06640625,0.15954892337322235,0.09572305530309677,0.9731176495552063,2.0628926753997803,0.6200599074363708,0.39943575859069824,0.9940000176429749,5.769876003265381,0.9723853468894958,1.7586271000327542
"[1, 32, 16, 8, 4, 1]","['tanh', 'tanh', 'tanh', 'tanh', 'linear']",Huber,False,Adam,0.2,50,0.001,True,False,LH_ODE_2_solution,0.04636252671480179,0.04636252671480179,0.04501595348119736,0.2514023184776306,9156460.0,0.09272505342960358,0.05090279132127762,0.6678763031959534,1.2630836963653564,0.5098729729652405,0.30450788140296936,0.9375,1.9799089431762695,0.6249613761901855,0.049070313572883606,0.049070313572883606,0.04796135425567627,0.2945782542228699,62.42462158203125,0.09814062714576721,0.05496974289417267,0.6242462396621704,2.9842867851257324,0.444061279296875,0.3132740557193756,1.0,0.7264324426651001,0.6242462396621704,8.758546500001103,0.0487164668738842,0.0487164668738842,0.04734586179256439,0.26599743962287903,152172.609375,0.0974329337477684,0.053012147545814514,1.2084569931030273,1.5755540132522583,0.5094193816184998,0.3121424913406372,0.9819999933242798,15.62392807006836,1.208191156387329,1.7225424000062048
