shape,activations,loss_function,normalize,optimizer,validation_split,epochs,eps,experiments,use_rand_net,function,loss,huber_loss,log_cosh,mean_absolute_error,mean_absolute_percentage_error,mean_squared_error,mean_squared_logarithmic_error,relative,rae,my_mae,root_mean_squared_error,inlier_ratio,max_deviation,mean_deviation,val_loss,val_huber_loss,val_log_cosh,val_mean_absolute_error,val_mean_absolute_percentage_error,val_mean_squared_error,val_mean_squared_logarithmic_error,val_relative,val_rae,val_my_mae,val_root_mean_squared_error,val_inlier_ratio,val_max_deviation,val_mean_deviation,train_time,predict_loss,predict_huber_loss,predict_log_cosh,predict_mean_absolute_error,predict_mean_absolute_percentage_error,predict_mean_squared_error,predict_mean_squared_logarithmic_error,predict_relative,predict_rae,predict_my_mae,predict_root_mean_squared_error,predict_inlier_ratio,predict_max_deviation,predict_mean_deviation,predict_all_time
"[1, 32, 16, 8, 4, 1]","['elu', 'elu', 'elu', 'elu', 'linear']",Huber,False,Adam,0.2,50,0.001,True,False,ST_LF_ODE_1_solution,0.03325401619076729,0.03325401619076729,0.03034479171037674,0.15627896785736084,1537047.25,0.06650803238153458,0.03409530222415924,5997.89404296875,0.9314544796943665,0.8986563086509705,0.2578915059566498,0.9375,149962.140625,15370.4716796875,0.0047541419044137,0.0047541419044137,0.004746563732624054,0.0974334254860878,987261.5,0.0095082838088274,0.00861565675586462,9872.615234375,23.450912475585938,0.10006018728017807,0.097510427236557,1.0,34140.2578125,9872.615234375,7.172560100036208,0.015087694860994816,0.015087694860994816,0.01437466125935316,0.12298645079135895,2133866.75,0.03017538972198963,0.018695669248700142,6649.75146484375,1.686671257019043,0.5915703177452087,0.1737106442451477,0.9929999709129333,214133.515625,21338.666015625,1.6571548000210896
"[1, 32, 16, 8, 4, 1]","['relu', 'relu', 'relu', 'relu', 'linear']",Huber,False,Adam,0.2,50,0.001,True,False,ST_LF_ODE_1_solution,0.03354666382074356,0.03354666382074356,0.030558869242668152,0.15487870573997498,1501862.125,0.06709332764148712,0.03436529263854027,5846.2939453125,0.9231086373329163,0.904959499835968,0.2590237855911255,1.0,146758.125,15018.6201171875,0.004324319772422314,0.004324319772422314,0.004318032413721085,0.09287422895431519,952120.0,0.008648639544844627,0.007870113477110863,9521.2001953125,22.353574752807617,0.09567075967788696,0.09299806505441666,1.0,32963.54296875,9521.2001953125,7.9586883000447415,0.01506844162940979,0.01506844162940979,0.014326308853924274,0.12005250155925751,2069379.5,0.03013688325881958,0.01854052022099495,6422.25830078125,1.6326498985290527,0.5983934998512268,0.17359977960586548,0.9940000176429749,208158.25,20693.79296875,1.4423983999877237
"[1, 32, 16, 8, 4, 1]","['gelu', 'gelu', 'gelu', 'gelu', 'linear']",Huber,False,Adam,0.2,50,0.001,True,False,ST_LF_ODE_1_solution,0.03784232214093208,0.03784232214093208,0.03381581977009773,0.12209939956665039,352597.0625,0.07568464428186417,0.03917846828699112,1372.482177734375,0.7277372479438782,0.9776784181594849,0.2751084268093109,1.0,34456.796875,3525.970703125,0.00022505177184939384,0.00022505177184939384,0.000225042924284935,0.020666426047682762,233435.1875,0.0004501035436987877,0.00043934350833296776,2334.351806640625,4.974130153656006,0.023461218923330307,0.021215643733739853,1.0,8083.607421875,2334.351806640625,9.869067599996924,0.015616809017956257,0.015616809017956257,0.014533903449773788,0.07574064284563065,507462.1875,0.031233618035912514,0.018253237009048462,1574.754150390625,0.8459972739219666,0.6664294004440308,0.17673034965991974,0.9929999709129333,51048.47265625,5074.62451171875,1.6322708000079729
"[1, 32, 16, 8, 4, 1]","['selu', 'selu', 'selu', 'selu', 'linear']",Huber,False,Adam,0.2,50,0.001,True,False,ST_LF_ODE_1_solution,0.03842557594180107,0.03842557594180107,0.03430674225091934,0.1228020116686821,350659.65625,0.07685115188360214,0.04003312811255455,1347.121826171875,0.7319250106811523,0.9834336042404175,0.27722039818763733,1.0,34552.57421875,3506.596435546875,0.00027390860486775637,0.00027390860486775637,0.0002738889306783676,0.022604143247008324,265939.5625,0.0005478172097355127,0.0005335216992534697,2659.3955078125,5.440512657165527,0.026870395988225937,0.023405496031045914,1.0,9258.24609375,2659.3955078125,7.180827900010627,0.015773186460137367,0.015773186460137367,0.014677776955068111,0.07756345719099045,592359.8125,0.031546372920274734,0.018508275970816612,1805.492431640625,0.873912513256073,0.6686014533042908,0.17761299014091492,0.9940000176429749,60198.234375,5923.59814453125,1.4238795000128448
"[1, 32, 16, 8, 4, 1]","['exponential', 'exponential', 'exponential', 'exponential', 'linear']",Huber,False,Adam,0.2,50,0.001,True,False,ST_LF_ODE_1_solution,0.0332769900560379,0.0332769900560379,0.03048550710082054,0.16333067417144775,1745442.0,0.0665539801120758,0.03450169786810875,6796.79345703125,0.9734840393066406,0.8888465762138367,0.2579805850982666,1.0,170522.921875,17454.421875,0.005854164250195026,0.005854164250195026,0.0058426763862371445,0.10810499638319016,1102159.125,0.011708328500390053,0.010505311191082,11021.591796875,26.01941680908203,0.11082520335912704,0.10820502787828445,1.0,38151.83984375,11021.591796875,7.002131499990355,0.015599925071001053,0.015599925071001053,0.014915487729012966,0.1306266039609909,2393755.75,0.031199850142002106,0.01970578357577324,7432.912109375,1.8181960582733154,0.5844098925590515,0.1766347885131836,0.9929999709129333,240713.703125,23937.552734375,1.427905999997165
"[1, 32, 16, 8, 4, 1]","['linear', 'linear', 'linear', 'linear', 'linear']",Huber,False,Adam,0.2,50,0.001,True,False,ST_LF_ODE_1_solution,0.0329284742474556,0.0329284742474556,0.030208667740225792,0.1640937626361847,1736335.375,0.0658569484949112,0.03412530571222305,6784.158203125,0.9780322313308716,0.8827871084213257,0.25662609934806824,1.0,169268.015625,17363.353515625,0.006353242788463831,0.006353242788463831,0.006339799612760544,0.11267878115177155,1130894.75,0.012706485576927662,0.011352619156241417,11308.947265625,27.120264053344727,0.11519256234169006,0.11272304505109787,1.0,39082.2109375,11308.947265625,7.139988499984611,0.015623630955815315,0.015623630955815315,0.014973231591284275,0.13359537720680237,2437202.0,0.03124726191163063,0.019891703501343727,7611.45263671875,1.8739007711410522,0.575675904750824,0.1767689436674118,0.9929999709129333,244267.296875,24372.015625,1.5061359999817796
"[1, 32, 16, 8, 4, 1]","['sigmoid', 'sigmoid', 'sigmoid', 'sigmoid', 'linear']",Huber,False,Adam,0.2,50,0.001,True,False,ST_LF_ODE_1_solution,0.03330295532941818,0.03330295532941818,0.03052622638642788,0.16444240510463715,1776414.875,0.06660591065883636,0.03459210321307182,6915.08447265625,0.980110228061676,0.8875855207443237,0.25808119773864746,1.0,173585.921875,17764.150390625,0.006133333779871464,0.006133333779871464,0.006120745092630386,0.11065103113651276,1129047.75,0.012266667559742928,0.010980581864714622,11290.4794921875,26.632211685180664,0.11344745755195618,0.11075498908758163,1.0,39088.53515625,11290.478515625,7.286057899997104,0.015733178704977036,0.015733178704977036,0.015055662952363491,0.13245637714862823,2453891.25,0.03146635740995407,0.019964469596743584,7615.63818359375,1.849699854850769,0.5826022028923035,0.17738759517669678,0.9929999709129333,246835.484375,24538.91015625,1.553417699993588
"[1, 32, 16, 8, 4, 1]","['hard_sigmoid', 'hard_sigmoid', 'hard_sigmoid', 'hard_sigmoid', 'linear']",Huber,False,Adam,0.2,50,0.001,True,False,ST_LF_ODE_1_solution,0.03328882157802582,0.03328882157802582,0.030578814446926117,0.1680406630039215,1867398.5,0.06657764315605164,0.03477443382143974,7269.26953125,1.0015565156936646,0.881828784942627,0.25802645087242126,1.0,182476.34375,18673.986328125,0.006736790295690298,0.006736790295690298,0.00672159343957901,0.11597656458616257,1182053.25,0.013473580591380596,0.012002306059002876,11820.5322265625,27.91399574279785,0.11877314746379852,0.11607575416564941,1.0,40923.51171875,11820.53125,7.317875400010962,0.015993865206837654,0.015993865206837654,0.01533406414091587,0.13624760508537292,2569091.25,0.03198773041367531,0.020486224442720413,7973.173828125,1.915682077407837,0.5778734087944031,0.1788511425256729,0.9929999709129333,258423.109375,25690.912109375,1.5022057000314817
"[1, 32, 16, 8, 4, 1]","['swish', 'swish', 'swish', 'swish', 'linear']",Huber,False,Adam,0.2,50,0.001,True,False,ST_LF_ODE_1_solution,0.03638652339577675,0.03638652339577675,0.03262122720479965,0.12821489572525024,616624.9375,0.0727730467915535,0.0371905155479908,2400.30029296875,0.7641868591308594,0.9609612226486206,0.26976481080055237,1.0,60256.14453125,6166.24951171875,0.0007091894512996078,0.0007091894512996078,0.0007090368308126926,0.037355028092861176,399508.3125,0.0014183789025992155,0.0013611982576549053,3995.083251953125,8.990852355957031,0.04014701768755913,0.037661369889974594,1.0,13832.7314453125,3995.083251953125,7.254792899999302,0.01502637192606926,0.01502637192606926,0.01403309777379036,0.0847134217619896,868352.125,0.03005274385213852,0.017479682341217995,2694.85546875,1.0083274841308594,0.6497344970703125,0.1733572781085968,0.9929999709129333,87348.3515625,8683.521484375,1.6462891999981366
"[1, 32, 16, 8, 4, 1]","['tanh', 'tanh', 'tanh', 'tanh', 'linear']",Huber,False,Adam,0.2,50,0.001,True,False,ST_LF_ODE_1_solution,0.039594076573848724,0.039594076573848724,0.03528923913836479,0.12212090939283371,261539.09375,0.07918815314769745,0.04176758974790573,982.5015869140625,0.72786545753479,0.9946845769882202,0.28140389919281006,1.0,26127.212890625,2615.390869140625,0.00014978545368649065,0.00014978545368649065,0.00014979206025600433,0.015688782557845116,209694.921875,0.0002995709073729813,0.00029366102535277605,2096.94921875,3.776078462600708,0.02135547623038292,0.01730811595916748,1.0,7358.06982421875,2096.94921875,7.273392400005832,0.016328703612089157,0.016328703612089157,0.015170847997069359,0.07523779571056366,483545.90625,0.032657407224178314,0.019351642578840256,1437.0506591796875,0.8243606686592102,0.6794148087501526,0.18071360886096954,0.9940000176429749,49823.94921875,4835.45703125,1.7236062999581918
