Алгоритм,"Метод имитации отжига (distanse = 300, temp=lin)",,,,,,,,,,,,,,,,,,,"Метод имитации отжига (distanse = 300, temp=exp(0.95))",,,,,,,,,,,,,,,,,,,Случайный поиск,,,,,,,,,,,,,,,,,
Функция потерь,meanAPE,,,,,,,,,maxAPE,,,,,,,,,,meanAPE,,,,,,,,,maxAPE,,,,,,,,,,meanAPE,,,,,,,,,maxAPE,,,,,,,,
Порог,50,,,25,,,10,,,50,,,25,,,10,,,,50,,,25,,,10,,,50,,,25,,,10,,,,50,,,25,,,10,,,50,,,25,,,10,,
Размер выборки,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Время работы (с),"3,9","2,45","1,41","3,36","2,4","1,44","3,2","2,09","1,67","2,89","2,16","1,37","3,76","2,21","1,41","3,58","2,06","1,42",,"3,89","2,15","1,42","3,65","2,03","1,36","4,09","2,02","1,72","3,77","2,05","1,43","4,32","1,97","1,31","3,31","2,12","1,45",,"3,2",2,"1,4","3,73","2,07","1,37","3,05","1,84","1,67","3,02","2,39","1,33","3,94","2,33","1,42","3,1","2,05","1,73"
Время работы (ш),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,"1,1",1,1,1,1,1,1,1,1,1
Вероятность сходимости (10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (20),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Вероятность сходимости (100),,,,,,,,,,,,,,,,,,,,,,,,,,AA10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Функция потерь,maxDeviation,,,,,,,,,RMSE,,,,,,,,,,maxDeviation,,,,,,,,,RMSE,,,,,,,,,,maxDeviation,,,,,,,,,RMSE,,,,,,,,
Порог,3,,,1,,,"0,1",,,3,,,1,,,"0,1",,,,3,,,1,,,"0,1",,,3,,,1,,,"0,1",,,,3,,,1,,,"0,1",,,3,,,1,,,"0,1",,
Размер выборки,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Время работы (с),"3,92","2,07","1,46","4,36","2,36","1,44","4,2","1,94","1,6","3,61","2,19","1,47","3,89","2,16","1,32","3,58","2,01","1,37",,"3,55","1,9","1,27","3,95","2,11","1,52","3,38","1,88","1,64","3,96","1,78","1,65","3,4","2,19","1,46","2,91","2,04","1,51",,"2,85","2,01","1,35","3,31","2,04","1,38",3,"2,08","1,61","3,54","1,77","1,66","3,15","1,97","1,46","3,55","2,01","1,38"
Время работы (ш),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,"1,1",1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Вероятность сходимости (10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (20),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Вероятность сходимости (100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Метод имитации отжига (distanse = 400, temp=lin)",,,,,,,,,,,,,,,,,,,"Метод имитации отжига (distanse = 400, temp=exp(0.95))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y' = 0,meanAPE,,,,,,,,,maxAPE,,,,,,,,,,meanAPE,,,,,,,,,maxAPE,,,,,,,,,,,,,,,,,,,,,,,,,,,
y(0) = 1,50,,,25,,,10,,,50,,,25,,,10,,,,50,,,25,,,10,,,50,,,25,,,10,,,,,,,,,,,,,,,,,,,,,
y(x) = 1,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,,,,,,,,,,,,,,,,,,
Время работы (с),"3,72","1,94","1,62","4,34","2,29","1,46","4,51","2,39","1,4","4,32","2,28","1,63","3,17","2,31","1,5","3,93","2,31","1,43",,"3,25","2,3","1,69","3,9","2,06","1,53","3,5","2,14","1,63","3,98","1,74","1,5","3,97","1,98","1,45","4,3","2,33","1,35",,,,,,,,,,,,,,,,,,,
Время работы (ш),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (20),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,maxDeviation,,,,,,,,,RMSE,,,,,,,,,,maxDeviation,,,,,,,,,RMSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,1,,,"0,1",,,3,,,1,,,"0,1",,,,3,,,1,,,"0,1",,,3,,,1,,,"0,1",,,,,,,,,,,,,,,,,,,,,
,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,,,,,,,,,,,,,,,,,,
Время работы (с),"3,72","2,04","1,43","3,64","2,16","1,51","4,17","2,41","1,51","4,09","2,07","1,33","3,63","1,76","1,25","3,7","2,04","1,56",,"4,01","2,33","1,49","2,93","2,08","1,54","3,96","1,93","1,49","3,57",2,"1,57","3,88","2,08","1,53","3,92","1,88","1,38",,,,,,,,,,,,,,,,,,,
Время работы (ш),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (20),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Метод имитации отжига (distanse = 50+t*400, temp=lin)",,,,,,,,,,,,,,,,,,,"Метод имитации отжига (distanse = 50+t*400, temp=exp(0.95))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,meanAPE,,,,,,,,,maxAPE,,,,,,,,,,meanAPE,,,,,,,,,maxAPE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,50,,,25,,,10,,,50,,,25,,,10,,,,50,,,25,,,10,,,50,,,25,,,10,,,,,,,,,,,,,,,,,,,,,
,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,,,,,,,,,,,,,,,,,,
Время работы (с),"4,35","1,96","1,65","4,22","1,89","1,36","3,63","1,93","1,72","3,24","2,26","1,46","4,1","1,99","1,35","4,01","2,34","1,43",,"3,93","2,21","1,61","3,29","1,91","1,43","4,25","2,08","1,86","3,39","2,46","1,4","3,9","2,22","1,45","3,05","1,91","1,37",,,,,,,,,,,,,,,,,,,
Время работы (ш),1,1,1,1,1,1,1,1,"1,1",1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,"1,05",1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (20),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,maxDeviation,,,,,,,,,RMSE,,,,,,,,,,maxDeviation,,,,,,,,,RMSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,1,,,"0,1",,,3,,,1,,,"0,1",,,,3,,,1,,,"0,1",,,3,,,1,,,"0,1",,,,,,,,,,,,,,,,,,,,,
,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,,,,,,,,,,,,,,,,,,
Время работы (с),"2,84","2,22","1,63","3,51","1,94","1,51","4,05","1,88","1,52","3,16","2,17","1,5","4,07","2,02","1,67","3,1","2,08","1,57",,"4,13","2,02","1,51","3,44","1,87","1,65","2,85","2,21","1,51","4,17","2,2","1,59","4,36","1,99","1,38","3,55","2,09","1,37",,,,,,,,,,,,,,,,,,,
Время работы (ш),1,1,1,1,1,1,1,1,"1,05",1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (20),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
