Алгоритм,"Метод имитации отжига (distanse = 300, temp=lin)",,,,,,,,,,,,,,,,,,,"Метод имитации отжига (distanse = 300, temp=exp(0.95))",,,,,,,,,,,,,,,,,,,Случайный поиск,,,,,,,,,,,,,,,,,
Функция потерь,meanAPE,,,,,,,,,maxAPE,,,,,,,,,,meanAPE,,,,,,,,,maxAPE,,,,,,,,,,meanAPE,,,,,,,,,maxAPE,,,,,,,,
Порог,50,,,25,,,10,,,50,,,25,,,10,,,,50,,,25,,,10,,,50,,,25,,,10,,,,50,,,25,,,10,,,50,,,25,,,10,,
Размер выборки,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Время работы (с),-1,"2,38","1,54",-1,"2,21","1,58",-1,"2,45","2,12",-1,"1,92","1,48",-1,"1,89","1,52",-1,"2,02","1,61",,-1,"2,37","1,3",-1,"2,35","1,56",-1,"2,13","1,76",-1,"1,99","1,45",-1,2,"1,47",-1,"2,32","1,5",,"3,28","1,88","1,4","3,49","2,04","1,71","3,01","2,37","1,76","3,55","2,37","1,47","3,87","2,24","1,49","4,03","1,85","1,57"
Время работы (ш),-1,1,1,-1,1,1,-1,1,"1,6",-1,1,1,-1,1,1,-1,1,1,,-1,1,1,-1,1,"1,15",-1,1,"1,05",-1,1,1,-1,1,1,-1,1,1,,1,1,1,1,1,"1,1",1,1,"1,1",1,1,1,1,1,1,1,1,1
Вероятность сходимости (10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (20),-1,100,100,-1,100,100,-1,100,100,-1,100,100,-1,100,100,-1,100,100,,-1,100,100,-1,100,100,-1,100,100,-1,100,100,-1,100,100,-1,100,100,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Вероятность сходимости (100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Функция потерь,maxDeviation,,,,,,,,,RMSE,,,,,,,,,,maxDeviation,,,,,,,,,RMSE,,,,,,,,,,maxDeviation,,,,,,,,,RMSE,,,,,,,,
Порог,3,,,1,,,"0,1",,,3,,,1,,,"0,1",,,,3,,,1,,,"0,1",,,3,,,1,,,"0,1",,,,3,,,1,,,"0,1",,,3,,,1,,,"0,1",,
Размер выборки,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Время работы (с),-1,"2,48","1,65",-1,"2,73","3,72",-1,"569,17","315,41",-1,"2,24","1,39",-1,"2,07","1,87",-1,"7,07","8,99",,-1,"2,89","1,52",-1,"2,3","4,72",-1,"431,08","378,57",-1,"1,92","1,58",-1,"2,67","1,62",-1,"5,18","10,17",,"3,71","2,34","1,66","3,67","2,34","2,03","85,67","116,4","113,86","3,45","2,2","1,44","3,52","1,96","1,59","4,2","4,77","3,92"
Время работы (ш),-1,1,"1,1",-1,"1,3","2,7",-1,"149,65","145,85",-1,1,1,-1,1,"1,35",-1,"2,55","6,05",,-1,1,"1,1",-1,"1,15","2,8",-1,"108,3","161,35",-1,1,1,-1,1,"1,1",-1,"1,9","6,2",,"1,05","1,15","1,1","1,05","1,15","1,3","23,7","57,35","74,8",1,1,1,1,1,"1,1","1,15","2,4","2,6"
Вероятность сходимости (10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (20),-1,100,100,-1,100,100,-1,100,100,-1,100,100,-1,100,100,-1,100,100,,-1,100,100,-1,100,100,-1,100,100,-1,100,100,-1,100,100,-1,100,100,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Вероятность сходимости (100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Метод имитации отжига (distanse = 400, temp=lin)",,,,,,,,,,,,,,,,,,,"Метод имитации отжига (distanse = 400, temp=exp(0.95))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y' + 3y = 0,meanAPE,,,,,,,,,maxAPE,,,,,,,,,,meanAPE,,,,,,,,,maxAPE,,,,,,,,,,,,,,,,,,,,,,,,,,,
y(0) = 1,50,,,25,,,10,,,50,,,25,,,10,,,,50,,,25,,,10,,,50,,,25,,,10,,,,,,,,,,,,,,,,,,,,,
y(x) = e^(3x),400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,,,,,,,,,,,,,,,,,,
Время работы (с),-1,"2,51","1,58",-1,"2,38","1,54",-1,"2,26","1,69",-1,"2,4","1,46",-1,"2,2","1,56",-1,"2,3","1,27",,-1,"2,41","1,6",-1,"1,92","1,91",-1,2,"2,42",-1,"2,93","1,34",-1,"2,45","1,71",-1,"2,17","1,64",,,,,,,,,,,,,,,,,,,
Время работы (ш),-1,1,1,-1,1,"1,1",-1,"1,05","1,25",-1,1,1,-1,1,1,-1,1,1,,-1,1,1,-1,1,"1,05",-1,1,"1,55",-1,1,1,-1,1,1,-1,1,1,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (20),-1,100,100,-1,100,100,-1,100,100,-1,100,100,-1,100,100,-1,100,100,,-1,100,100,-1,100,100,-1,100,100,-1,100,100,-1,100,100,-1,100,100,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,maxDeviation,,,,,,,,,RMSE,,,,,,,,,,maxDeviation,,,,,,,,,RMSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,1,,,"0,1",,,3,,,1,,,"0,1",,,,3,,,1,,,"0,1",,,3,,,1,,,"0,1",,,,,,,,,,,,,,,,,,,,,
,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,,,,,,,,,,,,,,,,,,
Время работы (с),-1,"2,59","1,33",-1,"2,72","2,49",-1,"352,64","279,1",-1,"1,93","1,68",-1,"2,82","1,75",-1,"8,99","6,54",,-1,"2,59","1,74",-1,"4,18","7,6",-1,"767,65","216,8",-1,"2,57","1,63",-1,"2,07","1,41",-1,"11,14","9,43",,,,,,,,,,,,,,,,,,,
Время работы (ш),-1,"1,25","1,05",-1,1,"1,7",-1,"99,35","125,58",-1,1,1,-1,1,1,-1,"3,2","4,85",,-1,1,"1,1",-1,"1,9","4,8",-1,"150,85","102,95",-1,1,1,-1,"1,1",1,-1,"3,5","6,45",,,,,,,,,,,,,,,,,,,
Вероятность сходимости (10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (20),-1,100,100,-1,100,100,-1,100,95,-1,100,100,-1,100,100,-1,100,100,,-1,100,100,-1,100,100,-1,100,100,-1,100,100,-1,100,100,-1,100,100,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Метод имитации отжига (distanse = 50+t*400, temp=lin)",,,,,,,,,,,,,,,,,,,"Метод имитации отжига (distanse = 50+t*400, temp=exp(0.95))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,meanAPE,,,,,,,,,maxAPE,,,,,,,,,,meanAPE,,,,,,,,,maxAPE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,50,,,25,,,10,,,50,,,25,,,10,,,,50,,,25,,,10,,,50,,,25,,,10,,,,,,,,,,,,,,,,,,,,,
,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,,,,,,,,,,,,,,,,,,
Время работы (с),-1,-1,"1,61",-1,-1,"1,6",-1,-1,"2,45",-1,-1,"1,54",-1,-1,"1,55",-1,-1,"1,6",,-1,-1,"1,59",-1,-1,"1,49",-1,-1,"2,12",-1,-1,"1,42",-1,-1,"1,9",-1,-1,"1,4",,,,,,,,,,,,,,,,,,,
Время работы (ш),-1,-1,1,-1,-1,1,-1,-1,"1,65",-1,-1,1,-1,-1,1,-1,-1,1,,-1,-1,1,-1,-1,1,-1,-1,"1,45",-1,-1,1,-1,-1,1,-1,-1,1,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (20),-1,-1,100,-1,-1,100,-1,-1,100,-1,-1,100,-1,-1,100,-1,-1,100,,-1,-1,100,-1,-1,100,-1,-1,100,-1,-1,100,-1,-1,100,-1,-1,100,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,maxDeviation,,,,,,,,,RMSE,,,,,,,,,,maxDeviation,,,,,,,,,RMSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,1,,,"0,1",,,3,,,1,,,"0,1",,,,3,,,1,,,"0,1",,,3,,,1,,,"0,1",,,,,,,,,,,,,,,,,,,,,
,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,,,,,,,,,,,,,,,,,,
Время работы (с),-1,-1,"1,74",-1,-1,"4,93",-1,-1,"140,1",-1,-1,"1,54",-1,-1,"1,67",-1,-1,"20,13",,-1,-1,"1,88",-1,-1,"3,2",-1,-1,"291,2",-1,-1,"1,57",-1,-1,"1,44",-1,-1,"9,79",,,,,,,,,,,,,,,,,,,
Время работы (ш),-1,-1,"1,15",-1,-1,"3,45",-1,-1,"67,85",-1,-1,1,-1,-1,"1,15",-1,-1,"8,35",,-1,-1,"1,2",-1,-1,"2,25",-1,-1,"124,6",-1,-1,"1,1",-1,-1,1,-1,-1,"5,2",,,,,,,,,,,,,,,,,,,
Вероятность сходимости (10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (20),-1,-1,100,-1,-1,100,-1,-1,100,-1,-1,100,-1,-1,100,-1,-1,100,,-1,-1,100,-1,-1,100,-1,-1,100,-1,-1,100,-1,-1,100,-1,-1,100,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
