Алгоритм,"Метод имитации отжига (distanse = 300, temp=lin)",,,,,,,,,,,,,,,,,,,"Метод имитации отжига (distanse = 300, temp=exp(0.95))",,,,,,,,,,,,,,,,,,,Случайный поиск,,,,,,,,,,,,,,,,,
Функция потерь,meanAPE,,,,,,,,,maxAPE,,,,,,,,,,meanAPE,,,,,,,,,maxAPE,,,,,,,,,,meanAPE,,,,,,,,,maxAPE,,,,,,,,
Порог,50,,,25,,,10,,,50,,,25,,,10,,,,50,,,25,,,10,,,50,,,25,,,10,,,,50,,,25,,,10,,,50,,,25,,,10,,
Размер выборки,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Время работы (с),"3,86","2,53","1,47","3,69","2,17","1,76","3,81","2,15","2,1","3,3","1,92","1,58","3,45","2,09","1,38","4,1","2,16","1,22",,"3,59","2,07","1,53","3,09","2,01","1,48","3,85","2,18","1,53","4,15","2,1","1,47","3,51","2,4","1,37","4,15","1,99","1,44",,"4,17","2,22","1,37","4,1","1,95","1,58","3,43","2,26","1,53","3,35","2,15","1,4","3,56","2,34","1,63","4,14","2,29","1,67"
Время работы (ш),1,1,1,1,1,1,1,1,"1,7",1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,"1,15","1,2",1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,"1,05","1,05",1,1,1,1,1,1,1,1,1
Вероятность сходимости (10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (20),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Вероятность сходимости (100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Функция потерь,maxDeviation,,,,,,,,,RMSE,,,,,,,,,,maxDeviation,,,,,,,,,RMSE,,,,,,,,,,maxDeviation,,,,,,,,,RMSE,,,,,,,,
Порог,3,,,1,,,"0,1",,,3,,,1,,,"0,1",,,,3,,,1,,,"0,1",,,3,,,1,,,"0,1",,,,3,,,1,,,"0,1",,,3,,,1,,,"0,1",,
Размер выборки,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Время работы (с),"3,7","2,22","1,49","3,37","1,92","1,28","8,5","4,36","10,5","3,87","2,04","1,33","3,4","2,13","1,39","3,81","2,12","1,74",,"3,46","2,16","1,53","3,54","1,64","1,72","5,24","7,12","10,33","3,79","1,95","1,47","3,46","2,11","1,31","3,81","1,92",-1,,"3,28","2,37","1,54","3,78","2,09","1,42","4,63","3,45","4,73","3,91","2,16","1,47","3,57","2,2","1,61","3,95","2,36","1,6"
Время работы (ш),1,1,1,1,1,"1,05","1,8","2,85","7,4",1,1,1,1,1,1,1,1,"1,15",,1,1,1,1,1,1,"1,85","3,3","7,56",1,1,1,1,1,1,1,1,-1,,1,1,1,1,1,1,"1,35","1,5","3,25",1,1,1,1,1,1,1,"1,05","1,2"
Вероятность сходимости (10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (20),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,80,100,100,5,100,100,5,100,100,-1,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Вероятность сходимости (100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Метод имитации отжига (distanse = 400, temp=lin)",,,,,,,,,,,,,,,,,,,"Метод имитации отжига (distanse = 400, temp=exp(0.95))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y' + (y - 2x) / (x + 0.1) = 0,meanAPE,,,,,,,,,maxAPE,,,,,,,,,,meanAPE,,,,,,,,,maxAPE,,,,,,,,,,,,,,,,,,,,,,,,,,,
y(0) = 20,50,,,25,,,10,,,50,,,25,,,10,,,,50,,,25,,,10,,,50,,,25,,,10,,,,,,,,,,,,,,,,,,,,,
y(x) = (x^2 + 2) / (x + 0.1),400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,,,,,,,,,,,,,,,,,,
Время работы (с),"3,69","2,08",-1,"4,26","2,33",-1,"3,61","2,23",-1,"4,18","2,01",-1,"3,43","2,22",-1,"3,62","2,02",-1,,"3,69","2,31",-1,"4,17","1,97",-1,"3,47","1,93",-1,"3,82","2,42",-1,"3,79","1,75",-1,"3,5","2,34",-1,,,,,,,,,,,,,,,,,,,
Время работы (ш),1,1,-1,1,1,-1,1,1,-1,1,1,-1,1,1,-1,1,1,-1,,1,1,-1,1,1,-1,1,1,-1,1,1,-1,1,1,-1,1,1,-1,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (20),100,100,-1,100,100,-1,100,100,-1,100,100,-1,100,100,-1,100,100,-1,,100,100,-1,100,100,-1,100,100,-1,100,100,-1,100,100,-1,100,100,-1,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,maxDeviation,,,,,,,,,RMSE,,,,,,,,,,maxDeviation,,,,,,,,,RMSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,1,,,"0,1",,,3,,,1,,,"0,1",,,,3,,,1,,,"0,1",,,3,,,1,,,"0,1",,,,,,,,,,,,,,,,,,,,,
,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,,,,,,,,,,,,,,,,,,
Время работы (с),"3,86","2,04",-1,"3,35","2,03",-1,"4,16","4,25",-1,"3,22","1,82",-1,"3,33","1,99",-1,"3,34","2,59",-1,,"3,74","2,08",-1,"3,08","2,36",-1,5,"4,53",-1,"3,38","2,04",-1,"3,66","2,02",-1,"3,29","2,13",-1,,,,,,,,,,,,,,,,,,,
Время работы (ш),1,1,-1,1,1,-1,"1,4","2,1",-1,1,1,-1,1,1,-1,1,"1,55",-1,,1,1,-1,1,1,-1,"1,65","2,1",-1,1,1,-1,1,1,-1,1,"1,05",-1,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (20),100,100,-1,100,100,-1,100,100,-1,100,100,-1,100,100,-1,100,100,-1,,100,100,-1,100,100,-1,100,100,-1,100,100,-1,100,100,-1,100,100,-1,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Метод имитации отжига (distanse = 50+t*400, temp=lin)",,,,,,,,,,,,,,,,,,,"Метод имитации отжига (distanse = 50+t*400, temp=exp(0.95))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,meanAPE,,,,,,,,,maxAPE,,,,,,,,,,meanAPE,,,,,,,,,maxAPE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,50,,,25,,,10,,,50,,,25,,,10,,,,50,,,25,,,10,,,50,,,25,,,10,,,,,,,,,,,,,,,,,,,,,
,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,,,,,,,,,,,,,,,,,,
Время работы (с),"3,66","2,27",-1,"3,61","1,96",-1,"3,99","2,45",-1,"3,17","1,93",-1,"3,71","1,94",-1,"3,65","2,28",-1,,"3,53","1,87",-1,"3,31","2,06",-1,"3,81","2,04",-1,"3,76","2,17",-1,"3,65","1,96",-1,"3,74","2,36",-1,,,,,,,,,,,,,,,,,,,
Время работы (ш),1,1,-1,1,1,-1,1,1,-1,1,1,-1,1,1,-1,1,1,-1,,1,1,-1,1,1,-1,1,1,-1,1,1,-1,1,1,-1,1,1,-1,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (20),100,100,-1,100,100,-1,100,100,-1,100,100,-1,100,100,-1,100,100,-1,,100,100,-1,100,100,-1,100,100,-1,100,100,-1,100,100,-1,100,100,-1,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,maxDeviation,,,,,,,,,RMSE,,,,,,,,,,maxDeviation,,,,,,,,,RMSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,1,,,"0,1",,,3,,,1,,,"0,1",,,,3,,,1,,,"0,1",,,3,,,1,,,"0,1",,,,,,,,,,,,,,,,,,,,,
,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,,,,,,,,,,,,,,,,,,
Время работы (с),"3,66","2,18",-1,"3,66","2,07",-1,"4,29","3,51",-1,"3,81","2,01",-1,"3,51","2,21",-1,"3,09","2,24",-1,,"3,29","1,96",-1,"3,62","1,95",-1,"4,5","5,27",-1,"3,87","1,76",-1,"3,34","2,12",-1,"3,34","2,09",-1,,,,,,,,,,,,,,,,,,,
Время работы (ш),1,1,-1,1,1,-1,"1,3","1,75",-1,1,1,-1,1,1,-1,1,1,-1,,1,1,-1,1,1,-1,"1,7","3,25",-1,1,1,-1,1,1,-1,1,1,-1,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (20),100,100,-1,100,100,-1,100,100,-1,100,100,-1,100,100,-1,100,100,-1,,100,100,-1,100,100,-1,100,100,-1,100,100,-1,100,100,-1,100,100,-1,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
