Алгоритм,"Метод имитации отжига (distanse = 300, temp=lin)",,,,,,,,,,,,,,,,,,,"Метод имитации отжига (distanse = 300, temp=exp(0.95))",,,,,,,,,,,,,,,,,,,Случайный поиск,,,,,,,,,,,,,,,,,
Функция потерь,meanAPE,,,,,,,,,maxAPE,,,,,,,,,,meanAPE,,,,,,,,,maxAPE,,,,,,,,,,meanAPE,,,,,,,,,maxAPE,,,,,,,,
Порог,50,,,25,,,10,,,50,,,25,,,10,,,,50,,,25,,,10,,,50,,,25,,,10,,,,50,,,25,,,10,,,50,,,25,,,10,,
Размер выборки,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Время работы (с),-1,"1,93","1,34",-1,"2,28","1,26",-1,"6,36","1,78",-1,"1,98","1,49",-1,2,"1,37",-1,"2,41","1,45",,-1,"2,2","1,52",-1,"3,06","1,4",-1,"6,11","1,53",-1,"1,91","1,49",-1,"1,99","1,62",-1,"2,33","1,37",,"3,71","2,35","2,13","3,65","2,49","1,57","5,24","2,85","1,71","3,64","1,99","1,54","3,82","2,34","1,26","3,28","2,15","1,48"
Время работы (ш),-1,1,1,-1,"1,25",1,-1,"3,2","1,25",-1,1,1,-1,1,1,-1,"1,1",1,,-1,"1,1",1,-1,"1,45",1,-1,"2,55","1,05",-1,1,1,-1,1,1,-1,"1,05",1,,1,1,1,1,"1,35",1,"1,5","1,25","1,05",1,1,1,1,1,1,1,"1,05",1
Вероятность сходимости (10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (20),-1,100,100,-1,100,100,-1,100,100,-1,100,100,-1,100,100,-1,100,100,,-1,100,100,-1,100,100,-1,100,100,-1,100,100,-1,100,100,-1,100,100,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Вероятность сходимости (100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Функция потерь,maxDeviation,,,,,,,,,RMSE,,,,,,,,,,maxDeviation,,,,,,,,,RMSE,,,,,,,,,,maxDeviation,,,,,,,,,RMSE,,,,,,,,
Порог,3,,,1,,,"0,1",,,3,,,1,,,"0,1",,,,3,,,1,,,"0,1",,,3,,,1,,,"0,1",,,,3,,,1,,,"0,1",,,3,,,1,,,"0,1",,
Размер выборки,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Время работы (с),-1,"2,31","1,34",-1,"2,15","1,53",-1,"2,18","1,82",-1,"2,2","1,29",-1,"2,14","1,5",-1,"1,95","1,72",,-1,"2,15","1,38",-1,"2,2","1,21",-1,"1,95","1,34",-1,"1,97","1,37",-1,"1,73","1,39",-1,"2,38","1,45",,"3,14","1,8","1,37","3,13","2,06","1,27","2,69","2,04","1,4","3,88","2,05","1,34","3,03","1,86","1,63","3,6","2,09","1,47"
Время работы (ш),-1,1,1,-1,1,1,-1,1,"1,15",-1,1,1,-1,1,1,-1,1,1,,-1,1,1,-1,1,1,-1,"1,05",1,-1,1,1,-1,1,1,-1,1,1,,1,1,1,1,1,1,1,1,"1,05",1,1,1,1,1,1,1,1,1
Вероятность сходимости (10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (20),-1,100,100,-1,100,100,-1,100,100,-1,100,100,-1,100,100,-1,100,100,,-1,100,100,-1,100,100,-1,100,100,-1,100,100,-1,100,100,-1,100,100,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Вероятность сходимости (100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Метод имитации отжига (distanse = 400, temp=lin)",,,,,,,,,,,,,,,,,,,"Метод имитации отжига (distanse = 400, temp=exp(0.95))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,meanAPE,,,,,,,,,maxAPE,,,,,,,,,,meanAPE,,,,,,,,,maxAPE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,50,,,25,,,10,,,50,,,25,,,10,,,,50,,,25,,,10,,,50,,,25,,,10,,,,,,,,,,,,,,,,,,,,,
y(x) = 2*x,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,,,,,,,,,,,,,,,,,,
Время работы (с),-1,"2,1","1,43",-1,"2,93","1,49",-1,"5,37","1,38",-1,"1,88","1,52",-1,"2,08","1,41",-1,"2,61","1,53",,-1,-1,"1,64",-1,-1,"1,26",-1,-1,"1,73",-1,-1,"1,64",-1,-1,"1,48",-1,-1,"1,43",,,,,,,,,,,,,,,,,,,
Время работы (ш),-1,1,1,-1,"1,3",1,-1,"2,15","1,05",-1,1,1,-1,1,1,-1,"1,15",1,,-1,-1,1,-1,-1,1,-1,-1,"1,1",-1,-1,1,-1,-1,1,-1,-1,1,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (20),-1,100,100,-1,100,100,-1,100,100,-1,100,100,-1,100,100,-1,100,100,,-1,-1,100,-1,-1,100,-1,-1,100,-1,-1,100,-1,-1,100,-1,-1,100,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,maxDeviation,,,,,,,,,RMSE,,,,,,,,,,maxDeviation,,,,,,,,,RMSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,1,,,"0,1",,,3,,,1,,,"0,1",,,,3,,,1,,,"0,1",,,3,,,1,,,"0,1",,,,,,,,,,,,,,,,,,,,,
,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,,,,,,,,,,,,,,,,,,
Время работы (с),-1,"2,12","1,53",-1,"1,88","1,26",-1,-1,"1,42",-1,-1,"1,39",-1,-1,"1,34",-1,-1,"1,44",,-1,-1,"1,37",-1,-1,"1,37",-1,-1,"1,67",-1,-1,"1,54",-1,-1,"1,49",-1,-1,"1,46",,,,,,,,,,,,,,,,,,,
Время работы (ш),-1,1,1,-1,1,1,-1,-1,"1,05",-1,-1,1,-1,-1,1,-1,-1,1,,-1,-1,1,-1,-1,1,-1,-1,"1,2",-1,-1,1,-1,-1,1,-1,-1,"1,05",,,,,,,,,,,,,,,,,,,
Вероятность сходимости (10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (20),-1,100,100,-1,90,100,-1,-1,100,-1,-1,100,-1,-1,100,-1,-1,100,,-1,-1,100,-1,-1,100,-1,-1,100,-1,-1,100,-1,-1,100,-1,-1,100,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Метод имитации отжига (distanse = 50+t*400, temp=lin)",,,,,,,,,,,,,,,,,,,"Метод имитации отжига (distanse = 50+t*400, temp=exp(0.95))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,meanAPE,,,,,,,,,maxAPE,,,,,,,,,,meanAPE,,,,,,,,,maxAPE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,50,,,25,,,10,,,50,,,25,,,10,,,,50,,,25,,,10,,,50,,,25,,,10,,,,,,,,,,,,,,,,,,,,,
,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,,,,,,,,,,,,,,,,,,
Время работы (с),-1,-1,"1,37",-1,-1,"1,58",-1,-1,"1,62",-1,-1,"1,67",-1,-1,"1,61",-1,-1,"1,42",,-1,-1,"1,65",-1,-1,"1,3",-1,-1,"1,93",-1,-1,"1,33",-1,-1,"1,18",-1,-1,"1,52",,,,,,,,,,,,,,,,,,,
Время работы (ш),-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,,-1,-1,1,-1,-1,1,-1,-1,"1,2",-1,-1,1,-1,-1,1,-1,-1,1,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (20),-1,-1,100,-1,-1,100,-1,-1,100,-1,-1,100,-1,-1,100,-1,-1,100,,-1,-1,100,-1,-1,100,-1,-1,100,-1,-1,100,-1,-1,100,-1,-1,100,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,maxDeviation,,,,,,,,,RMSE,,,,,,,,,,maxDeviation,,,,,,,,,RMSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,1,,,"0,1",,,3,,,1,,,"0,1",,,,3,,,1,,,"0,1",,,3,,,1,,,"0,1",,,,,,,,,,,,,,,,,,,,,
,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,,,,,,,,,,,,,,,,,,
Время работы (с),-1,-1,"1,56",-1,-1,"1,49",-1,-1,"1,75",-1,-1,"1,2",-1,-1,"1,37",-1,-1,"1,66",,-1,-1,"1,47",-1,-1,"1,57",-1,-1,"1,72",-1,-1,"1,61",-1,-1,"1,3",-1,-1,"1,48",,,,,,,,,,,,,,,,,,,
Время работы (ш),-1,-1,1,-1,-1,1,-1,-1,"1,35",-1,-1,1,-1,-1,1,-1,-1,"1,05",,-1,-1,1,-1,-1,1,-1,-1,"1,15",-1,-1,1,-1,-1,1,-1,-1,1,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (20),-1,-1,100,-1,-1,100,-1,-1,100,-1,-1,100,-1,-1,100,-1,-1,100,,-1,-1,100,-1,-1,100,-1,-1,100,-1,-1,100,-1,-1,100,-1,-1,100,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
