Алгоритм,"Метод имитации отжига (distanse = 300, temp=lin)",,,,,,,,,,,,,,,,,,,"Метод имитации отжига (distanse = 300, temp=exp(0.95))",,,,,,,,,,,,,,,,,,,Случайный поиск,,,,,,,,,,,,,,,,,
Функция потерь,meanAPE,,,,,,,,,maxAPE,,,,,,,,,,meanAPE,,,,,,,,,maxAPE,,,,,,,,,,meanAPE,,,,,,,,,maxAPE,,,,,,,,
Порог,50,,,25,,,10,,,50,,,25,,,10,,,,50,,,25,,,10,,,50,,,25,,,10,,,,50,,,25,,,10,,,50,,,25,,,10,,
Размер выборки,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Время работы (с),"4,15","2,44","1,52","4,25","2,29","1,43","3,63","2,02","1,45","3,68","2,09","1,4","4,33","1,91","1,57","3,15","2,06","1,48",,"4,18","2,34","1,53","4,57","2,42","1,65","3,41","2,26","1,59","4,45","2,15","1,27","3,81","2,16","1,59","4,17","2,22","1,69",,"3,96","2,18","1,28","3,87","2,04","1,61","3,44","1,95","1,51","3,06","2,04","1,52","4,12","2,1","1,42","3,46","1,63","1,38"
Время работы (ш),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,"1,05",1,1,1,1,1,1,1,1,1
Вероятность сходимости (10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (20),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Вероятность сходимости (100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Функция потерь,maxDeviation,,,,,,,,,RMSE,,,,,,,,,,maxDeviation,,,,,,,,,RMSE,,,,,,,,,,maxDeviation,,,,,,,,,RMSE,,,,,,,,
Порог,3,,,1,,,"0,1",,,3,,,1,,,"0,1",,,,3,,,1,,,"0,1",,,3,,,1,,,"0,1",,,,3,,,1,,,"0,1",,,3,,,1,,,"0,1",,
Размер выборки,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Время работы (с),"3,85","2,11","1,45","4,34","2,27","1,48","3,8","2,25","1,41","3,92","2,41","1,64","3,66","2,68","1,65","3,77","2,19","1,7",,"3,96","2,1","1,43","3,84","2,14","1,47","2,87","2,42","1,55","3,8","2,15","1,56","3,86","2,2","1,4","3,96","2,12","1,72",,"3,17","1,89","1,41","3,74","2,15","1,29","3,58","1,69","1,48","3,15","2,1","1,38","3,2","1,9","1,49","3,11","1,8","1,56"
Время работы (ш),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1,05",,1,1,1,1,1,1,1,1,"1,05",1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Вероятность сходимости (10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (20),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Вероятность сходимости (100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Метод имитации отжига (distanse = 400, temp=lin)",,,,,,,,,,,,,,,,,,,"Метод имитации отжига (distanse = 400, temp=exp(0.95))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y(x) = sigmoid(x),meanAPE,,,,,,,,,maxAPE,,,,,,,,,,meanAPE,,,,,,,,,maxAPE,,,,,,,,,,,,,,,,,,,,,,,,,,,
y(x) = 1 / (1 + e^(-x)),50,,,25,,,10,,,50,,,25,,,10,,,,50,,,25,,,10,,,50,,,25,,,10,,,,,,,,,,,,,,,,,,,,,
,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,,,,,,,,,,,,,,,,,,
Время работы (с),"3,87","1,93","1,57","3,63","2,57","1,5","4,36","2,27","1,74","4,34","2,78","1,35","3,31","1,94","1,51","4,3","2,04","1,32",,"3,69","1,83","1,53","4,12","2,48","1,43","4,01","2,31","1,79","3,39","1,77","1,6","3,6","2,74","1,44","4,01","2,06","1,63",,,,,,,,,,,,,,,,,,,
Время работы (ш),1,1,1,1,1,1,1,"1,05","1,1",1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (20),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,maxDeviation,,,,,,,,,RMSE,,,,,,,,,,maxDeviation,,,,,,,,,RMSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,1,,,"0,1",,,3,,,1,,,"0,1",,,,3,,,1,,,"0,1",,,3,,,1,,,"0,1",,,,,,,,,,,,,,,,,,,,,
,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,,,,,,,,,,,,,,,,,,
Время работы (с),"4,29","2,4","1,51","3,51","2,19","1,44","4,9","2,12","1,55","3,77","2,17","1,6","4,61","1,88","1,57","3,67","2,01","1,24",,"3,77","1,83","1,45","3,92","2,37","1,43","4,4","2,31","1,68","3,86","2,41","1,46","3,47","2,28","1,45","4,99","1,94","1,56",,,,,,,,,,,,,,,,,,,
Время работы (ш),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,"1,1",1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (20),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Метод имитации отжига (distanse = 50+t*400, temp=lin)",,,,,,,,,,,,,,,,,,,"Метод имитации отжига (distanse = 50+t*400, temp=exp(0.95))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,meanAPE,,,,,,,,,maxAPE,,,,,,,,,,meanAPE,,,,,,,,,maxAPE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,50,,,25,,,10,,,50,,,25,,,10,,,,50,,,25,,,10,,,50,,,25,,,10,,,,,,,,,,,,,,,,,,,,,
,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,,,,,,,,,,,,,,,,,,
Время работы (с),"4,2","2,41","1,63","3,61","1,96","1,41","4,25","2,28","1,57","3,66","2,32","1,33","4,11","2,32","1,51","3,76","2,28","1,57",,"3,81","2,35","1,74","3,78","2,47","1,36","3,79","2,72","1,36","3,5","2,11","1,57","3,89","2,25","1,58","3,88","2,12","1,27",,,,,,,,,,,,,,,,,,,
Время работы (ш),1,1,1,1,1,1,1,"1,1","1,05",1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (20),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,maxDeviation,,,,,,,,,RMSE,,,,,,,,,,maxDeviation,,,,,,,,,RMSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,1,,,"0,1",,,3,,,1,,,"0,1",,,,3,,,1,,,"0,1",,,3,,,1,,,"0,1",,,,,,,,,,,,,,,,,,,,,
,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,,,,,,,,,,,,,,,,,,
Время работы (с),"4,92","2,24","1,57","4,38","2,42","1,58","4,08","1,96","1,58","3,43","2,2","1,55","4,04","2,24","1,32","4,02","2,31","1,38",,3,"2,45","1,87","3,75","2,22","1,41","3,56","2,28","1,59","3,92","2,17","1,49","3,93","2,15","1,38","3,84","2,31","1,61",,,,,,,,,,,,,,,,,,,
Время работы (ш),1,1,1,1,1,1,1,"1,05","1,05",1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,"1,05",1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (20),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
