Алгоритм,"Метод имитации отжига (distanse = 300, temp=lin)",,,,,,,,,,,,,,,,,,,"Метод имитации отжига (distanse = 300, temp=exp(0.95))",,,,,,,,,,,,,,,,,,,Случайный поиск,,,,,,,,,,,,,,,,,
Функция потерь,meanAPE,,,,,,,,,maxAPE,,,,,,,,,,meanAPE,,,,,,,,,maxAPE,,,,,,,,,,meanAPE,,,,,,,,,maxAPE,,,,,,,,
Порог,50,,,25,,,10,,,50,,,25,,,10,,,,50,,,25,,,10,,,50,,,25,,,10,,,,50,,,25,,,10,,,50,,,25,,,10,,
Размер выборки,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Время работы (с),"30,59","1209,34","23,52","71,05",0,"96,95","1358,56",-1,"589,5","3,45","2,09","1,57","3,51","2,15","1,73","3,15","1,82","1,49",,"29,19",-1,"22,81","55,19",-1,"168,45","2457,16",-1,"1206,62","3,86","2,02","1,46","3,41","2,07","1,49","3,7","2,45","1,51",,"14,31","1528,31","22,63","54,35",0,"165,7","2222,2",0,"623,45","3,57","1,88","1,47","3,87","2,22","1,4","3,53","2,37","1,38"
Время работы (ш),"6,9","400,54","12,7","13,45",0,"46,25","184,2",-1,"261,33",1,1,1,1,1,1,1,"1,1","1,1",,"6,35",-1,"11,15","9,3",-1,"70,7","347,4",-1,"469,09",1,1,1,1,"1,05",1,1,"1,05",1,,"4,2","699,5","15,35","13,45",0,"111,05","480,9",0,"405,33",1,1,1,1,1,1,1,"1,1","1,1"
Вероятность сходимости (10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (20),100,65,100,100,0,100,100,-1,30,100,100,100,100,100,100,100,100,100,,100,-1,100,100,-1,100,100,-1,55,100,100,100,100,100,100,100,100,100,,100,10,100,100,0,100,50,0,15,100,100,100,100,100,100,100,100,100
Вероятность сходимости (100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Функция потерь,maxDeviation,,,,,,,,,RMSE,,,,,,,,,,maxDeviation,,,,,,,,,RMSE,,,,,,,,,,maxDeviation,,,,,,,,,RMSE,,,,,,,,
Порог,3,,,1,,,"0,1",,,3,,,1,,,"0,1",,,,3,,,1,,,"0,1",,,3,,,1,,,"0,1",,,,3,,,1,,,"0,1",,,3,,,1,,,"0,1",,
Размер выборки,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Время работы (с),"3,37","2,01","1,43","3,7","2,02","1,96","12,46","21,76","179,56","3,22","2,04","1,57","3,3","2,06","1,71","4,83","5,08","8,54",,"3,82","2,15","2,13","3,61","2,22","1,83","22,77","23,6","60,26","3,21","2,09","1,81",3,"2,18","2,02","5,17","6,95","6,72",,"3,96","2,2","1,37","4,26","2,68","1,44","7,76","10,26","50,42","3,95","2,09","1,39","3,79","1,86","1,42","3,89","2,81","3,54"
Время работы (ш),1,1,1,1,"1,05","1,05","3,65","9,85","57,9",1,1,1,1,1,1,"1,5","2,7","5,2",,1,1,1,1,1,1,"5,45","10,65","26,47",1,1,1,1,1,1,"1,2","3,2",4,,1,1,1,"1,05","1,1","1,05","2,5","5,3",35,1,1,1,1,1,1,"1,15","1,35","2,55"
Вероятность сходимости (10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (20),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,95,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Вероятность сходимости (100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y'' + 100y = 0,"Метод имитации отжига (distanse = 400, temp=lin)",,,,,,,,,,,,,,,,,,,"Метод имитации отжига (distanse = 400, temp=exp(0.95))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y(0) = 0,meanAPE,,,,,,,,,maxAPE,,,,,,,,,,meanAPE,,,,,,,,,maxAPE,,,,,,,,,,,,,,,,,,,,,,,,,,,
y'(0) = 10,50,,,25,,,10,,,50,,,25,,,10,,,,50,,,25,,,10,,,50,,,25,,,10,,,,,,,,,,,,,,,,,,,,,
y(x) = sin(10x),400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,,,,,,,,,,,,,,,,,,
Время работы (с),-1,-1,"28,73",-1,-1,"160,75",-1,-1,"1210,03","3,48","2,03","1,75","4,09","2,22","1,57","3,85","2,38","1,63",,-1,-1,"40,61",-1,-1,"169,53",-1,-1,"2079,64","4,16","2,16","1,7","4,08","2,12","1,6","4,13","2,03","1,64",,,,,,,,,,,,,,,,,,,
Время работы (ш),-1,-1,"13,7",-1,-1,"59,8",-1,-1,"397,33",1,1,1,1,1,1,1,"1,1","1,05",,-1,-1,"16,35",-1,-1,"53,6",-1,-1,649,1,1,1,1,1,1,1,"1,1",1,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (20),-1,-1,100,-1,-1,100,-1,-1,30,100,100,100,100,100,100,100,100,100,,-1,-1,100,-1,-1,100,-1,-1,20,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,maxDeviation,,,,,,,,,RMSE,,,,,,,,,,maxDeviation,,,,,,,,,RMSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,1,,,"0,1",,,3,,,1,,,"0,1",,,,3,,,1,,,"0,1",,,3,,,1,,,"0,1",,,,,,,,,,,,,,,,,,,,,
,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,,,,,,,,,,,,,,,,,,
Время работы (с),"3,36","1,84","1,54","3,46","2,36","2,23","24,1","38,81","72,87","3,35","1,82","1,5","3,97","2,14","1,79","4,86","6,06","6,24",,"3,98","1,8","1,66","3,36","2,1","2,75","13,11","20,62","407,06","4,03","1,93",2,"3,91","1,92","1,69","5,23","3,76","7,73",,,,,,,,,,,,,,,,,,,
Время работы (ш),1,1,1,1,1,"1,45","5,4","14,45","25,3",1,1,1,1,1,1,"1,25","2,75","3,15",,1,1,1,1,"1,2","1,05","3,25","7,95","72,1",1,1,1,1,1,1,"1,35","2,15","4,5",,,,,,,,,,,,,,,,,,,
Вероятность сходимости (10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (20),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Метод имитации отжига (distanse = 50+t*400, temp=lin)",,,,,,,,,,,,,,,,,,,"Метод имитации отжига (distanse = 50+t*400, temp=exp(0.95))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,meanAPE,,,,,,,,,maxAPE,,,,,,,,,,meanAPE,,,,,,,,,maxAPE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,50,,,25,,,10,,,50,,,25,,,10,,,,50,,,25,,,10,,,50,,,25,,,10,,,,,,,,,,,,,,,,,,,,,
,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,,,,,,,,,,,,,,,,,,
Время работы (с),-1,-1,"48,86",-1,-1,129,-1,-1,"2654,92","3,61","2,04","1,48","3,79","2,3","1,67","3,4","2,28","1,59",,-1,-1,-1,-1,-1,-1,-1,-1,-1,"3,34","2,25","1,54","3,6","2,24","1,57","3,71","2,26","1,61",,,,,,,,,,,,,,,,,,,
Время работы (ш),-1,-1,"15,5",-1,-1,"45,75",-1,-1,"813,33",1,1,1,1,"1,05",1,1,"1,1",1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,"1,05","1,05","1,05","1,05",,,,,,,,,,,,,,,,,,,
Вероятность сходимости (10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (20),-1,-1,100,-1,-1,100,-1,-1,15,100,100,100,100,100,100,100,100,100,,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,maxDeviation,,,,,,,,,RMSE,,,,,,,,,,maxDeviation,,,,,,,,,RMSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,1,,,"0,1",,,3,,,1,,,"0,1",,,,3,,,1,,,"0,1",,,3,,,1,,,"0,1",,,,,,,,,,,,,,,,,,,,,
,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,400,150,50,,,,,,,,,,,,,,,,,,,
Время работы (с),"2,88","1,86","1,54","3,49","2,12","1,58","9,74","88,48","83,51","3,23","2,04","1,41","3,37","2,06","1,43","4,25","5,59","5,9",,"3,66","2,05","1,5","3,58","2,22","1,73","39,65","21,23","52,4","3,27","1,69","1,51","3,6","1,83","1,61","5,09","5,57","6,66",,,,,,,,,,,,,,,,,,,
Время работы (ш),1,1,1,1,1,"1,05","2,8","25,95","44,95",1,1,1,1,1,1,"1,45","2,9","4,15",,1,1,1,"1,05",1,"1,2","9,65","8,6","29,1",1,1,1,1,1,1,"2,15","2,8","4,05",,,,,,,,,,,,,,,,,,,
Вероятность сходимости (10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (20),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,
Вероятность сходимости (100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
