[9],['sigmoid'],16,117,Adam,MaxAbsoluteDeviation,5.0956292152404785,4.629912853240967,0.7005489999428391
"[9, 9]","['elu', 'tanh']",1019,117,Adam,MaxAbsoluteDeviation,0.34024932980537415,0.20978987216949463,0.8110497000161558
"[23, 9]","['elu', 'tanh']",f019,117,Adam,MaxAbsoluteDeviation,0.402270644903183,0.23703186213970184,0.8299542999593541
"[23, 23]","['elu', 'tanh']",f0f9,117,Adam,MaxAbsoluteDeviation,0.2459934800863266,0.3048710525035858,0.8089963999809697
[23],['elu'],f0,117,Adam,MaxAbsoluteDeviation,0.2459934800863266,2.591870069503784,0.7051764000207186
"[23, 23]","['elu', 'tanh']",f0f9,117,Adam,MaxAbsoluteDeviation,0.21198710799217224,0.23254059255123138,0.808643399970606
"[23, 23]","['elu', 'tanh']",f0f9,117,Adam,MaxAbsoluteDeviation,0.26235949993133545,0.182169109582901,0.8141609999584034
[23],['elu'],f0,117,Adam,MaxAbsoluteDeviation,0.26235949993133545,2.488792896270752,0.6976696000201628
"[23, 23]","['elu', 'sigmoid']",f0f6,117,Adam,MaxAbsoluteDeviation,0.4801124036312103,0.3277706801891327,0.807340000057593
[23],['elu'],f0,117,Adam,MaxAbsoluteDeviation,0.4801124036312103,2.5375165939331055,0.7005736000137404
"[23, 23, 12]","['elu', 'sigmoid', 'swish']",f0f648,117,Adam,MaxAbsoluteDeviation,0.33749258518218994,0.1276887208223343,0.929154200013727
"[23, 23, 12]","['elu', 'tanh', 'swish']",f0f948,117,Adam,MaxAbsoluteDeviation,0.3842354416847229,0.23815393447875977,0.9498954999726266
"[23, 23]","['elu', 'tanh']",f0f9,117,Adam,MaxAbsoluteDeviation,0.2780272364616394,0.24665158987045288,0.8002416000235826
"[23, 23, 13]","['elu', 'tanh', 'sigmoid']",f0f956,117,Adam,MaxAbsoluteDeviation,0.4621090292930603,0.26020336151123047,0.9162446999689564
"[23, 23]","['elu', 'tanh']",f0f9,117,Adam,MaxAbsoluteDeviation,0.2938004434108734,0.2937353849411011,0.7894594001118094
"[23, 23]","['elu', 'tanh']",f0f9,100,Adam,MaxAbsoluteDeviation,0.35973435640335083,0.20533378422260284,0.7272700000321493
"[23, 23]","['elu', 'tanh']",f0f9,100,Adam,MaxAbsoluteDeviation,0.41688963770866394,0.15632836520671844,0.7321187000488862
"[23, 23]","['elu', 'tanh']",f0f9,700,Adam,MaxAbsoluteDeviation,0.2812403440475464,0.23919367790222168,3.3306908999802545
"[23, 23]","['elu', 'tanh']",f0f9,700,Adam,MaxAbsoluteDeviation,0.2588699162006378,0.1744806468486786,3.27515110000968
"[23, 23]","['elu', 'tanh']",f0f9,100,Adam,MaxAbsoluteDeviation,0.3120284974575043,0.46158722043037415,0.72006630001124
"[23, 23, 15]","['elu', 'tanh', 'sigmoid']",f0f976,100,Adam,MaxAbsoluteDeviation,0.5761680006980896,0.17630106210708618,0.8330101000610739
"[23, 23, 15]","['elu', 'tanh', 'sigmoid']",f0f976,100,Adam,MaxAbsoluteDeviation,0.4307255148887634,0.3043641149997711,0.829660200048238
"[23, 8, 15]","['elu', 'tanh', 'sigmoid']",f00976,100,Adam,MaxAbsoluteDeviation,0.47336363792419434,0.3747206926345825,0.831234100041911
"[23, 8, 15, 14]","['elu', 'tanh', 'sigmoid', 'swish']",f0097668,100,Adam,MaxAbsoluteDeviation,0.7774603366851807,0.461084246635437,0.9604004999855533
"[23, 8, 15, 14]","['elu', 'tanh', 'sigmoid', 'swish']",f0097668,700,Adam,MaxAbsoluteDeviation,0.15642184019088745,0.17557407915592194,3.9718057999853045
