"[10, 11, 15]","['elu', 'elu', 'sigmoid']",203076,272,Adam,MaxAbsoluteDeviation,0.07035565376281738,0.049465328454971313,1.890751300030388
[12],['elu'],40,209,Adam,MaxAbsoluteDeviation,0.37942448258399963,0.37170106172561646,1.148650599992834
[12],['elu'],40,700,Adam,MaxAbsoluteDeviation,0.24745656549930573,0.2312290221452713,3.317994000040926
[12],['elu'],40,165,Adam,MaxAbsoluteDeviation,0.541617751121521,0.4988555908203125,0.9594098000088707
[8],['elu'],00,700,Adam,MaxAbsoluteDeviation,0.2614503502845764,0.2298683375120163,3.2680724000092596
[8],['elu'],00,700,Adam,MaxAbsoluteDeviation,0.2687234580516815,0.33145445585250854,3.279436600045301
[8],['elu'],00,700,Adam,MaxAbsoluteDeviation,0.37302547693252563,0.2881743609905243,3.2363011999987066
[23],['elu'],f0,700,Adam,MaxAbsoluteDeviation,0.3277921676635742,0.18753871321678162,3.273792600026354
[23],['elu'],f0,449,Adam,MaxAbsoluteDeviation,0.25029006600379944,0.22451630234718323,2.1758139000739902
[23],['elu'],f0,700,Adam,MaxAbsoluteDeviation,0.18595477938652039,0.18045859038829803,3.2726996999699622
[8],['elu'],00,700,Adam,MaxAbsoluteDeviation,0.2983006238937378,0.2719004452228546,3.3166047000559047
[8],['elu'],00,700,Adam,MaxAbsoluteDeviation,0.23469582200050354,0.18035072088241577,3.2589996999595314
[8],['elu'],00,700,Adam,MaxAbsoluteDeviation,0.4865375757217407,0.48944637179374695,3.2818542999448255
[23],['elu'],f0,700,Adam,MaxAbsoluteDeviation,0.1791621297597885,0.2435314953327179,3.3110369000351056
[23],['elu'],f0,700,Adam,MaxAbsoluteDeviation,0.1463378369808197,0.18746830523014069,3.30532459996175
[23],['elu'],f0,700,Adam,MaxAbsoluteDeviation,0.17493386566638947,0.13668960332870483,3.331433300045319
[23],['elu'],f0,700,Adam,MaxAbsoluteDeviation,0.1404462456703186,0.14250433444976807,3.2652094999793917
[23],['elu'],f0,700,Adam,MaxAbsoluteDeviation,0.24100501835346222,0.2575553357601166,3.2784739000489935
[23],['elu'],f0,700,Adam,MaxAbsoluteDeviation,0.11748814582824707,0.14080855250358582,3.267679800046608
[23],['elu'],f0,539,Adam,MaxAbsoluteDeviation,0.15667209029197693,0.14541137218475342,2.5579183999216184
[23],['sigmoid'],f6,539,Adam,MaxAbsoluteDeviation,0.2024793028831482,0.23358909785747528,2.5806032000109553
[23],['sigmoid'],f6,539,Adam,MaxAbsoluteDeviation,0.25806117057800293,0.268704891204834,2.5830067000351846
[23],['sigmoid'],f6,539,Adam,MaxAbsoluteDeviation,0.2534884810447693,0.22777128219604492,2.5600101999007165
[8],['sigmoid'],06,539,Adam,MaxAbsoluteDeviation,0.4677260220050812,0.47626155614852905,2.544337800005451
[23],['sigmoid'],f6,700,Adam,MaxAbsoluteDeviation,0.13666997849941254,0.15988345444202423,3.2657550000585616
[23],['sigmoid'],f6,700,Adam,MaxAbsoluteDeviation,0.15299178659915924,0.16158567368984222,3.3274641999742016
[23],['sigmoid'],f6,700,Adam,MaxAbsoluteDeviation,0.19660495221614838,0.18962189555168152,3.2539054000517353
[23],['sigmoid'],f6,700,Adam,MaxAbsoluteDeviation,0.1257249116897583,0.14204593002796173,3.2881420999765396
[8],['sigmoid'],06,700,Adam,MaxAbsoluteDeviation,0.19669771194458008,0.1830049604177475,3.250568400020711
[8],['elu'],00,700,Adam,MaxAbsoluteDeviation,0.33505651354789734,0.30486321449279785,3.2945577000500634
"[8, 8]","['sigmoid', 'elu']",0600,700,Adam,MaxAbsoluteDeviation,0.1033637523651123,0.14386005699634552,3.485751500003971
[8],['sigmoid'],06,548,Adam,MaxAbsoluteDeviation,0.45501449704170227,0.4782101809978485,2.5991606999887154
"[8, 8, 17]","['sigmoid', 'elu', 'tanh']",060099,700,Adam,MaxAbsoluteDeviation,0.1281222701072693,0.09277219325304031,3.5959689000155777
"[8, 8, 17, 22]","['sigmoid', 'elu', 'tanh', 'swish']",060099e8,700,Adam,MaxAbsoluteDeviation,0.0636935904622078,0.07864640653133392,3.8273277999833226
