"[19, 18]","['elu', 'swish']",b0a8,238,Adam,MaxAbsoluteDeviation,0.11332280188798904,0.28287792205810547,1.0436177999945357
[19],['elu'],b0,238,Adam,MaxAbsoluteDeviation,0.4812203347682953,0.5001404285430908,0.940361600019969
[23],['elu'],f0,238,Adam,MaxAbsoluteDeviation,0.4210475981235504,0.6009013056755066,0.9250772999366745
[8],['elu'],00,238,Adam,MaxAbsoluteDeviation,0.4931067228317261,0.5416556000709534,0.9210332999937236
[8],['swish'],08,238,Adam,MaxAbsoluteDeviation,0.3867396414279938,0.663998544216156,0.9493854999309406
[8],['swish'],08,700,Adam,MaxAbsoluteDeviation,0.3216807544231415,0.605722188949585,2.2836538999108598
[8],['swish'],08,700,Adam,MaxAbsoluteDeviation,0.2152925431728363,0.3588497042655945,2.3090407999698073
[23],['swish'],f8,213,Adam,MaxAbsoluteDeviation,0.31884482502937317,0.47368094325065613,0.8808121000183746
[23],['tanh'],f9,213,Adam,MaxAbsoluteDeviation,0.30806347727775574,0.5662131309509277,0.8822741000913084
"[23, 19]","['tanh', 'sigmoid']",f9b6,213,Adam,MaxAbsoluteDeviation,0.13363336026668549,0.38572779297828674,0.9519154001027346
"[8, 19]","['tanh', 'sigmoid']",09b6,213,Adam,MaxAbsoluteDeviation,0.46153706312179565,0.5172795057296753,0.9522487999638543
"[8, 19]","['tanh', 'sigmoid']",09b6,213,Adam,MaxAbsoluteDeviation,0.1796218901872635,0.4826124310493469,0.9380205000052229
[8],['tanh'],09,213,Adam,MaxAbsoluteDeviation,0.4575100839138031,0.5239467024803162,0.8622735999524593
"[8, 19]","['tanh', 'sigmoid']",09b6,700,Adam,MaxAbsoluteDeviation,0.1010240763425827,0.21304897964000702,2.3958002000581473
"[8, 19, 22]","['tanh', 'sigmoid', 'elu']",09b6e0,700,Adam,MaxAbsoluteDeviation,0.18432898819446564,0.1597110629081726,2.730627999990247
"[8, 19, 22, 22]","['tanh', 'sigmoid', 'elu', 'tanh']",09b6e0e9,700,Adam,MaxAbsoluteDeviation,0.11406909674406052,0.17909753322601318,2.6572545000817627
"[8, 19, 22, 22]","['tanh', 'sigmoid', 'elu', 'tanh']",09b6e0e9,700,Adam,MaxAbsoluteDeviation,0.09400041401386261,0.1359100043773651,2.653003399958834
