[19],['swish'],b8,225,Adam,0.8641214966773987,0.8641214966773987,0.8248528838157654,1.8241969999980938
[8],['swish'],08,700,Adam,MaxAbsoluteDeviation,0.8297976851463318,0.7858566045761108,5.184843099999853
[8],['swish'],08,700,Adam,MaxAbsoluteDeviation,0.7568010091781616,0.6904677748680115,5.161404500002391
[8],['swish'],08,700,Adam,MaxAbsoluteDeviation,0.7319455146789551,0.6924149990081787,5.078249700000015
[23],['swish'],08,700,Adam,MaxAbsoluteDeviation,0.7319455146789551,0.7817793488502502,5.235530399997515
[8],['swish'],08,700,Adam,MaxAbsoluteDeviation,0.746635913848877,0.7118849754333496,6.34588580000127
[8],['swish'],08,700,Adam,MaxAbsoluteDeviation,0.8600485920906067,0.8187915682792664,5.327063299999281
[8],['sigmoid'],06,700,Adam,MaxAbsoluteDeviation,0.8292230367660522,0.7809691429138184,5.255242300001555
[23],['sigmoid'],f6,700,Adam,MaxAbsoluteDeviation,0.814598023891449,0.757087767124176,5.204836400000204
[23],['sigmoid'],f6,700,Adam,MaxAbsoluteDeviation,0.8852844834327698,0.7885254621505737,5.257077499998559
"[23, 19]","['tanh', 'swish']",f9b8,700,Adam,MaxAbsoluteDeviation,0.1084141805768013,0.04304211959242821,5.917743800000608
"[23, 19]","['tanh', 'swish']",f9b8,700,Adam,MaxAbsoluteDeviation,0.12019940465688705,0.058922816067934036,5.976140299997496
"[23, 19, 11]","['tanh', 'swish', 'swish']",f9b838,700,Adam,MaxAbsoluteDeviation,0.09485390782356262,0.03962298482656479,6.86047459999827
