"[19, 9]","['elu', 'sigmoid']",b016,569,Adam,MaxAbsoluteDeviation,0.17497281730175018,0.171219602227211,2.2659339000238106
"[8, 8]","['sigmoid', 'sigmoid']",0606,569,Adam,MaxAbsoluteDeviation,0.9744564890861511,1.0755372047424316,2.311302899965085
"[8, 8]","['sigmoid', 'sigmoid']",0606,569,Adam,MaxAbsoluteDeviation,0.9552111029624939,1.0276645421981812,2.2708741999813356
[8],['sigmoid'],06,569,Adam,MaxAbsoluteDeviation,0.9589318633079529,1.101880669593811,1.8519787999684922
[8],['swish'],08,569,Adam,MaxAbsoluteDeviation,0.8420730829238892,0.9265257120132446,1.8984746999922208
[8],['swish'],08,700,Adam,MaxAbsoluteDeviation,0.8558548092842102,0.9312421679496765,2.3226523000048473
[8],['swish'],08,511,Adam,MaxAbsoluteDeviation,0.9231202602386475,1.037216067314148,1.7030054000206292
[8],['swish'],08,700,Adam,MaxAbsoluteDeviation,0.8252196311950684,0.9041540026664734,2.3168678999645635
"[23, 19]","['swish', 'swish']",f8b8,208,Adam,MaxAbsoluteDeviation,0.847663164138794,0.9095975756645203,1.0178795999963768
[8],['swish'],08,100,Adam,MaxAbsoluteDeviation,0.9576191902160645,1.0547481775283813,0.5383697000215761
[8],['swish'],08,700,Adam,MaxAbsoluteDeviation,0.8171542286872864,0.9197330474853516,2.295428700046614
[23],['swish'],f8,700,Adam,MaxAbsoluteDeviation,0.7925227284431458,0.8951956033706665,2.324983800004702
[8],['swish'],08,700,Adam,MaxAbsoluteDeviation,0.882479190826416,0.9295894503593445,2.3102565000299364
[23],['tanh'],f9,216,Adam,MaxAbsoluteDeviation,0.9728974103927612,1.0181304216384888,0.8063169000088237
[23],['tanh'],f9,192,Adam,MaxAbsoluteDeviation,0.9033227562904358,0.9700061082839966,0.7548700000043027
[23],['tanh'],f9,192,Adam,MaxAbsoluteDeviation,0.967924952507019,1.0804080963134766,0.7489135999931023
