"[21, 22, 16, 22]","['sigmoid', 'elu', 'elu', 'tanh']",d6e080e9,225,Adam,MaxAbsoluteDeviation,1.09011971950531,0.35804831981658936,2.550531700020656
"[21, 22, 16]","['sigmoid', 'elu', 'elu']",d6e080,100,Adam,MaxAbsoluteDeviation,0.4509306252002716,0.20324155688285828,1.2804361999733374
"[21, 22, 8]","['sigmoid', 'elu', 'elu']",d6e000,100,Adam,MaxAbsoluteDeviation,0.6745419502258301,0.6018319725990295,1.2831799000268802
"[8, 22, 8]","['sigmoid', 'elu', 'elu']",06e000,100,Adam,MaxAbsoluteDeviation,0.8228468298912048,0.5420301556587219,1.2824625000357628
"[8, 22, 8]","['sigmoid', 'elu', 'elu']",06e000,700,Adam,MaxAbsoluteDeviation,0.24824512004852295,0.2564946413040161,6.603717399993911
"[8, 22]","['sigmoid', 'elu']",06e0,700,Adam,MaxAbsoluteDeviation,0.2734636962413788,0.0865260511636734,6.087656500050798
"[8, 22]","['sigmoid', 'elu']",06e0,700,Adam,MaxAbsoluteDeviation,0.17941837012767792,0.030667094513773918,6.066970999934711
"[8, 22]","['sigmoid', 'elu']",06e0,700,Adam,MaxAbsoluteDeviation,0.12848839163780212,0.033573076128959656,6.286766799981706
"[23, 22]","['sigmoid', 'elu']",f6e0,700,Adam,MaxAbsoluteDeviation,0.18877831101417542,0.08954297006130219,6.31024670007173
"[23, 22]","['sigmoid', 'elu']",f6e0,700,Adam,MaxAbsoluteDeviation,0.18795818090438843,0.1517372876405716,6.308143700007349
[23],['sigmoid'],f6,700,Adam,MaxAbsoluteDeviation,0.16620491445064545,0.09870767593383789,5.669691500021145
[8],['sigmoid'],06,700,Adam,MaxAbsoluteDeviation,0.20661869645118713,0.08125196397304535,5.705796399968676
[8],['swish'],08,700,Adam,MaxAbsoluteDeviation,0.25823527574539185,0.16962379217147827,5.716960199992172
[8],['swish'],08,700,Adam,MaxAbsoluteDeviation,0.153933584690094,0.10114751756191254,5.802375300088897
[8],['swish'],08,700,Adam,MaxAbsoluteDeviation,0.2649317681789398,0.19828054308891296,5.678183799958788
[8],['swish'],08,700,Adam,MaxAbsoluteDeviation,0.2609291970729828,0.21853281557559967,5.634537400095724
[8],['swish'],08,414,Adam,MaxAbsoluteDeviation,0.22362861037254333,0.145753875374794,3.436462900019251
[8],['swish'],08,700,Adam,MaxAbsoluteDeviation,0.25633490085601807,0.1925760805606842,5.708286199951544
"[8, 15]","['swish', 'elu']",0870,700,Adam,MaxAbsoluteDeviation,0.39541366696357727,0.05852888152003288,6.211553400033154
[8],['swish'],08,700,Adam,MaxAbsoluteDeviation,0.11018972098827362,0.13706308603286743,5.899407999939285
[8],['swish'],08,700,Adam,MaxAbsoluteDeviation,0.2073354721069336,0.12639394402503967,5.6803349000401795
[8],['swish'],08,700,Adam,MaxAbsoluteDeviation,0.26836439967155457,0.21358130872249603,5.740782800014131
"[8, 11]","['swish', 'sigmoid']",0836,700,Adam,MaxAbsoluteDeviation,0.08280079811811447,0.03700365126132965,6.197012300021015
