"[21, 12]","['sigmoid', 'tanh']",d649,644,Adam,MaxAbsoluteDeviation,0.1730426400899887,0.07939893752336502,5.66881919989828
[21],['sigmoid'],d6,644,Adam,MaxAbsoluteDeviation,0.13874533772468567,0.10618077963590622,5.277891500038095
[21],['sigmoid'],d6,443,Adam,MaxAbsoluteDeviation,0.23655740916728973,0.15006980299949646,3.661230400088243
[21],['sigmoid'],d6,443,Adam,MaxAbsoluteDeviation,0.23738031089305878,0.13469408452510834,3.6799385000485927
[23],['sigmoid'],f6,443,Adam,MaxAbsoluteDeviation,0.3280065655708313,0.21725551784038544,3.6201465000631288
"[23, 23]","['tanh', 'swish']",f9f8,443,Adam,MaxAbsoluteDeviation,0.17295338213443756,0.13453206419944763,4.048491699970327
[23],['tanh'],f9,443,Adam,MaxAbsoluteDeviation,0.18584008514881134,0.0831831842660904,3.6857705999864265
[23],['tanh'],f9,700,Adam,MaxAbsoluteDeviation,0.15203972160816193,0.061693742871284485,5.701361899962649
[23],['tanh'],f9,700,Adam,MaxAbsoluteDeviation,0.10486190766096115,0.05523267760872841,5.721153600024991
[8],['tanh'],09,700,Adam,MaxAbsoluteDeviation,0.13370032608509064,0.08124276995658875,5.7819349999772385
[8],['sigmoid'],06,700,Adam,MaxAbsoluteDeviation,0.11839136481285095,0.05646679922938347,5.722967899986543
[23],['swish'],f8,700,Adam,MaxAbsoluteDeviation,0.24766618013381958,0.17144614458084106,5.760582099901512
[23],['swish'],f8,700,Adam,MaxAbsoluteDeviation,0.3116282820701599,0.10963132977485657,5.836205300060101
[8],['swish'],08,700,Adam,MaxAbsoluteDeviation,0.18732738494873047,0.1402675211429596,5.68460309994407
[8],['swish'],08,700,Adam,MaxAbsoluteDeviation,0.14660394191741943,0.09648886322975159,5.7799733999418095
[8],['swish'],08,700,Adam,MaxAbsoluteDeviation,0.13934487104415894,0.12440159171819687,5.719220600090921
"[8, 8]","['swish', 'swish']",0808,700,Adam,MaxAbsoluteDeviation,0.10779178887605667,0.07827544957399368,6.453641499974765
"[8, 8]","['swish', 'swish']",0808,700,Adam,MaxAbsoluteDeviation,0.09867525100708008,0.041904810816049576,6.406106699956581
