"[13, 14, 9]","['swish', 'elu', 'tanh']",586019,693,Adam,MaxAbsoluteDeviation,0.21378213167190552,0.12929314374923706,6.378206700086594
"[23, 14]","['swish', 'swish']",f868,693,Adam,MaxAbsoluteDeviation,0.22767619788646698,0.10335768014192581,6.669199500000104
"[23, 14, 16]","['swish', 'swish', 'sigmoid']",f86886,693,Adam,MaxAbsoluteDeviation,0.18182037770748138,0.18659086525440216,6.5531206000596285
"[23, 14, 16]","['swish', 'swish', 'sigmoid']",f86886,659,Adam,MaxAbsoluteDeviation,0.1812170445919037,0.08722326159477234,6.143442599917762
"[23, 23, 16]","['swish', 'swish', 'sigmoid']",f8f886,659,Adam,MaxAbsoluteDeviation,0.13459576666355133,0.047905825078487396,6.322820600005798
"[23, 23, 23]","['swish', 'swish', 'sigmoid']",f8f8f6,659,Adam,MaxAbsoluteDeviation,0.26232847571372986,0.09958339482545853,6.07720010005869
"[23, 23, 23]","['swish', 'swish', 'tanh']",f8f8f9,659,Adam,MaxAbsoluteDeviation,0.10831397771835327,0.041696108877658844,6.192983099957928
"[23, 13, 23]","['swish', 'swish', 'tanh']",f858f9,659,Adam,MaxAbsoluteDeviation,0.27606722712516785,0.14821025729179382,6.110157799907029
"[23, 13, 23]","['swish', 'swish', 'tanh']",f858f9,700,Adam,MaxAbsoluteDeviation,0.19584670662879944,0.09912139922380447,6.727591299917549
"[23, 13, 23]","['swish', 'swish', 'tanh']",f858f9,700,Adam,MaxAbsoluteDeviation,0.13256099820137024,0.110280342400074,6.667182700010017
"[23, 13, 23]","['tanh', 'swish', 'tanh']",f958f9,700,Adam,MaxAbsoluteDeviation,0.20388378202915192,0.10820430517196655,6.515667899977416
"[23, 13, 23]","['tanh', 'swish', 'tanh']",f958f9,700,Adam,MaxAbsoluteDeviation,0.17076687514781952,0.15398316085338593,6.3182454000925645
"[23, 13, 23]","['tanh', 'swish', 'tanh']",f958f9,700,Adam,MaxAbsoluteDeviation,0.16601058840751648,0.1342921257019043,6.577723799971864
"[23, 13, 23, 15]","['tanh', 'swish', 'tanh', 'sigmoid']",f958f976,700,Adam,MaxAbsoluteDeviation,0.36583152413368225,0.23129315674304962,6.97108379995916
"[23, 13, 23, 15]","['tanh', 'swish', 'tanh', 'sigmoid']",f958f976,700,Adam,MaxAbsoluteDeviation,0.26613906025886536,0.09914521872997284,7.257140300003812
"[23, 13, 23]","['tanh', 'swish', 'tanh']",f958f9,700,Adam,MaxAbsoluteDeviation,0.22705256938934326,0.16469378769397736,6.403386099962518
"[23, 13]","['tanh', 'swish']",f958,700,Adam,MaxAbsoluteDeviation,0.20628969371318817,0.1614360809326172,6.873816999956034
[23],['tanh'],f9,700,Adam,MaxAbsoluteDeviation,0.10647845268249512,0.0663885697722435,5.70458569994662
[23],['tanh'],f9,700,Adam,MaxAbsoluteDeviation,0.14054566621780396,0.060092221945524216,5.758410700014792
[23],['tanh'],f9,700,Adam,MaxAbsoluteDeviation,0.12806421518325806,0.08632832765579224,5.739781799959019
[8],['tanh'],09,700,Adam,MaxAbsoluteDeviation,0.10413793474435806,0.06712976098060608,5.593265899922699
[8],['tanh'],09,287,Adam,MaxAbsoluteDeviation,0.3278755247592926,0.14481298625469208,2.457423700019717
[8],['tanh'],09,287,Adam,MaxAbsoluteDeviation,0.3263390362262726,0.19748689234256744,2.467609400046058
"[8, 11]","['tanh', 'tanh']",0939,287,Adam,MaxAbsoluteDeviation,0.10629214346408844,0.07134080678224564,2.6660176999866962
"[8, 11, 8]","['tanh', 'tanh', 'swish']",093908,287,Adam,MaxAbsoluteDeviation,0.20917226374149323,0.11950317025184631,2.9143890000414103
"[8, 11, 8]","['tanh', 'tanh', 'swish']",093908,287,Adam,MaxAbsoluteDeviation,0.1647568643093109,0.07704431563615799,2.9533989001065493
"[8, 23, 8]","['tanh', 'tanh', 'swish']",09f908,700,Adam,MaxAbsoluteDeviation,0.3318231999874115,0.08896825462579727,6.648002600064501
"[8, 23, 8]","['tanh', 'tanh', 'elu']",09f900,700,Adam,MaxAbsoluteDeviation,0.18338529765605927,0.08821159601211548,6.432899000006728
"[8, 23, 8]","['tanh', 'tanh', 'elu']",09f900,100,Adam,MaxAbsoluteDeviation,0.2790564298629761,0.06133735552430153,1.2527339999796823
"[8, 23, 8]","['tanh', 'tanh', 'elu']",09f900,700,Adam,MaxAbsoluteDeviation,0.1661650836467743,0.05045028775930405,6.326586100040004
"[8, 23]","['tanh', 'tanh']",09f9,700,Adam,MaxAbsoluteDeviation,0.13030175864696503,0.023372936993837357,6.166516400058754
[8],['tanh'],09,414,Adam,MaxAbsoluteDeviation,0.21400323510169983,0.1662062257528305,3.449057799996808
[8],['tanh'],09,700,Adam,MaxAbsoluteDeviation,0.13568426668643951,0.10424020886421204,5.595981999998912
[23],['tanh'],f9,700,Adam,MaxAbsoluteDeviation,0.10979905724525452,0.07173879444599152,5.649038000032306
[8],['tanh'],09,700,Adam,MaxAbsoluteDeviation,0.13319061696529388,0.08512216806411743,5.744281699997373
"[8, 15]","['tanh', 'tanh']",0979,700,Adam,MaxAbsoluteDeviation,0.13474588096141815,0.10468646883964539,6.713837100076489
"[8, 15]","['tanh', 'tanh']",0979,700,Adam,MaxAbsoluteDeviation,0.15303947031497955,0.040036641061306,6.255194199969992
"[8, 23]","['tanh', 'tanh']",09f9,700,Adam,MaxAbsoluteDeviation,0.16908222436904907,0.14274545013904572,6.177030900027603
"[8, 23]","['tanh', 'tanh']",09f9,700,Adam,MaxAbsoluteDeviation,0.2230740487575531,0.060953885316848755,6.3197708000661805
"[8, 8]","['tanh', 'elu']",0900,700,Adam,MaxAbsoluteDeviation,0.27333348989486694,0.10184785723686218,6.182647599955089
"[8, 23]","['tanh', 'elu']",09f0,700,Adam,MaxAbsoluteDeviation,0.2265436202287674,0.09489648789167404,6.250483599957079
[8],['tanh'],09,700,Adam,MaxAbsoluteDeviation,0.2059098780155182,0.12028585374355316,5.762437000055797
[8],['tanh'],09,700,Adam,MaxAbsoluteDeviation,0.19685405492782593,0.15209661424160004,5.685155600076541
[8],['tanh'],09,700,Adam,MaxAbsoluteDeviation,0.10652334988117218,0.06589391827583313,5.740180700086057
[8],['tanh'],09,700,Adam,MaxAbsoluteDeviation,0.12064732611179352,0.06377580761909485,5.724486700026318
[23],['tanh'],f9,700,Adam,MaxAbsoluteDeviation,0.1428866684436798,0.07551562041044235,5.637773899943568
[23],['tanh'],f9,700,Adam,MaxAbsoluteDeviation,0.09650516510009766,0.15037834644317627,5.725143000017852
