"[9, 22]","['tanh', 'swish']",19e8,190,Adam,MaxAbsoluteDeviation,0.14464040100574493,0.1461780071258545,0.8834648999618366
[9],['tanh'],19,100,Adam,MaxAbsoluteDeviation,0.9384480118751526,0.983013391494751,0.7173028000397608
[8],['tanh'],09,100,Adam,MaxAbsoluteDeviation,1.156691551208496,1.0168404579162598,0.5408278000541031
[8],['tanh'],09,100,Adam,MaxAbsoluteDeviation,0.9233471751213074,0.8666441440582275,0.5370858999667689
[23],['tanh'],f9,100,Adam,MaxAbsoluteDeviation,1.0099786520004272,1.0210812091827393,0.5427777000004426
[8],['tanh'],09,100,Adam,MaxAbsoluteDeviation,0.9224039316177368,0.8875682353973389,0.5385661999462172
"[8, 23]","['tanh', 'tanh']",09f9,100,Adam,MaxAbsoluteDeviation,0.2845691740512848,0.12237071990966797,0.6199579000240192
"[8, 23]","['tanh', 'tanh']",09f9,100,Adam,MaxAbsoluteDeviation,0.7627629041671753,0.47180432081222534,0.6100066000362858
"[8, 23, 20]","['tanh', 'tanh', 'swish']",09f9c8,100,Adam,MaxAbsoluteDeviation,0.24971020221710205,0.30013608932495117,0.7013619999634102
"[8, 23, 20]","['tanh', 'tanh', 'swish']",09f9c8,700,Adam,MaxAbsoluteDeviation,0.34513482451438904,0.27316713333129883,2.5187016000272706
"[8, 23, 20]","['tanh', 'tanh', 'swish']",09f9c8,700,Adam,MaxAbsoluteDeviation,0.06692685186862946,0.037183403968811035,2.5151752000674605
