"[18, 23, 23]","['elu', 'sigmoid', 'swish']",a0f6f8,667,Adam,MaxAbsoluteDeviation,0.20250727236270905,0.13358935713768005,2.713083299982827
[18],['elu'],a0,667,Adam,MaxAbsoluteDeviation,0.8752937912940979,0.9940800666809082,2.0850863000086974
[18],['elu'],a0,125,Adam,MaxAbsoluteDeviation,0.9713046550750732,1.0962740182876587,0.5921388000133447
[18],['tanh'],a9,125,Adam,MaxAbsoluteDeviation,0.972709596157074,1.0124340057373047,0.5720025000046007
[8],['tanh'],09,125,Adam,MaxAbsoluteDeviation,0.9725576043128967,1.0420525074005127,0.5757354999950621
[23],['tanh'],f9,125,Adam,MaxAbsoluteDeviation,0.9357684254646301,1.0041265487670898,0.569483900006162
[8],['tanh'],09,125,Adam,MaxAbsoluteDeviation,0.9749003648757935,1.123142123222351,0.5731492000049911
[8],['tanh'],09,700,Adam,MaxAbsoluteDeviation,0.9250765442848206,1.002781867980957,2.1629528000194114
"[8, 23]","['tanh', 'sigmoid']",09f6,700,Adam,MaxAbsoluteDeviation,0.6732124090194702,0.624933123588562,2.4777229000173975
[8],['tanh'],09f6,700,Adam,MaxAbsoluteDeviation,0.6732124090194702,1.0475270748138428,2.1581432000093628
"[8, 23]","['tanh', 'sigmoid']",09f6,700,Adam,MaxAbsoluteDeviation,0.6732124090194702,0.9385890960693359,1.004683399980422
[8],['tanh'],09f6,700,Adam,MaxAbsoluteDeviation,0.6732124090194702,0.852780282497406,2.1671184999868274
"[8, 23]","['tanh', 'swish']",09f8,700,Adam,MaxAbsoluteDeviation,0.6017966270446777,0.6285099983215332,2.508208499988541
"[8, 21]","['tanh', 'tanh']",09d9,700,Adam,MaxAbsoluteDeviation,0.22540712356567383,0.2542407512664795,2.4621838000020944
[8],['tanh'],09,700,Adam,MaxAbsoluteDeviation,0.8191966414451599,0.8565093278884888,2.1672191999969073
[8],['tanh'],09,700,Adam,MaxAbsoluteDeviation,0.9538764953613281,1.0572224855422974,2.1606872000265867
[8],['tanh'],09,700,Adam,MaxAbsoluteDeviation,0.8569587469100952,0.893889307975769,2.143067600001814
[8],['tanh'],09,700,Adam,MaxAbsoluteDeviation,0.8225120306015015,0.9604566097259521,2.1452724999981
[8],['tanh'],09,700,Adam,MaxAbsoluteDeviation,0.8630093336105347,0.9365657567977905,2.1595005999843124
[8],['swish'],08,700,Adam,MaxAbsoluteDeviation,0.8331018090248108,0.8622137308120728,2.2040065999899525
[8],['swish'],08,129,Adam,MaxAbsoluteDeviation,0.9856046438217163,1.080560326576233,0.600447200005874
[8],['swish'],08,100,Adam,MaxAbsoluteDeviation,0.9737794399261475,1.0732574462890625,0.5265011000155937
[8],['swish'],08,100,Adam,MaxAbsoluteDeviation,0.9807726144790649,1.038966417312622,0.5315566000062972
[8],['swish'],08,100,Adam,MaxAbsoluteDeviation,0.9679808020591736,1.0333248376846313,0.527076099999249
[23],['swish'],f8,100,Adam,MaxAbsoluteDeviation,0.9664326310157776,1.0171639919281006,0.5248434999957681
[23],['swish'],f8,700,Adam,MaxAbsoluteDeviation,0.9509084820747375,0.994083046913147,2.164226199995028
[23],['swish'],f8,700,Adam,MaxAbsoluteDeviation,0.8927911520004272,0.990559995174408,2.1932830000005197
[23],['swish'],f8,700,Adam,MaxAbsoluteDeviation,0.8243361115455627,0.8966537714004517,2.208341100020334
"[23, 10, 16]","['swish', 'swish', 'swish']",f82888,700,Adam,MaxAbsoluteDeviation,0.08111154288053513,0.08375313133001328,2.764416499994695
