"[20, 14]","['sigmoid', 'sigmoid']",c666,343,Adam,MaxAbsoluteDeviation,1.0056376457214355,1.0134344100952148,1.6230784999788739
[23],['sigmoid'],f6,343,Adam,MaxAbsoluteDeviation,0.9954334497451782,0.971352219581604,1.525818700029049
[8],['sigmoid'],06,343,Adam,MaxAbsoluteDeviation,1.0251046419143677,0.9964355230331421,1.550396400038153
[8],['sigmoid'],06,343,Adam,MaxAbsoluteDeviation,1.0115629434585571,0.9934460520744324,1.5103665000060573
[8],['sigmoid'],06,301,Adam,MaxAbsoluteDeviation,1.0043635368347168,0.9958398342132568,1.3613535999902524
[8],['sigmoid'],06,700,Adam,MaxAbsoluteDeviation,0.9924219846725464,0.9907822608947754,2.9285822000238113
[8],['sigmoid'],06,100,Adam,MaxAbsoluteDeviation,1.0077989101409912,0.999428391456604,0.6159927999833599
[8],['sigmoid'],06,100,Adam,MaxAbsoluteDeviation,1.0040878057479858,1.0230780839920044,0.6225769000011496
[8],['sigmoid'],06,100,Adam,MaxAbsoluteDeviation,1.0404407978057861,0.9971604347229004,0.6102407000144012
[8],['sigmoid'],06,100,Adam,MaxAbsoluteDeviation,1.0033327341079712,0.9998006224632263,0.6123234999831766
[8],['sigmoid'],06,100,Adam,MaxAbsoluteDeviation,1.0147472620010376,1.0478261709213257,0.609358899993822
[8],['elu'],00,100,Adam,MaxAbsoluteDeviation,1.0307815074920654,1.0279241800308228,0.6128833999973722
[8],['elu'],00,100,Adam,MaxAbsoluteDeviation,0.9802374243736267,1.0016491413116455,0.6204520000028424
[8],['tanh'],09,700,Adam,MaxAbsoluteDeviation,0.8674225807189941,0.8758415579795837,2.9019431000342593
[8],['tanh'],09,700,Adam,MaxAbsoluteDeviation,0.852289080619812,0.8488715291023254,2.8881896000239067
[8],['elu'],00,700,Adam,MaxAbsoluteDeviation,0.8996227979660034,0.9297279715538025,2.912275899958331
[23],['elu'],f0,700,Adam,MaxAbsoluteDeviation,0.8939053416252136,0.8413801193237305,2.9276735999737866
[23],['elu'],f0,700,Adam,MaxAbsoluteDeviation,0.9502980709075928,0.854900598526001,2.927181400009431
[23],['elu'],f0,700,Adam,MaxAbsoluteDeviation,0.9089939594268799,0.9223423004150391,2.930017000006046
[23],['elu'],f0,650,Adam,MaxAbsoluteDeviation,0.9252253174781799,0.9132000803947449,2.8797920999932103
[23],['tanh'],f9,650,Adam,MaxAbsoluteDeviation,0.8871259689331055,0.8599605560302734,2.694672600016929
[23],['sigmoid'],f6,650,Adam,MaxAbsoluteDeviation,0.9380782842636108,0.8821402192115784,2.7296000000205822
[23],['tanh'],f9,650,Adam,MaxAbsoluteDeviation,0.8890289068222046,0.8090212345123291,2.713181099970825
"[23, 19]","['tanh', 'tanh']",f9b9,650,Adam,MaxAbsoluteDeviation,0.13161368668079376,0.08751115202903748,2.8860127000370994
"[23, 19]","['tanh', 'tanh']",f9b9,700,Adam,MaxAbsoluteDeviation,0.1044534295797348,0.11509346961975098,3.1498712999746203
"[23, 19]","['tanh', 'tanh']",f9b9,700,Adam,MaxAbsoluteDeviation,0.06067502498626709,0.0596870481967926,3.1196004999801517
