"[23, 14]","['sigmoid', 'sigmoid']",f666,419,Adam,MaxAbsoluteDeviation,0.905099630355835,0.9611493945121765,1.4642150000145193
"[23, 8]","['sigmoid', 'tanh']",f609,700,Adam,MaxAbsoluteDeviation,0.6630537509918213,0.630919873714447,2.3308249000110663
"[23, 23]","['sigmoid', 'tanh']",f6f9,700,Adam,MaxAbsoluteDeviation,0.4817182123661041,0.5142339468002319,2.2982946999836713
"[23, 23]","['sigmoid', 'tanh']",f6f9,700,Adam,MaxAbsoluteDeviation,0.4817182123661041,0.9005025625228882,1.961157000012463
"[8, 23]","['sigmoid', 'tanh']",06f9,700,Adam,MaxAbsoluteDeviation,0.9138330817222595,0.9295952320098877,2.2680808000150137
"[8, 23]","['sigmoid', 'tanh']",06f9,700,Adam,MaxAbsoluteDeviation,1.0367491245269775,1.1312263011932373,2.297171799989883
"[8, 8]","['sigmoid', 'tanh']",0609,700,Adam,MaxAbsoluteDeviation,0.9808136224746704,1.0788904428482056,2.283288899983745
"[8, 8]","['sigmoid', 'tanh']",0609,700,Adam,MaxAbsoluteDeviation,0.9775137305259705,1.0112162828445435,2.2609749999828637
"[8, 8]","['sigmoid', 'tanh']",0609,700,Adam,MaxAbsoluteDeviation,0.955412745475769,1.023252010345459,2.268445599998813
"[8, 8]","['sigmoid', 'elu']",0600,700,Adam,MaxAbsoluteDeviation,0.9621464610099792,1.0969442129135132,2.3410246999992523
[23],['sigmoid'],f6,700,Adam,MaxAbsoluteDeviation,0.9636547565460205,1.098375916481018,2.1021312000229955
[23],['sigmoid'],f6,348,Adam,MaxAbsoluteDeviation,0.9563020467758179,1.0705355405807495,1.1247301000112202
[23],['elu'],f0,239,Adam,MaxAbsoluteDeviation,0.9485635161399841,0.9743489623069763,0.8477102000033483
[23],['elu'],f0,239,Adam,MaxAbsoluteDeviation,0.9257678985595703,1.0221223831176758,0.8360420999815688
[23],['elu'],f0,700,Adam,MaxAbsoluteDeviation,0.836031973361969,0.8879453539848328,2.0907097999879625
"[23, 19]","['elu', 'elu']",f0b0,700,Adam,MaxAbsoluteDeviation,0.640476405620575,0.7116454839706421,2.2831298999954015
"[23, 19]","['elu', 'sigmoid']",f0b6,700,Adam,MaxAbsoluteDeviation,0.10758518427610397,0.1152988076210022,2.2620164999971166
"[23, 19]","['elu', 'sigmoid']",f0b6,700,Adam,MaxAbsoluteDeviation,0.10758518427610397,0.5369619727134705,1.244335499999579
"[23, 19]","['elu', 'tanh']",f0b9,700,Adam,MaxAbsoluteDeviation,0.12960289418697357,0.17696258425712585,2.274928800005
"[23, 19]","['tanh', 'tanh']",f9b9,700,Adam,MaxAbsoluteDeviation,0.12595444917678833,0.13123869895935059,2.2712286000023596
"[23, 19, 22]","['tanh', 'tanh', 'tanh']",f9b9e9,700,Adam,MaxAbsoluteDeviation,0.11263059824705124,0.16401056945323944,2.4139023999741767
"[23, 8, 22]","['tanh', 'tanh', 'tanh']",f909e9,700,Adam,MaxAbsoluteDeviation,0.14862772822380066,0.1419675052165985,2.445458800008055
"[23, 8, 22]","['tanh', 'tanh', 'tanh']",f909e9,700,Adam,MaxAbsoluteDeviation,0.14796698093414307,0.1136467456817627,2.4392138000112027
"[23, 8, 22]","['tanh', 'tanh', 'tanh']",f909e9,700,Adam,MaxAbsoluteDeviation,0.11149600148200989,0.1535622477531433,2.396189899998717
"[23, 8, 22]","['tanh', 'tanh', 'tanh']",f909e9,700,Adam,MaxAbsoluteDeviation,0.1291314661502838,0.14451351761817932,2.41131639998639
"[23, 8, 22]","['tanh', 'tanh', 'tanh']",f909e9,251,Adam,MaxAbsoluteDeviation,0.453828901052475,0.43036067485809326,1.069961000001058
"[23, 8, 22]","['tanh', 'tanh', 'tanh']",f909e9,700,Adam,MaxAbsoluteDeviation,0.13723167777061462,0.18069171905517578,2.4203206000092905
"[23, 8, 22]","['tanh', 'tanh', 'tanh']",f909e9,700,Adam,MaxAbsoluteDeviation,0.11670782417058945,0.12586569786071777,2.422124300006544
"[8, 8, 22]","['tanh', 'tanh', 'tanh']",0909e9,700,Adam,MaxAbsoluteDeviation,0.19944676756858826,0.13539715111255646,2.3908989000192378
"[8, 8, 22]","['tanh', 'swish', 'tanh']",0908e9,700,Adam,MaxAbsoluteDeviation,0.13014116883277893,0.07225874066352844,2.3901784000045154
"[8, 8, 22]","['tanh', 'swish', 'tanh']",0908e9,700,Adam,MaxAbsoluteDeviation,0.15746185183525085,0.14270274341106415,2.4000132999790367
"[8, 8]","['tanh', 'swish']",0908e9,700,Adam,MaxAbsoluteDeviation,0.15746185183525085,0.8430671691894531,2.214582300017355
"[8, 8, 22]","['tanh', 'swish', 'tanh']",0908e9,700,Adam,MaxAbsoluteDeviation,0.09513913840055466,0.10286558419466019,2.3832927999901585
