"[13, 9]","['swish', 'sigmoid']",5816,103,Adam,MaxAbsoluteDeviation,0.8097432851791382,0.7879545092582703,0.7261779999826103
[13],['swish'],58,700,Adam,MaxAbsoluteDeviation,0.8567805886268616,0.8603797554969788,2.976800300006289
[8],['swish'],08,700,Adam,MaxAbsoluteDeviation,0.8815762400627136,0.8482452630996704,2.9173104999936186
[8],['swish'],08,700,Adam,MaxAbsoluteDeviation,0.8521112203598022,0.8511399626731873,2.927696199971251
[8],['swish'],08,700,Adam,MaxAbsoluteDeviation,0.8610352873802185,0.8839806914329529,2.9349505999707617
[8],['swish'],08,700,Adam,MaxAbsoluteDeviation,0.8444142937660217,0.8463851809501648,2.9253172000171617
[8],['tanh'],09,700,Adam,MaxAbsoluteDeviation,0.8691423535346985,0.8533338308334351,2.9180213999934494
[8],['tanh'],09,700,Adam,MaxAbsoluteDeviation,0.8246583938598633,0.8148084282875061,2.9159616999677382
[12],['tanh'],49,700,Adam,MaxAbsoluteDeviation,0.8055806756019592,0.7888844013214111,2.922949600033462
[12],['tanh'],49,700,Adam,MaxAbsoluteDeviation,0.8636494874954224,0.8499535918235779,2.9130532999988645
[12],['tanh'],49,700,Adam,MaxAbsoluteDeviation,0.8695285320281982,0.8386290073394775,2.912914599990472
[12],['tanh'],49,700,Adam,MaxAbsoluteDeviation,0.8813502192497253,0.9162150025367737,2.937859900004696
[12],['tanh'],49,700,Adam,MaxAbsoluteDeviation,0.8138946294784546,0.8367630243301392,2.8826948999776505
[12],['sigmoid'],46,700,Adam,MaxAbsoluteDeviation,0.9763116240501404,1.0024030208587646,2.8861750999931246
[8],['sigmoid'],06,700,Adam,MaxAbsoluteDeviation,0.9971650242805481,1.0148882865905762,2.93596949998755
[8],['sigmoid'],06,670,Adam,MaxAbsoluteDeviation,0.9762973785400391,0.9660966992378235,2.771317699982319
[8],['sigmoid'],06,670,Adam,MaxAbsoluteDeviation,0.9687253832817078,0.9617554545402527,2.7808429999859072
[8],['sigmoid'],06,670,Adam,MaxAbsoluteDeviation,0.8576553463935852,0.8321561813354492,2.9660556000308134
[23],['sigmoid'],f6,670,Adam,MaxAbsoluteDeviation,0.88290935754776,0.8488228917121887,2.7835659999982454
[23],['sigmoid'],f6,670,Adam,MaxAbsoluteDeviation,0.9209793210029602,0.8418484330177307,2.813674099976197
[23],['sigmoid'],f6,670,Adam,MaxAbsoluteDeviation,0.870305597782135,0.8865360617637634,2.795735500054434
[23],['sigmoid'],f6,670,Adam,MaxAbsoluteDeviation,0.9059812426567078,0.8491162061691284,2.7754694999894127
[23],['sigmoid'],f6,417,Adam,MaxAbsoluteDeviation,0.9916539788246155,1.0258890390396118,1.8151161999558099
[23],['sigmoid'],f6,700,Adam,MaxAbsoluteDeviation,0.8977109789848328,0.8402226567268372,2.9320799999986775
[23],['sigmoid'],f6,700,Adam,MaxAbsoluteDeviation,0.8863354325294495,0.8873395919799805,2.905773999984376
[23],['sigmoid'],f6,700,Adam,MaxAbsoluteDeviation,0.883878767490387,0.8803905248641968,2.9220951999886893
[23],['sigmoid'],f6,700,Adam,MaxAbsoluteDeviation,0.8751131296157837,0.8592640161514282,2.9178662999765947
[23],['elu'],f0,700,Adam,MaxAbsoluteDeviation,0.9457563161849976,0.9233658909797668,2.9129316000035033
[23],['elu'],f0,471,Adam,MaxAbsoluteDeviation,0.9268211722373962,0.9241921901702881,2.1598535000230186
[23],['elu'],f0,471,Adam,MaxAbsoluteDeviation,0.990304172039032,0.8583759665489197,1.9972401999984868
[8],['elu'],00,471,Adam,MaxAbsoluteDeviation,0.9095816016197205,0.8739389181137085,1.9949988999869674
[8],['tanh'],09,700,Adam,MaxAbsoluteDeviation,0.8497251868247986,0.8473140001296997,2.9328741999925114
[23],['tanh'],f9,700,Adam,MaxAbsoluteDeviation,0.9038271903991699,0.8462980389595032,2.9142731999745592
[8],['tanh'],09,700,Adam,MaxAbsoluteDeviation,0.8104264140129089,0.7748607397079468,2.875228999997489
[8],['tanh'],09,700,Adam,MaxAbsoluteDeviation,0.7989804148674011,0.7701711654663086,2.9245155000244267
[8],['tanh'],09,700,Adam,MaxAbsoluteDeviation,0.8080342411994934,0.8111209869384766,2.8985216000000946
[8],['tanh'],09,700,Adam,MaxAbsoluteDeviation,0.849070131778717,0.8377231359481812,2.912402399990242
"[8, 20]","['tanh', 'swish']",09c8,700,Adam,MaxAbsoluteDeviation,0.054792456328868866,0.0554288849234581,3.1733731999993324
