"[17, 11]","['tanh', 'swish']",9938,395,Adam,MaxAbsoluteDeviation,0.26570478081703186,0.09524255245923996,2.0555594000034034
"[17, 11, 13]","['tanh', 'swish', 'sigmoid']",993856,395,Adam,MaxAbsoluteDeviation,0.1580987572669983,0.12494727969169617,2.3559373000171036
[17],['tanh'],99,395,Adam,MaxAbsoluteDeviation,0.6139687895774841,0.5777145624160767,1.813884099945426
[17],['tanh'],99,700,Adam,MaxAbsoluteDeviation,0.2700050175189972,0.1394970417022705,3.0812783000292256
[8],['tanh'],09,700,Adam,MaxAbsoluteDeviation,0.24620772898197174,0.1994950920343399,3.0708321999991313
[23],['tanh'],f9,700,Adam,MaxAbsoluteDeviation,0.3483506739139557,0.28583893179893494,3.061983700026758
[23],['tanh'],f9,700,Adam,MaxAbsoluteDeviation,0.22500137984752655,0.21347808837890625,3.0801857999758795
[23],['tanh'],f9,700,Adam,MaxAbsoluteDeviation,0.18179163336753845,0.1912095546722412,3.0956529000541195
[23],['tanh'],f9,700,Adam,MaxAbsoluteDeviation,0.23539100587368011,0.13347813487052917,3.0763454000698403
[23],['tanh'],f9,700,Adam,MaxAbsoluteDeviation,0.20991861820220947,0.10821965336799622,3.053463299991563
[23],['tanh'],f9,700,Adam,MaxAbsoluteDeviation,0.20991861820220947,0.3100765347480774,3.0559485000558197
[23],['tanh'],f9,620,Adam,MaxAbsoluteDeviation,0.2712421417236328,0.35649538040161133,2.7175020000431687
[23],['sigmoid'],f6,620,Adam,MaxAbsoluteDeviation,0.8347266912460327,0.6760082840919495,2.716058599995449
[23],['tanh'],f9,620,Adam,MaxAbsoluteDeviation,0.3428105115890503,0.20975977182388306,2.7242935000685975
[8],['tanh'],09,620,Adam,MaxAbsoluteDeviation,0.2690693736076355,0.1796223521232605,2.701357700047083
"[8, 9]","['tanh', 'elu']",0910,620,Adam,MaxAbsoluteDeviation,0.09012220799922943,0.07846857607364655,3.0708290999755263
