"[19, 14]","['elu', 'elu']",b060,647,Adam,MaxAbsoluteDeviation,0.31309351325035095,0.2795518934726715,3.778330700006336
[19],['elu'],b0,647,Adam,MaxAbsoluteDeviation,0.49174001812934875,0.43682506680488586,3.0290297999745235
[8],['elu'],00,352,Adam,MaxAbsoluteDeviation,0.49174001812934875,2.0971477031707764,1.6311553999548778
[8],['elu'],00,647,Adam,MaxAbsoluteDeviation,0.7218142151832581,0.5317234992980957,2.9650490999920294
"[8, 19]","['elu', 'tanh']",00b9,647,Adam,MaxAbsoluteDeviation,0.27740657329559326,0.17035584151744843,3.733911099960096
"[8, 19]","['elu', 'tanh']",00b9,300,Adam,MaxAbsoluteDeviation,0.2089831829071045,0.09656549990177155,1.803998599993065
"[8, 19]","['elu', 'tanh']",00b9,100,Adam,MaxAbsoluteDeviation,0.2820985019207001,0.17339494824409485,0.8252107000444084
"[8, 23]","['elu', 'tanh']",00f9,100,Adam,MaxAbsoluteDeviation,0.266471803188324,0.0881965383887291,0.8248048999812454
[8],['elu'],00,100,Adam,MaxAbsoluteDeviation,0.266471803188324,3.035937786102295,0.6502938000485301
[8],['elu'],00,100,Adam,MaxAbsoluteDeviation,0.266471803188324,2.6888463497161865,0.6901757000014186
"[8, 23]","['elu', 'sigmoid']",00f6,100,Adam,MaxAbsoluteDeviation,0.577060341835022,0.39128097891807556,0.8191792999859899
"[8, 23]","['elu', 'sigmoid']",00f6,100,Adam,MaxAbsoluteDeviation,0.3679378628730774,0.35960957407951355,0.8199651000322774
"[23, 23]","['elu', 'sigmoid']",f0f6,100,Adam,MaxAbsoluteDeviation,0.5681225657463074,0.6772117018699646,0.8187395000131801
"[23, 23]","['elu', 'sigmoid']",f0f6,100,Adam,MaxAbsoluteDeviation,0.2018885761499405,0.20630216598510742,0.8274813999887556
[23],['elu'],f0,100,Adam,MaxAbsoluteDeviation,0.2018885761499405,2.6399571895599365,0.6461195000447333
"[23, 23]","['elu', 'sigmoid']",f0f6,100,Adam,MaxAbsoluteDeviation,0.41573378443717957,0.2870965003967285,0.8269304999848828
[23],['elu'],f0,100,Adam,MaxAbsoluteDeviation,0.41573378443717957,2.633513927459717,0.6462743000593036
"[23, 23]","['sigmoid', 'sigmoid']",f6f6,100,Adam,MaxAbsoluteDeviation,0.9365419745445251,0.6912984251976013,0.8219572999514639
[23],['tanh'],f9,100,Adam,MaxAbsoluteDeviation,0.9365419745445251,2.6661665439605713,0.6479034000076354
"[23, 23]","['tanh', 'sigmoid']",f9f6,100,Adam,MaxAbsoluteDeviation,0.48999541997909546,0.3854065239429474,0.8249302000040188
"[23, 23]","['tanh', 'sigmoid']",f9f6,100,Adam,MaxAbsoluteDeviation,0.27139341831207275,0.17576222121715546,0.8169168999884278
"[23, 8, 21]","['tanh', 'sigmoid', 'tanh']",f906d9,100,Adam,MaxAbsoluteDeviation,0.3974037766456604,0.21825502812862396,0.9794617000734434
"[23, 8]","['tanh', 'sigmoid']",f906,100,Adam,MaxAbsoluteDeviation,0.3974037766456604,0.4815875291824341,0.8111753000412136
"[23, 23, 21]","['tanh', 'sigmoid', 'tanh']",f9f6d9,100,Adam,MaxAbsoluteDeviation,0.5275169610977173,0.4650737941265106,0.974009900004603
"[23, 23, 21]","['tanh', 'sigmoid', 'tanh']",f9f6d9,700,Adam,MaxAbsoluteDeviation,0.16408546268939972,0.13804320991039276,4.696864899946377
"[8, 23, 21]","['tanh', 'sigmoid', 'tanh']",09f6d9,700,Adam,MaxAbsoluteDeviation,0.16408546268939972,0.18833480775356293,4.618377099977806
"[23, 23, 21]","['tanh', 'sigmoid', 'tanh']",f9f6d9,700,Adam,MaxAbsoluteDeviation,0.17838265001773834,0.10802064090967178,4.60253609996289
"[8, 23, 21]","['tanh', 'sigmoid', 'tanh']",09f6d9,700,Adam,MaxAbsoluteDeviation,0.2781664729118347,0.171915665268898,4.601079699932598
"[8, 23, 21]","['tanh', 'sigmoid', 'tanh']",09f6d9,517,Adam,MaxAbsoluteDeviation,0.19367480278015137,0.1104239672422409,3.4451236999593675
"[8, 23, 21]","['tanh', 'sigmoid', 'sigmoid']",09f6d6,517,Adam,MaxAbsoluteDeviation,0.0843789204955101,0.05011139065027237,3.3887193999253213
