"[13, 9]","['elu', 'tanh']",5019,490,Adam,0.17812129855155945,0.17812129855155945,0.09456934034824371,4.6867579000099795
"[13, 23]","['elu', 'tanh']",50f9,700,Adam,MaxAbsoluteDeviation,0.12286302447319031,0.07299705594778061,6.673725300002843
"[13, 23, 14]","['elu', 'tanh', 'elu']",50f960,700,Adam,MaxAbsoluteDeviation,0.3947252929210663,0.21673937141895294,8.167113199990126
"[13, 8, 14]","['elu', 'tanh', 'elu']",500960,700,Adam,MaxAbsoluteDeviation,0.28000107407569885,0.1407826542854309,8.049859299993841
"[13, 8, 14]","['elu', 'tanh', 'elu']",500960,287,Adam,MaxAbsoluteDeviation,0.28575727343559265,0.1639724224805832,3.4952695999963908
"[13, 8, 23]","['elu', 'tanh', 'elu']",5009f0,199,Adam,MaxAbsoluteDeviation,0.20609822869300842,0.13786035776138306,2.5135576000029687
"[23, 8, 8, 19]","['elu', 'tanh', 'elu', 'swish']",f00900b8,199,Adam,MaxAbsoluteDeviation,0.5175381898880005,0.17368187010288239,2.9624911999999313
"[23, 8, 8, 14]","['elu', 'tanh', 'elu', 'tanh']",f0090069,100,Adam,MaxAbsoluteDeviation,0.44011229276657104,0.43210265040397644,1.7284202000009827
"[8, 8, 8, 14]","['elu', 'tanh', 'elu', 'tanh']",00090069,100,Adam,MaxAbsoluteDeviation,0.26101893186569214,0.16295839846134186,1.7136501999921165
"[8, 8, 8, 14]","['elu', 'tanh', 'elu', 'tanh']",00090069,100,Adam,MaxAbsoluteDeviation,0.3026163578033447,0.1831970065832138,1.6889803999947617
"[8, 23, 8, 14]","['elu', 'tanh', 'elu', 'tanh']",00f90069,100,Adam,MaxAbsoluteDeviation,0.24975734949111938,0.1988140344619751,1.7147839999961434
"[8, 23, 8, 14]","['elu', 'tanh', 'elu', 'tanh']",00f90069,100,Adam,MaxAbsoluteDeviation,0.24975734949111938,0.5717456340789795,1.6769503999967128
"[8, 23, 8, 14]","['elu', 'tanh', 'elu', 'swish']",00f90068,100,Adam,MaxAbsoluteDeviation,0.2930048406124115,0.20927046239376068,1.7142269000032684
"[8, 23, 8]","['elu', 'tanh', 'elu']",00f900,100,Adam,MaxAbsoluteDeviation,0.42169806361198425,0.41665077209472656,1.4511272000090685
