[21],['sigmoid'],d6,615,Adam,2.325632333755493,2.325632333755493,2.2451229095458984,1.9113454000034835
[23],['sigmoid'],f6,615,Adam,MaxAbsoluteDeviation,2.5160086154937744,2.215240001678467,1.9181128999916837
[8],['sigmoid'],06,615,Adam,MaxAbsoluteDeviation,2.6093268394470215,2.413283348083496,1.9097213000059128
[8],['sigmoid'],06,615,Adam,MaxAbsoluteDeviation,2.1598141193389893,1.7225446701049805,1.9098967000027187
"[8, 13]","['sigmoid', 'swish']",0658,615,Adam,MaxAbsoluteDeviation,1.410536766052246,1.1811141967773438,2.098204699999769
"[8, 13]","['sigmoid', 'tanh']",0659,615,Adam,MaxAbsoluteDeviation,0.45894768834114075,0.23612117767333984,2.083331800007727
"[8, 13]","['sigmoid', 'tanh']",0659,615,Adam,MaxAbsoluteDeviation,0.45894768834114075,1.159006118774414,0.980454299991834
"[8, 13]","['sigmoid', 'tanh']",0659,615,Adam,MaxAbsoluteDeviation,0.5397139191627502,0.32413768768310547,2.085064200000488
"[8, 13, 23]","['sigmoid', 'tanh', 'sigmoid']",0659f6,615,Adam,MaxAbsoluteDeviation,0.1783422827720642,0.22533416748046875,2.251353100000415
"[8, 13, 23, 15]","['sigmoid', 'tanh', 'sigmoid', 'sigmoid']",0659f676,615,Adam,MaxAbsoluteDeviation,0.42707374691963196,0.26378941535949707,2.404648499999894
"[8, 13, 19, 15]","['sigmoid', 'tanh', 'sigmoid', 'sigmoid']",0659b676,615,Adam,MaxAbsoluteDeviation,0.3657011091709137,0.24592065811157227,2.4051050999987638
"[8, 13, 19, 15]","['sigmoid', 'tanh', 'sigmoid', 'sigmoid']",0659b676,615,Adam,MaxAbsoluteDeviation,0.45555782318115234,0.12925338745117188,2.3810597999981837
"[8, 13, 19, 15]","['sigmoid', 'tanh', 'sigmoid', 'sigmoid']",0659b676,700,Adam,MaxAbsoluteDeviation,0.216863751411438,0.14644622802734375,2.6588226000021677
"[8, 13, 19, 23]","['sigmoid', 'tanh', 'sigmoid', 'sigmoid']",0659b676,700,Adam,MaxAbsoluteDeviation,0.216863751411438,1.7170127630233765,0.7930011999997078
"[8, 13, 19, 15]","['sigmoid', 'tanh', 'sigmoid', 'sigmoid']",0659b676,700,Adam,MaxAbsoluteDeviation,0.3928627669811249,0.3934040069580078,2.6289284999947995
"[8, 13, 19, 15]","['sigmoid', 'tanh', 'sigmoid', 'sigmoid']",0659b676,262,Adam,MaxAbsoluteDeviation,1.4373962879180908,1.0911865234375,1.2476503999932902
"[8, 13, 19, 15]","['sigmoid', 'tanh', 'sigmoid', 'sigmoid']",0659b676,700,Adam,MaxAbsoluteDeviation,0.4546627104282379,0.6722221374511719,2.633065499991062
"[8, 13, 19, 15, 15]","['sigmoid', 'tanh', 'sigmoid', 'sigmoid', 'swish']",0659b67678,700,Adam,MaxAbsoluteDeviation,0.1932237595319748,0.2294635772705078,2.7799147999903653
"[8, 13, 19, 15]","['sigmoid', 'tanh', 'sigmoid', 'sigmoid']",0659b676,700,Adam,MaxAbsoluteDeviation,0.22590649127960205,0.33224010467529297,2.6282070000015665
"[8, 13, 19, 15]","['sigmoid', 'tanh', 'sigmoid', 'sigmoid']",0659b676,529,Adam,MaxAbsoluteDeviation,0.46485406160354614,0.19282376766204834,2.087640600002487
"[8, 13]","['sigmoid', 'tanh']",0659,434,Adam,MaxAbsoluteDeviation,0.44177737832069397,0.30048274993896484,1.503742599990801
"[8, 13]","['sigmoid', 'tanh']",0659,434,Adam,MaxAbsoluteDeviation,0.44177737832069397,0.49079930782318115,1.5042435000068508
"[8, 13]","['sigmoid', 'tanh']",0659,434,Adam,MaxAbsoluteDeviation,0.44177737832069397,0.39293956756591797,1.5212057000026107
"[23, 13]","['sigmoid', 'tanh']",f659,434,Adam,MaxAbsoluteDeviation,0.3701956868171692,0.185866579413414,1.5153597000025911
[23],['sigmoid'],f659,434,Adam,MaxAbsoluteDeviation,0.3701956868171692,3.0139429569244385,1.0956109999970067
[23],['sigmoid'],f659,434,Adam,MaxAbsoluteDeviation,0.3701956868171692,2.9279208183288574,1.4022981000016443
"[23, 13]","['sigmoid', 'tanh']",f659,434,Adam,MaxAbsoluteDeviation,0.28234395384788513,0.17090129852294922,1.5025218999944627
"[8, 13]","['sigmoid', 'tanh']",0659,700,Adam,MaxAbsoluteDeviation,0.2884334921836853,0.32465171813964844,2.2738644999917597
"[8, 13]","['sigmoid', 'tanh']",0659,700,Adam,MaxAbsoluteDeviation,0.3604063093662262,0.20754241943359375,2.275481199991191
"[8, 13, 12]","['sigmoid', 'tanh', 'sigmoid']",065946,673,Adam,MaxAbsoluteDeviation,0.1951049268245697,0.19636297225952148,2.3813106000015978
"[8, 13]","['sigmoid', 'tanh']",0659,673,Adam,MaxAbsoluteDeviation,0.30455994606018066,0.1431269645690918,2.1933160000044154
"[8, 13]","['sigmoid', 'tanh']",0659,700,Adam,MaxAbsoluteDeviation,0.20819194614887238,0.14246368408203125,2.254308300005505
"[8, 13]","['sigmoid', 'tanh']",0659,700,Adam,MaxAbsoluteDeviation,0.20819194614887238,0.19276142120361328,2.266146600013599
"[23, 13]","['sigmoid', 'tanh']",f659,700,Adam,MaxAbsoluteDeviation,0.21658290922641754,0.17809200286865234,2.2575879999931203
"[23, 13]","['elu', 'elu']",f050,700,Adam,MaxAbsoluteDeviation,0.19593945145606995,0.14662861824035645,2.2727374999958556
"[23, 13]","['elu', 'elu']",f050,700,Adam,MaxAbsoluteDeviation,0.4332062602043152,0.31542205810546875,2.2852452999941306
[23],['elu'],f050,700,Adam,MaxAbsoluteDeviation,0.4332062602043152,2.0245180130004883,2.138246699993033
"[23, 13]","['elu', 'elu']",f050,700,Adam,MaxAbsoluteDeviation,0.18681643903255463,0.3380870819091797,2.249739499995485
"[23, 13, 23]","['elu', 'elu', 'tanh']",f050f9,640,Adam,MaxAbsoluteDeviation,0.24085891246795654,0.4742879867553711,2.24358399999619
"[23, 13, 23, 11]","['elu', 'elu', 'tanh', 'sigmoid']",f050f936,618,Adam,MaxAbsoluteDeviation,0.34138497710227966,0.31692588329315186,2.2809450999920955
