"[17, 14, 8, 12]","['sigmoid', 'tanh', 'swish', 'elu']",96690840,117,Adam,MaxAbsoluteDeviation,0.9636643528938293,0.8138760924339294,1.1790048000402749
"[17, 14, 8]","['sigmoid', 'tanh', 'swish']",966908,117,Adam,MaxAbsoluteDeviation,0.7621026635169983,0.6252503395080566,1.0299603000748903
"[17, 14, 23, 19]","['sigmoid', 'tanh', 'swish', 'tanh']",9669f8b9,104,Adam,MaxAbsoluteDeviation,0.7621026635169983,1.2013704776763916,1.1496519999345765
"[17, 23, 8]","['sigmoid', 'elu', 'swish']",96f008,117,Adam,MaxAbsoluteDeviation,0.8549461960792542,0.28021106123924255,1.0083880999591202
"[17, 23, 8]","['sigmoid', 'elu', 'swish']",96f008,117,Adam,MaxAbsoluteDeviation,1.5411262512207031,1.689305305480957,1.0000797000247985
"[17, 23, 8]","['sigmoid', 'elu', 'swish']",96f008,700,Adam,MaxAbsoluteDeviation,0.3811964690685272,0.21205592155456543,4.112922399886884
"[17, 23]","['sigmoid', 'elu']",96f0,700,Adam,MaxAbsoluteDeviation,0.1760760098695755,0.13696372509002686,3.5426061000907794
"[17, 23]","['sigmoid', 'elu']",96f0,700,Adam,MaxAbsoluteDeviation,0.13266152143478394,0.06812909245491028,3.5753751000156626
"[17, 23]","['sigmoid', 'swish']",96f8,700,Adam,MaxAbsoluteDeviation,0.17641639709472656,0.26214686036109924,3.562644900055602
"[17, 23]","['sigmoid', 'swish']",96f8,682,Adam,MaxAbsoluteDeviation,0.52557373046875,0.17515899240970612,3.462256999919191
"[17, 23, 11]","['sigmoid', 'swish', 'sigmoid']",96f836,682,Adam,MaxAbsoluteDeviation,0.16431409120559692,0.09280987828969955,3.880986399948597
"[23, 23, 11]","['sigmoid', 'swish', 'sigmoid']",f6f836,682,Adam,MaxAbsoluteDeviation,0.16431409120559692,0.08668076992034912,3.8938019999768585
"[17, 23, 11]","['sigmoid', 'swish', 'sigmoid']",96f836,700,Adam,MaxAbsoluteDeviation,0.14897356927394867,0.14593516290187836,3.9526826000073925
"[17, 23, 11]","['elu', 'swish', 'sigmoid']",90f836,700,Adam,MaxAbsoluteDeviation,0.17115317285060883,0.11139052361249924,3.987364999949932
"[17, 23, 11]","['elu', 'swish', 'sigmoid']",90f836,700,Adam,MaxAbsoluteDeviation,0.13277707993984222,0.06695593148469925,3.9812181999441236
"[23, 23, 11]","['elu', 'swish', 'sigmoid']",f0f836,700,Adam,MaxAbsoluteDeviation,0.1762038618326187,0.06028999388217926,3.9193097000243142
"[23, 23]","['elu', 'swish']",f0f8,700,Adam,MaxAbsoluteDeviation,0.17016912996768951,0.14722630381584167,3.5097017000662163
"[23, 23]","['elu', 'swish']",f0f8,319,Adam,MaxAbsoluteDeviation,0.17016912996768951,0.09676844626665115,1.7004418999422342
"[23, 23]","['elu', 'swish']",f0f8,700,Adam,MaxAbsoluteDeviation,0.3465087413787842,0.13501335680484772,3.4241739000426605
"[23, 23, 19]","['elu', 'swish', 'sigmoid']",f0f8b6,700,Adam,MaxAbsoluteDeviation,0.3465087413787842,0.12833303213119507,3.8346242000116035
"[8, 23]","['elu', 'swish']",00f8,700,Adam,MaxAbsoluteDeviation,0.3813907504081726,0.19733692705631256,3.4733052999945357
"[8, 23]","['elu', 'swish']",00f8,700,Adam,MaxAbsoluteDeviation,0.3417547643184662,0.09605396538972855,3.4178913000505418
[8],['elu'],00,700,Adam,MaxAbsoluteDeviation,0.3417547643184662,0.4375292956829071,3.000993399997242
"[8, 23]","['tanh', 'swish']",09f8,700,Adam,MaxAbsoluteDeviation,0.13827888667583466,0.08406570553779602,3.412624799995683
"[8, 8]","['tanh', 'swish']",0908,700,Adam,MaxAbsoluteDeviation,0.1484827697277069,0.15482614934444427,3.3680641000391915
"[8, 8]","['tanh', 'swish']",0908,700,Adam,MaxAbsoluteDeviation,0.14759361743927002,0.14299654960632324,3.3990763999754563
"[8, 8]","['tanh', 'swish']",0908,700,Adam,MaxAbsoluteDeviation,0.1786850094795227,0.16697832942008972,3.3740446999436244
"[8, 8]","['tanh', 'swish']",0908,700,Adam,MaxAbsoluteDeviation,0.11230602115392685,0.09875450283288956,3.281867799931206
"[8, 8]","['tanh', 'swish']",0908,623,Adam,MaxAbsoluteDeviation,0.20706094801425934,0.10449152439832687,3.0170346000231802
"[8, 8]","['tanh', 'swish']",0908,493,Adam,MaxAbsoluteDeviation,0.09298455715179443,0.15586070716381073,2.4410874999593943
