"[18, 12]","['sigmoid', 'sigmoid']",a646,604,Adam,MaxAbsoluteDeviation,0.23401929438114166,0.26236286759376526,2.3286951000336558
[18],['sigmoid'],a6,604,Adam,MaxAbsoluteDeviation,0.4876151382923126,0.568177342414856,2.235081100021489
[23],['sigmoid'],f6,604,Adam,MaxAbsoluteDeviation,0.4314213991165161,0.5248928666114807,2.208990899962373
[23],['tanh'],f9,604,Adam,MaxAbsoluteDeviation,0.199321448802948,0.41088590025901794,2.2267160000046715
[23],['tanh'],f9,604,Adam,MaxAbsoluteDeviation,0.10479631274938583,0.22840473055839539,2.4586650000419468
"[23, 10]","['tanh', 'swish']",f928,700,Adam,MaxAbsoluteDeviation,0.10749438405036926,0.19018158316612244,2.7161606999579817
[23],['tanh'],f9,700,Adam,MaxAbsoluteDeviation,0.12491829693317413,0.47545352578163147,2.5270943999057636
[23],['sigmoid'],f6,700,Adam,MaxAbsoluteDeviation,0.4190683662891388,0.5837798118591309,2.535314799984917
[23],['sigmoid'],f6,700,Adam,MaxAbsoluteDeviation,0.5108683705329895,0.563398540019989,2.5714576999889687
[8],['sigmoid'],06,700,Adam,MaxAbsoluteDeviation,0.4637344479560852,0.5033689141273499,2.5352118000155315
[8],['sigmoid'],06,700,Adam,MaxAbsoluteDeviation,0.47433239221572876,0.5355049967765808,2.536934499978088
[8],['sigmoid'],06,700,Adam,MaxAbsoluteDeviation,0.5033196806907654,0.530954122543335,2.5270617000060156
[23],['sigmoid'],f6,700,Adam,MaxAbsoluteDeviation,0.40989014506340027,0.5606205463409424,2.531836500042118
[23],['sigmoid'],f6,572,Adam,MaxAbsoluteDeviation,0.47139090299606323,0.534235954284668,2.126586199970916
[8],['sigmoid'],06,572,Adam,MaxAbsoluteDeviation,0.4920240342617035,0.5303029417991638,2.107063699979335
"[23, 20]","['sigmoid', 'swish']",f6c8,572,Adam,MaxAbsoluteDeviation,0.12399168312549591,0.376128613948822,2.284440099960193
"[8, 20]","['sigmoid', 'tanh']",06c9,572,Adam,MaxAbsoluteDeviation,0.3407526910305023,0.4825398325920105,2.246483499999158
"[8, 20]","['sigmoid', 'tanh']",06c9,700,Adam,MaxAbsoluteDeviation,0.15045864880084991,0.2510615587234497,2.6689647000748664
"[8, 9]","['sigmoid', 'tanh']",0619,700,Adam,MaxAbsoluteDeviation,0.2731550931930542,0.5759491920471191,2.7050462000770494
[8],['sigmoid'],06,700,Adam,MaxAbsoluteDeviation,0.4321209192276001,0.5224581360816956,2.539838399970904
[8],['sigmoid'],06,700,Adam,MaxAbsoluteDeviation,0.46361038088798523,0.5248650908470154,2.549582100007683
[8],['sigmoid'],06,700,Adam,MaxAbsoluteDeviation,0.46347492933273315,0.5108132362365723,2.5509827999630943
[8],['sigmoid'],06,374,Adam,MaxAbsoluteDeviation,0.4899095892906189,0.5429149866104126,1.4532549000578001
[23],['sigmoid'],f6,700,Adam,MaxAbsoluteDeviation,0.23853372037410736,0.3872375190258026,2.5545232999138534
[23],['sigmoid'],f6,700,Adam,MaxAbsoluteDeviation,0.408102810382843,0.527451753616333,2.5589017000747845
[23],['sigmoid'],f6,700,Adam,MaxAbsoluteDeviation,0.471550852060318,0.5454092025756836,2.5411447000224143
[23],['sigmoid'],f6,700,Adam,MaxAbsoluteDeviation,0.46855294704437256,0.5414972901344299,2.525116499979049
[8],['sigmoid'],06,700,Adam,MaxAbsoluteDeviation,0.43050941824913025,0.5068274736404419,2.5333675999427214
[8],['sigmoid'],06,700,Adam,MaxAbsoluteDeviation,0.4862649142742157,0.5482812523841858,2.5121651999652386
[23],['sigmoid'],f6,700,Adam,MaxAbsoluteDeviation,0.46767479181289673,0.5355634093284607,2.825855299946852
[23],['sigmoid'],f6,700,Adam,MaxAbsoluteDeviation,0.47462227940559387,0.5266421437263489,2.531690899981186
[8],['sigmoid'],06,700,Adam,MaxAbsoluteDeviation,0.48201143741607666,0.5004734992980957,2.547773199970834
[8],['swish'],08,700,Adam,MaxAbsoluteDeviation,0.15507008135318756,0.2678143084049225,2.580250500002876
[8],['swish'],08,700,Adam,MaxAbsoluteDeviation,0.19089508056640625,0.3885461091995239,2.5492709999671206
[8],['elu'],00,700,Adam,MaxAbsoluteDeviation,0.2121100276708603,0.34310612082481384,2.5335753000108525
[8],['elu'],00,700,Adam,MaxAbsoluteDeviation,0.27158495783805847,0.3426918685436249,2.5471121999435127
[8],['elu'],00,100,Adam,MaxAbsoluteDeviation,0.5212088227272034,0.58940589427948,0.6239895999897271
[23],['tanh'],f9,100,Adam,MaxAbsoluteDeviation,0.3947147727012634,0.5789737701416016,0.6250302999978885
"[23, 18]","['tanh', 'tanh']",f9a9,100,Adam,MaxAbsoluteDeviation,0.19185133278369904,0.42926010489463806,0.6987143999431282
[23],['tanh'],f9,100,Adam,MaxAbsoluteDeviation,0.38572967052459717,0.7079495787620544,0.6221377999754623
[23],['tanh'],f9,700,Adam,MaxAbsoluteDeviation,0.1886497139930725,0.40110069513320923,2.5521661000093445
"[23, 16]","['tanh', 'elu']",f980,700,Adam,MaxAbsoluteDeviation,0.1291942000389099,0.28396785259246826,2.917559099965729
"[23, 16, 19]","['tanh', 'elu', 'tanh']",f980b9,700,Adam,MaxAbsoluteDeviation,0.06939911842346191,0.137265145778656,2.8508935999125242
