"[13, 15]","['tanh', 'sigmoid']",5976,129,Adam,MaxAbsoluteDeviation,0.2572116553783417,0.21408943831920624,0.8754244999727234
[13],['tanh'],59,129,Adam,MaxAbsoluteDeviation,2.2739028930664062,1.8615291118621826,0.7524071000516415
"[13, 19]","['tanh', 'tanh']",59b9,129,Adam,MaxAbsoluteDeviation,0.2797587215900421,0.1537831574678421,0.896621200023219
[13],['tanh'],59,129,Adam,MaxAbsoluteDeviation,0.2797587215900421,2.8261759281158447,0.7500026999041438
[13],['tanh'],59,100,Adam,MaxAbsoluteDeviation,0.2797587215900421,2.8342373371124268,0.6457182000158355
[13],['tanh'],59,700,Adam,MaxAbsoluteDeviation,0.22552800178527832,0.17072872817516327,3.0096173000056297
[8],['tanh'],09,332,Adam,MaxAbsoluteDeviation,1.0805847644805908,0.8656828999519348,1.5297147000674158
[8],['tanh'],09,100,Adam,MaxAbsoluteDeviation,1.0805847644805908,2.8036227226257324,0.6447829999960959
[8],['tanh'],09,100,Adam,MaxAbsoluteDeviation,1.0805847644805908,2.8929202556610107,0.6440567000536248
[8],['tanh'],09,332,Adam,MaxAbsoluteDeviation,1.244494915008545,1.0376663208007812,1.5309121999889612
[8],['tanh'],09,100,Adam,MaxAbsoluteDeviation,1.244494915008545,2.9647982120513916,0.6448101000860333
[8],['tanh'],09,332,Adam,MaxAbsoluteDeviation,1.2464052438735962,1.1033591032028198,1.5387781999306753
"[8, 8]","['tanh', 'elu']",0900,100,Adam,MaxAbsoluteDeviation,1.0701534748077393,0.800783097743988,0.7472053000237793
[8],['tanh'],09,700,Adam,MaxAbsoluteDeviation,0.26798075437545776,0.20809784531593323,3.053109799977392
[8],['tanh'],09,700,Adam,MaxAbsoluteDeviation,0.24996596574783325,0.25630879402160645,3.036230199970305
"[8, 19]","['tanh', 'tanh']",09b9,700,Adam,MaxAbsoluteDeviation,0.1262187510728836,0.14407500624656677,3.4063220000825822
[8],['tanh'],09,700,Adam,MaxAbsoluteDeviation,0.30516958236694336,0.1909085065126419,3.051357099902816
"[8, 22]","['tanh', 'swish']",09e8,700,Adam,MaxAbsoluteDeviation,0.11486287415027618,0.16528168320655823,3.4015824000816792
"[8, 22]","['tanh', 'swish']",09e8,605,Adam,MaxAbsoluteDeviation,0.1691197007894516,0.16284789144992828,3.0456763999536633
"[8, 22, 20]","['tanh', 'swish', 'swish']",09e8c8,605,Adam,MaxAbsoluteDeviation,0.1642599254846573,0.055797476321458817,3.398370699957013
"[8, 22, 20]","['tanh', 'swish', 'swish']",09e8c8,100,Adam,MaxAbsoluteDeviation,0.1642599254846573,0.43695738911628723,0.9098732999991626
"[8, 22, 20]","['tanh', 'swish', 'swish']",09e8c8,182,Adam,MaxAbsoluteDeviation,0.1642599254846573,0.26595473289489746,1.2957610000157729
"[8, 22, 20]","['tanh', 'tanh', 'swish']",09e9c8,605,Adam,MaxAbsoluteDeviation,0.29063114523887634,0.3368094861507416,3.3963456000201404
"[8, 23, 20]","['tanh', 'tanh', 'swish']",09f9c8,700,Adam,MaxAbsoluteDeviation,0.37743598222732544,0.16960148513317108,3.8058729000622407
"[8, 23, 20]","['tanh', 'tanh', 'swish']",09f9c8,700,Adam,MaxAbsoluteDeviation,0.7089338898658752,0.5553084015846252,3.8421866999706253
"[8, 23, 20]","['tanh', 'tanh', 'swish']",09f9c8,700,Adam,MaxAbsoluteDeviation,0.32813847064971924,0.13699905574321747,3.8332244000630453
"[8, 23, 20, 17]","['tanh', 'tanh', 'swish', 'tanh']",09f9c899,700,Adam,MaxAbsoluteDeviation,0.24846750497817993,0.2505567967891693,4.160243700025603
"[8, 23, 8, 17]","['tanh', 'tanh', 'swish', 'tanh']",09f90899,700,Adam,MaxAbsoluteDeviation,0.2031666785478592,0.1887437254190445,4.183240499929525
"[8, 23, 8, 8]","['tanh', 'tanh', 'swish', 'tanh']",09f90809,700,Adam,MaxAbsoluteDeviation,0.31199750304222107,0.1486349254846573,4.136155600077473
"[8, 23, 8, 8]","['tanh', 'tanh', 'swish', 'tanh']",09f90809,486,Adam,MaxAbsoluteDeviation,0.6141155362129211,0.6293884515762329,3.0277199000120163
"[8, 23, 8, 8]","['tanh', 'tanh', 'swish', 'tanh']",09f90809,486,Adam,MaxAbsoluteDeviation,0.4552367627620697,0.3487187325954437,2.9913296999875456
"[8, 23, 8, 8]","['tanh', 'elu', 'swish', 'tanh']",09f00809,486,Adam,MaxAbsoluteDeviation,0.20098431408405304,0.30413612723350525,2.955679400009103
