[13],['sigmoid'],56,594,Adam,2.605407953262329,2.605407953262329,2.5371737480163574,1.8794937999919057
"[23, 9]","['sigmoid', 'sigmoid']",f616,594,Adam,MaxAbsoluteDeviation,0.2484636753797531,0.33135414123535156,2.1370583000098122
"[23, 8]","['sigmoid', 'sigmoid']",f606,594,Adam,MaxAbsoluteDeviation,0.16089043021202087,0.10891437530517578,2.1568098999996437
"[23, 8]","['sigmoid', 'sigmoid']",f606,700,Adam,MaxAbsoluteDeviation,0.29049918055534363,0.18343544006347656,2.503790500006289
"[23, 8]","['sigmoid', 'sigmoid']",f606,630,Adam,MaxAbsoluteDeviation,0.3377613127231598,0.42606353759765625,2.2482848999934504
"[23, 8, 22]","['sigmoid', 'sigmoid', 'sigmoid']",f606e6,630,Adam,MaxAbsoluteDeviation,0.524396538734436,0.2939300537109375,2.517946599997231
"[23, 8, 22]","['sigmoid', 'sigmoid', 'sigmoid']",f606e6,630,Adam,MaxAbsoluteDeviation,0.2608244717121124,0.7467479705810547,2.5051098999974784
"[23, 23]","['sigmoid', 'sigmoid']",f6f6,630,Adam,MaxAbsoluteDeviation,0.26303255558013916,0.11063766479492188,2.2412448999966728
"[23, 23]","['sigmoid', 'sigmoid']",f6f6,700,Adam,MaxAbsoluteDeviation,0.22120217978954315,0.1905536651611328,2.499627299999702
[23],['sigmoid'],f6f6,700,Adam,MaxAbsoluteDeviation,0.22120217978954315,2.092482328414917,2.2031584000069415
"[23, 8]","['sigmoid', 'sigmoid']",f606,700,Adam,MaxAbsoluteDeviation,0.22586354613304138,0.3189067840576172,2.449992400011979
"[23, 8]","['sigmoid', 'elu']",f600,700,Adam,MaxAbsoluteDeviation,0.4407253563404083,0.4978656768798828,2.455151100002695
"[15, 8]","['sigmoid', 'elu']",f600,700,Adam,MaxAbsoluteDeviation,0.4407253563404083,2.4940242767333984,2.43610059999628
"[23, 8]","['sigmoid', 'elu']",f600,700,Adam,MaxAbsoluteDeviation,0.48978257179260254,0.5811758041381836,2.474730100002489
"[23, 8]","['sigmoid', 'elu']",f600,374,Adam,MaxAbsoluteDeviation,1.3858779668807983,1.270376205444336,1.4197633000003407
"[23, 8]","['sigmoid', 'tanh']",f609,374,Adam,MaxAbsoluteDeviation,0.5693381428718567,0.7030124664306641,1.4141624999901978
"[23, 8, 15]","['sigmoid', 'tanh', 'elu']",f60970,700,Adam,MaxAbsoluteDeviation,0.44482651352882385,0.1674346923828125,2.726006099997903
"[23, 8, 15]","['sigmoid', 'tanh', 'sigmoid']",f60976,700,Adam,MaxAbsoluteDeviation,0.4241594970226288,0.3313436508178711,2.7161052000010386
"[23, 8, 15]","['sigmoid', 'tanh', 'sigmoid']",f60976,635,Adam,MaxAbsoluteDeviation,0.4114103317260742,0.5075359344482422,2.46871299999475
"[23, 8, 23]","['sigmoid', 'tanh', 'sigmoid']",f609f6,635,Adam,MaxAbsoluteDeviation,0.19203315675258636,0.5263118743896484,2.450424999988172
"[23, 8, 23]","['sigmoid', 'tanh', 'sigmoid']",f609f6,547,Adam,MaxAbsoluteDeviation,0.29244863986968994,0.21300601959228516,2.1589584999892395
"[23, 8, 23]","['sigmoid', 'tanh', 'sigmoid']",f609f6,700,Adam,MaxAbsoluteDeviation,0.1962948590517044,0.10321688652038574,2.6817611000005854
"[23, 8, 23]","['tanh', 'tanh', 'sigmoid']",f909f6,700,Adam,MaxAbsoluteDeviation,0.260989785194397,0.11886215209960938,2.7009977999987314
"[23, 8, 8, 17]","['tanh', 'sigmoid', 'sigmoid', 'sigmoid']",f9060696,700,Adam,MaxAbsoluteDeviation,0.283817857503891,0.08426130563020706,2.9002595999918412
"[23, 23, 8, 17]","['tanh', 'sigmoid', 'sigmoid', 'sigmoid']",f9f60696,700,Adam,MaxAbsoluteDeviation,0.14441707730293274,0.23873329162597656,2.8837003000080585
"[23, 23, 8, 23]","['tanh', 'sigmoid', 'sigmoid', 'sigmoid']",f9f606f6,700,Adam,MaxAbsoluteDeviation,0.23725876212120056,0.6982803344726562,2.8705762999888975
"[23, 23, 8, 23]","['tanh', 'tanh', 'sigmoid', 'sigmoid']",f9f906f6,700,Adam,MaxAbsoluteDeviation,0.24880057573318481,0.4685201644897461,2.8743910000048345
"[23, 23, 8, 23]","['tanh', 'tanh', 'sigmoid', 'sigmoid']",f9f906f6,596,Adam,MaxAbsoluteDeviation,0.24254246056079865,0.27350521087646484,2.4806142000015825
"[23, 23, 8]","['tanh', 'tanh', 'sigmoid']",f9f906,596,Adam,MaxAbsoluteDeviation,0.25631287693977356,0.7891960144042969,2.26839199999813
"[23, 23]","['tanh', 'tanh']",f9f9,596,Adam,MaxAbsoluteDeviation,0.344441294670105,0.26953554153442383,2.0848112999956356
"[23, 23, 8]","['tanh', 'tanh', 'elu']",f9f900,596,Adam,MaxAbsoluteDeviation,0.28784897923469543,0.3215141296386719,2.268440700005158
"[23, 23, 8]","['swish', 'elu', 'elu']",f8f000,596,Adam,MaxAbsoluteDeviation,0.46317359805107117,0.10695648193359375,2.2851865999982692
"[23, 23, 8]","['swish', 'elu', 'elu']",f8f000,700,Adam,MaxAbsoluteDeviation,0.21761943399906158,0.16454172134399414,2.634088499995414
"[23, 23, 8]","['sigmoid', 'elu', 'elu']",f6f000,700,Adam,MaxAbsoluteDeviation,0.2925015985965729,0.5650882720947266,2.5876854000089224
"[23, 23, 8]","['sigmoid', 'elu', 'elu']",f6f000,700,Adam,MaxAbsoluteDeviation,0.2925015985965729,1.6317538022994995,2.5819671000062954
"[23, 23]","['sigmoid', 'elu']",f6f0,700,Adam,MaxAbsoluteDeviation,0.6817108392715454,0.48589324951171875,2.352471100006369
"[23, 23]","['sigmoid', 'elu']",f6f0,700,Adam,MaxAbsoluteDeviation,0.7257294654846191,0.583653450012207,2.3627519000001485
"[23, 23]","['sigmoid', 'elu']",f6f0,700,Adam,MaxAbsoluteDeviation,0.7257294654846191,3.303924560546875,0.6624265999998897
[23],['tanh'],f6f0,700,Adam,MaxAbsoluteDeviation,0.7257294654846191,2.8719472885131836,0.8429363999894122
"[23, 23]","['sigmoid', 'sigmoid']",f6f6,700,Adam,MaxAbsoluteDeviation,0.44372284412384033,0.5157203674316406,2.3732708000025013
"[23, 23]","['sigmoid', 'sigmoid']",f6f6,700,Adam,MaxAbsoluteDeviation,0.21592360734939575,0.2896728515625,2.3541816000069957
