"[17, 11, 13]","['swish', 'sigmoid', 'swish']",983658,688,Adam,MaxAbsoluteDeviation,0.3798699975013733,0.10305409878492355,4.1437516999430954
"[17, 11]","['swish', 'sigmoid']",9836,688,Adam,MaxAbsoluteDeviation,0.12238385528326035,0.04423996061086655,3.5614380000624806
"[8, 11]","['swish', 'sigmoid']",0836,688,Adam,MaxAbsoluteDeviation,0.2176777869462967,0.10330653190612793,3.5004464999074116
"[8, 11]","['swish', 'sigmoid']",0836,100,Adam,MaxAbsoluteDeviation,1.160233736038208,0.6430439352989197,0.7760236000176519
"[8, 11]","['swish', 'sigmoid']",0836,700,Adam,MaxAbsoluteDeviation,0.1316601037979126,0.10386616736650467,3.5812060999451205
"[8, 11]","['sigmoid', 'sigmoid']",0636,700,Adam,MaxAbsoluteDeviation,0.2207149714231491,0.08720047026872635,3.491563600022346
[8],['sigmoid'],06,700,Adam,MaxAbsoluteDeviation,0.4311533570289612,0.3691108226776123,3.054567200015299
[23],['sigmoid'],f6,700,Adam,MaxAbsoluteDeviation,0.4311533570289612,0.4573512673377991,3.0808682000497356
[8],['sigmoid'],06,653,Adam,MaxAbsoluteDeviation,0.3842144310474396,0.3566027283668518,2.885056500090286
[23],['sigmoid'],f6,653,Adam,MaxAbsoluteDeviation,0.7351647019386292,0.5763493180274963,2.889066700008698
[23],['sigmoid'],f6,539,Adam,MaxAbsoluteDeviation,0.7351647019386292,1.116660714149475,2.3907944000093266
[23],['sigmoid'],f6,529,Adam,MaxAbsoluteDeviation,0.7351647019386292,1.096101999282837,2.3486795000499114
[23],['sigmoid'],f6,503,Adam,MaxAbsoluteDeviation,1.209293007850647,1.0518927574157715,2.248261799919419
[23],['sigmoid'],f6,503,Adam,MaxAbsoluteDeviation,1.4988064765930176,1.308266043663025,2.2527702000224963
[8],['sigmoid'],06,503,Adam,MaxAbsoluteDeviation,0.7726948261260986,0.6159192323684692,2.1888542999513447
[8],['sigmoid'],06,503,Adam,MaxAbsoluteDeviation,1.0894317626953125,0.888700544834137,2.2387335000094026
[23],['sigmoid'],f6,283,Adam,MaxAbsoluteDeviation,1.0894317626953125,2.214115858078003,1.356074000010267
[8],['sigmoid'],06,700,Adam,MaxAbsoluteDeviation,0.6719866394996643,0.5553529858589172,3.064944799989462
[8],['sigmoid'],06,700,Adam,MaxAbsoluteDeviation,0.5998148918151855,0.5050533413887024,3.0591222998918965
[8],['sigmoid'],06,700,Adam,MaxAbsoluteDeviation,0.45004943013191223,0.4113120436668396,3.0891164999920875
[8],['sigmoid'],06,546,Adam,MaxAbsoluteDeviation,1.021138072013855,0.8167089819908142,2.400102899991907
[8],['sigmoid'],06,546,Adam,MaxAbsoluteDeviation,0.5205916166305542,0.47660258412361145,2.3952352999476716
[8],['swish'],08,546,Adam,MaxAbsoluteDeviation,0.7127159833908081,0.5738284587860107,2.4582597999833524
[23],['swish'],f8,546,Adam,MaxAbsoluteDeviation,0.8111506700515747,0.6162976026535034,2.4354886000510305
[23],['swish'],f8,546,Adam,MaxAbsoluteDeviation,0.6184865832328796,0.4920206665992737,2.438763999962248
[23],['swish'],f8,700,Adam,MaxAbsoluteDeviation,0.4211948812007904,0.47002002596855164,3.112623400054872
[23],['swish'],f8,700,Adam,MaxAbsoluteDeviation,0.5026163458824158,0.3823494017124176,3.1085679000243545
[23],['elu'],f0,700,Adam,MaxAbsoluteDeviation,0.2355906218290329,0.19226543605327606,3.1080058999359608
[8],['elu'],00,700,Adam,MaxAbsoluteDeviation,0.2355906218290329,0.9281495213508606,3.085173500003293
[23],['elu'],f0,700,Adam,MaxAbsoluteDeviation,0.25064006447792053,0.19044466316699982,3.0401703000534326
[23],['elu'],f0,270,Adam,MaxAbsoluteDeviation,0.25064006447792053,1.6124895811080933,1.2876520999707282
[8],['elu'],00,259,Adam,MaxAbsoluteDeviation,0.25064006447792053,1.9649755954742432,1.2535081999376416
[23],['elu'],f0,457,Adam,MaxAbsoluteDeviation,0.25064006447792053,0.3478567898273468,2.0681965000694618
[23],['elu'],f0,700,Adam,MaxAbsoluteDeviation,0.25064006447792053,0.16499854624271393,3.0785476999590173
[23],['elu'],f0,700,Adam,MaxAbsoluteDeviation,0.13598032295703888,0.06558386236429214,3.0872322999639437
[8],['elu'],00,700,Adam,MaxAbsoluteDeviation,0.3200863003730774,0.2691807448863983,3.083001399994828
[8],['elu'],00,700,Adam,MaxAbsoluteDeviation,0.3200863003730774,2.880004644393921,3.067845500074327
[8],['elu'],00,700,Adam,MaxAbsoluteDeviation,0.3200863003730774,2.8060102462768555,3.087756199995056
[23],['elu'],f0,700,Adam,MaxAbsoluteDeviation,0.2446141093969345,0.1492435783147812,3.1029601999325678
[8],['elu'],00,700,Adam,MaxAbsoluteDeviation,1.389353632926941,1.1906424760818481,3.0522481999360025
[8],['elu'],00,700,Adam,MaxAbsoluteDeviation,1.389353632926941,2.8610026836395264,3.0815734999487177
[8],['elu'],00,100,Adam,MaxAbsoluteDeviation,1.389353632926941,3.057368516921997,0.6491678999736905
[8],['elu'],00,700,Adam,MaxAbsoluteDeviation,0.32703840732574463,0.3926284909248352,3.054674300015904
[23],['elu'],f0,700,Adam,MaxAbsoluteDeviation,0.21276919543743134,0.13662296533584595,3.0950420000590384
[23],['elu'],f0,700,Adam,MaxAbsoluteDeviation,0.5253180861473083,0.5003339648246765,3.006578200031072
[23],['elu'],f0,394,Adam,MaxAbsoluteDeviation,0.5253180861473083,1.2644892930984497,1.7826350000686944
[23],['elu'],f0,700,Adam,MaxAbsoluteDeviation,0.10465962439775467,0.07872362434864044,3.078254099935293
[23],['elu'],f0,700,Adam,MaxAbsoluteDeviation,0.1259814202785492,0.08388225734233856,3.0870781999547035
[23],['elu'],f0,700,Adam,MaxAbsoluteDeviation,0.2091924101114273,0.1085522472858429,3.054524700040929
[8],['elu'],00,700,Adam,MaxAbsoluteDeviation,0.2091924101114273,0.5745359659194946,3.055523999966681
"[23, 12]","['elu', 'swish']",f048,700,Adam,MaxAbsoluteDeviation,0.2091924101114273,0.15578150749206543,3.5126446000067517
[23],['elu'],f0,700,Adam,MaxAbsoluteDeviation,0.12407629936933517,0.08243247866630554,3.079510199953802
[23],['elu'],f0,700,Adam,MaxAbsoluteDeviation,0.12407629936933517,0.11134225130081177,3.0667439999524504
[23],['elu'],f0,700,Adam,MaxAbsoluteDeviation,0.2845287024974823,0.26671698689460754,3.0285927000222728
[23],['elu'],f0,700,Adam,MaxAbsoluteDeviation,0.18762695789337158,0.06872713565826416,3.044747499981895
"[23, 13]","['elu', 'swish']",f058,700,Adam,MaxAbsoluteDeviation,0.18154306709766388,0.1384744644165039,3.547608399996534
"[23, 13]","['elu', 'swish']",f058,100,Adam,MaxAbsoluteDeviation,0.44818222522735596,0.3607478439807892,0.7689254999859259
"[23, 8]","['elu', 'swish']",f008,100,Adam,MaxAbsoluteDeviation,0.27153313159942627,0.2719285786151886,0.766780799953267
"[23, 8]","['elu', 'swish']",f008,100,Adam,MaxAbsoluteDeviation,0.8845714330673218,0.5657901167869568,0.7674248000839725
"[23, 8]","['elu', 'tanh']",f009,100,Adam,MaxAbsoluteDeviation,0.49963265657424927,0.38723036646842957,0.7546194999013096
"[8, 8]","['elu', 'tanh']",0009,100,Adam,MaxAbsoluteDeviation,0.40681952238082886,0.33710941672325134,0.7533461999846622
"[8, 8, 11]","['elu', 'tanh', 'sigmoid']",000936,100,Adam,MaxAbsoluteDeviation,0.2796686589717865,0.09011848270893097,0.8578760999953374
"[8, 8, 21]","['elu', 'tanh', 'sigmoid']",0009d6,100,Adam,MaxAbsoluteDeviation,0.1778401881456375,0.2628026008605957,0.8574345998931676
"[8, 8, 23]","['elu', 'tanh', 'sigmoid']",0009f6,100,Adam,MaxAbsoluteDeviation,0.22763198614120483,0.31537723541259766,0.8550275999587029
"[8, 8, 23]","['elu', 'tanh', 'sigmoid']",0009f6,700,Adam,MaxAbsoluteDeviation,0.1273626685142517,0.05824577435851097,3.8425585000077263
