"[8, 14, 10]","['elu', 'sigmoid', 'elu']",006620,126,Adam,MaxAbsoluteDeviation,0.22274121642112732,0.21846911311149597,1.068310200003907
"[8, 14]","['elu', 'sigmoid']",0066,126,Adam,MaxAbsoluteDeviation,0.16249477863311768,0.14428167045116425,0.9468417000025511
"[23, 8]","['elu', 'sigmoid']",f006,126,Adam,MaxAbsoluteDeviation,0.11492131650447845,0.126515731215477,0.9416947999270633
[23],['elu'],f0,126,Adam,MaxAbsoluteDeviation,0.5042603611946106,0.5314860343933105,0.8218942999374121
[23],['elu'],f0,126,Adam,MaxAbsoluteDeviation,0.402492880821228,0.36206912994384766,0.8127920998958871
"[23, 13]","['elu', 'tanh']",f059,126,Adam,MaxAbsoluteDeviation,0.09005248546600342,0.0938166081905365,0.9425344999181107
"[13, 15]","['elu', 'swish']",5078,119,Adam,MaxAbsoluteDeviation,0.13997264206409454,0.13015232980251312,1.1810236999299377
"[13, 15]","['elu', 'swish']",5078,100,Adam,MaxAbsoluteDeviation,0.33843177556991577,0.3158211410045624,0.9056655999738723
"[13, 15, 17]","['elu', 'swish', 'elu']",507890,119,Adam,MaxAbsoluteDeviation,0.2054852992296219,0.24241241812705994,1.0878790999995545
"[13, 15]","['elu', 'tanh']",5079,119,Adam,MaxAbsoluteDeviation,0.11242800205945969,0.14237521588802338,1.002947499975562
"[13, 15]","['elu', 'tanh']",5079,100,Adam,MaxAbsoluteDeviation,0.1839638203382492,0.168128103017807,0.8838718000333756
"[13, 15]","['elu', 'tanh']",5079,100,Adam,MaxAbsoluteDeviation,0.20446091890335083,0.27545759081840515,0.9039302000310272
"[23, 15]","['elu', 'tanh']",f079,100,Adam,MaxAbsoluteDeviation,0.15653668344020844,0.11529266089200974,0.8660498999524862
[23],['elu'],f0,100,Adam,MaxAbsoluteDeviation,0.47893041372299194,0.5830456018447876,0.7786977000068873
"[23, 15, 8]","['elu', 'tanh', 'tanh']",f07909,100,Adam,MaxAbsoluteDeviation,0.1147681325674057,0.18154343962669373,0.9671108999755234
"[23, 15, 8]","['elu', 'tanh', 'tanh']",f07909,100,Adam,MaxAbsoluteDeviation,0.12212139368057251,0.12160129845142365,1.1526474000420421
"[23, 15, 8]","['elu', 'tanh', 'tanh']",f07909,700,Adam,MaxAbsoluteDeviation,0.06627119332551956,0.13398630917072296,4.170607999898493
