"[9, 9]","['swish', 'elu']",1810,267,Adam,MaxAbsoluteDeviation,0.7816393971443176,0.7381062507629395,1.4035149000119418
[9],['swish'],18,267,Adam,MaxAbsoluteDeviation,0.9143591523170471,0.8866129517555237,1.2847763000172563
[9],['swish'],18,100,Adam,MaxAbsoluteDeviation,1.0017428398132324,1.0117870569229126,0.6458595999865793
[8],['swish'],08,700,Adam,MaxAbsoluteDeviation,0.8477041721343994,0.8815615773200989,2.9192551000160165
[23],['swish'],f8,700,Adam,MaxAbsoluteDeviation,0.8839210271835327,0.8534017205238342,2.9489156000199728
[23],['swish'],f8,424,Adam,MaxAbsoluteDeviation,0.8777405023574829,0.8620840311050415,1.8555139999953099
[23],['tanh'],f9,424,Adam,MaxAbsoluteDeviation,0.9166097044944763,0.9094420075416565,1.8024590000277385
[23],['tanh'],f9,424,Adam,MaxAbsoluteDeviation,0.8943625092506409,0.8657630681991577,1.8173425999702886
[23],['tanh'],f9,424,Adam,MaxAbsoluteDeviation,0.8888657689094543,0.8554412722587585,1.8438297000247985
[23],['elu'],f0,424,Adam,MaxAbsoluteDeviation,0.8940677046775818,0.8411797285079956,1.8423057000036351
"[23, 12]","['sigmoid', 'tanh']",f649,424,Adam,MaxAbsoluteDeviation,0.5843381881713867,0.5306510329246521,1.9864079999970272
"[23, 12]","['sigmoid', 'tanh']",f649,424,Adam,MaxAbsoluteDeviation,0.1950456202030182,0.16753730177879333,1.9638017999823205
"[23, 12]","['sigmoid', 'tanh']",f649,700,Adam,MaxAbsoluteDeviation,0.09063604474067688,0.05784022808074951,3.100537999998778
