"[14, 13, 15]","['sigmoid', 'swish', 'sigmoid']",665876,398,Adam,MaxAbsoluteDeviation,0.9265639781951904,1.049285650253296,1.9771683999570087
"[14, 13]","['sigmoid', 'swish']",6658,398,Adam,MaxAbsoluteDeviation,0.9864555597305298,1.0516400337219238,1.6887136999866925
"[14, 8]","['sigmoid', 'swish']",6608,398,Adam,MaxAbsoluteDeviation,0.9754083156585693,1.0319277048110962,1.7163148000254296
"[8, 8]","['sigmoid', 'swish']",0608,398,Adam,MaxAbsoluteDeviation,0.9320002794265747,1.0174652338027954,1.657775399973616
"[8, 8]","['sigmoid', 'swish']",0608,398,Adam,MaxAbsoluteDeviation,0.9821824431419373,1.0289809703826904,1.6592913000495173
[23],['sigmoid'],f6,294,Adam,MaxAbsoluteDeviation,0.9899466037750244,1.0613312721252441,1.0160256000235677
[23],['sigmoid'],f6,100,Adam,MaxAbsoluteDeviation,0.9681370258331299,1.0120196342468262,0.5262373999576084
[23],['sigmoid'],f6,100,Adam,MaxAbsoluteDeviation,0.959248960018158,1.0990440845489502,0.526163499976974
[23],['sigmoid'],f6,100,Adam,MaxAbsoluteDeviation,0.9811540246009827,1.0219248533248901,0.5246803999762051
[23],['sigmoid'],f6,100,Adam,MaxAbsoluteDeviation,1.045459508895874,1.0551941394805908,0.5195245000068098
[23],['sigmoid'],f6,100,Adam,MaxAbsoluteDeviation,0.9769025444984436,1.0404467582702637,0.5196743999840692
[8],['sigmoid'],06,100,Adam,MaxAbsoluteDeviation,0.9587151408195496,1.0280039310455322,0.5233608999988064
[8],['sigmoid'],06,100,Adam,MaxAbsoluteDeviation,0.9766535758972168,1.0432722568511963,0.5255006999941543
[8],['sigmoid'],06,700,Adam,MaxAbsoluteDeviation,0.9574021100997925,1.0492820739746094,2.3232770999893546
"[8, 8]","['swish', 'swish']",0808,700,Adam,MaxAbsoluteDeviation,0.42474165558815,0.4504550099372864,2.837524599977769
"[8, 8]","['swish', 'sigmoid']",0806,100,Adam,MaxAbsoluteDeviation,0.9586420655250549,1.0390496253967285,0.6513858999824151
