[10],['swish'],28,220,Adam,MaxAbsoluteDeviation,0.8014404773712158,0.5434226989746094,1.9610739999916404
[10],['elu'],20,220,Adam,MaxAbsoluteDeviation,1.0719174146652222,0.7502443194389343,1.9678906000917777
[23],['elu'],f0,220,Adam,MaxAbsoluteDeviation,0.3975367248058319,0.22415713965892792,1.9307043999433517
"[23, 16]","['elu', 'elu']",f080,220,Adam,MaxAbsoluteDeviation,0.3427791893482208,0.08180181682109833,2.1405334000010043
"[23, 23]","['elu', 'tanh']",f0f9,220,Adam,MaxAbsoluteDeviation,0.17872966825962067,0.1951555460691452,2.1058831000700593
"[23, 23, 11]","['elu', 'tanh', 'swish']",f0f938,220,Adam,MaxAbsoluteDeviation,0.2173687368631363,0.10544340312480927,2.4077781999949366
"[8, 23, 11]","['elu', 'tanh', 'swish']",00f938,135,Adam,MaxAbsoluteDeviation,0.26138120889663696,0.1242666020989418,1.5938384999753907
"[8, 23, 11]","['elu', 'tanh', 'tanh']",00f939,135,Adam,MaxAbsoluteDeviation,0.5651821494102478,0.4926621913909912,1.5712227000622079
"[8, 23, 11, 23]","['elu', 'tanh', 'tanh', 'swish']",00f939f8,135,Adam,MaxAbsoluteDeviation,0.3930515646934509,0.21254444122314453,2.7042343000648543
"[8, 8, 11, 23]","['elu', 'tanh', 'tanh', 'swish']",000939f8,100,Adam,MaxAbsoluteDeviation,0.5186402797698975,0.2060070037841797,1.5070760999806225
"[8, 8, 11, 23]","['elu', 'tanh', 'tanh', 'swish']",000939f8,100,Adam,MaxAbsoluteDeviation,0.6980744004249573,0.7107295989990234,1.4890143999364227
"[8, 8, 11, 23, 9]","['elu', 'tanh', 'elu', 'swish', 'swish']",000930f818,700,Adam,MaxAbsoluteDeviation,0.5505485534667969,0.25818920135498047,8.083313500043005
"[8, 8, 11, 23, 9, 9]","['elu', 'tanh', 'elu', 'swish', 'swish', 'elu']",000930f81810,700,Adam,MaxAbsoluteDeviation,0.2648320496082306,0.26170051097869873,8.59863000002224
"[8, 8, 11, 23, 9]","['elu', 'tanh', 'elu', 'swish', 'swish']",000930f818,700,Adam,MaxAbsoluteDeviation,0.15422040224075317,0.15910100936889648,7.888656200026162
"[8, 8, 11, 23, 9]","['elu', 'tanh', 'elu', 'swish', 'swish']",000930f818,700,Adam,MaxAbsoluteDeviation,0.24799984693527222,0.2687246799468994,7.974245300050825
"[8, 8, 11, 23, 9]","['elu', 'tanh', 'elu', 'swish', 'swish']",000930f818,345,Adam,MaxAbsoluteDeviation,0.4862630069255829,0.20342765748500824,4.170202100067399
"[8, 8, 11, 23]","['elu', 'tanh', 'elu', 'swish']",000930f8,345,Adam,MaxAbsoluteDeviation,0.14621306955814362,0.09243598580360413,3.9036346999928355
"[8, 8, 11, 23]","['elu', 'tanh', 'elu', 'swish']",000930f8,100,Adam,MaxAbsoluteDeviation,0.30287787318229675,0.07281631231307983,1.4669846999458969
