"[13, 16]","['sigmoid', 'tanh']",5689,274,Adam,MaxAbsoluteDeviation,0.9042531251907349,0.8116003274917603,1.3543928999570198
[13],['sigmoid'],56,274,Adam,MaxAbsoluteDeviation,1.0019986629486084,1.0014134645462036,1.2897784000379033
"[13, 20]","['sigmoid', 'swish']",56c8,274,Adam,MaxAbsoluteDeviation,0.9235321879386902,0.8823614716529846,1.4335593999712728
[13],['sigmoid'],56,274,Adam,MaxAbsoluteDeviation,1.0137088298797607,0.9908004999160767,1.2586567000253126
[13],['sigmoid'],56,700,Adam,MaxAbsoluteDeviation,0.9725139141082764,0.9960440993309021,2.9144948999746703
[13],['sigmoid'],56,700,Adam,MaxAbsoluteDeviation,0.9772438406944275,1.0167043209075928,2.9120573999825865
[8],['sigmoid'],06,700,Adam,MaxAbsoluteDeviation,0.860997200012207,0.8388941884040833,3.4574573999852873
[8],['sigmoid'],06,685,Adam,MaxAbsoluteDeviation,0.9240689277648926,0.9178073406219482,2.821994800004177
[8],['sigmoid'],06,700,Adam,MaxAbsoluteDeviation,0.8763765692710876,0.8886222243309021,2.9249304000404663
[8],['sigmoid'],06,700,Adam,MaxAbsoluteDeviation,0.863735556602478,0.8444840312004089,2.9022691999562085
[8],['sigmoid'],06,700,Adam,MaxAbsoluteDeviation,0.9796420335769653,0.9491385817527771,2.9041054000263102
[23],['elu'],f0,700,Adam,MaxAbsoluteDeviation,0.9062858819961548,0.8456341624259949,2.964949199988041
[23],['sigmoid'],f6,700,Adam,MaxAbsoluteDeviation,0.8810777068138123,0.8671901226043701,2.907638099975884
[8],['sigmoid'],06,700,Adam,MaxAbsoluteDeviation,0.8741578459739685,0.8573229908943176,2.8913416999857873
[8],['tanh'],09,700,Adam,MaxAbsoluteDeviation,0.8677628636360168,0.8544703125953674,2.925283999997191
[8],['tanh'],09,700,Adam,MaxAbsoluteDeviation,0.8148046135902405,0.7919865846633911,2.9340382000082172
[8],['tanh'],09,700,Adam,MaxAbsoluteDeviation,0.8460497260093689,0.8631516695022583,2.9412984999944456
[8],['swish'],08,700,Adam,MaxAbsoluteDeviation,0.8562637567520142,0.8564247488975525,2.969713300000876
[8],['swish'],08,700,Adam,MaxAbsoluteDeviation,0.8529670238494873,0.8609085083007812,2.9695692000095733
[23],['swish'],f8,700,Adam,MaxAbsoluteDeviation,0.8676416873931885,0.8623771071434021,2.9567142999731004
[8],['swish'],08,700,Adam,MaxAbsoluteDeviation,0.8557817339897156,0.8584937453269958,2.993104699999094
[8],['swish'],08,700,Adam,MaxAbsoluteDeviation,0.8650030493736267,0.854508638381958,2.9529610999743454
[8],['swish'],08,700,Adam,MaxAbsoluteDeviation,0.8551793694496155,0.8577302098274231,2.973009900015313
[8],['swish'],08,446,Adam,MaxAbsoluteDeviation,0.8662225604057312,0.8716079592704773,1.9713149999734014
[8],['swish'],08,446,Adam,MaxAbsoluteDeviation,0.8563604950904846,0.8453558683395386,1.938561099988874
[8],['swish'],08,446,Adam,MaxAbsoluteDeviation,0.8757669925689697,0.8574270606040955,1.9377708000247367
[8],['elu'],00,446,Adam,MaxAbsoluteDeviation,0.8870816230773926,0.8888512253761292,1.9395469999872148
[8],['elu'],00,446,Adam,MaxAbsoluteDeviation,0.902477502822876,0.9191285371780396,1.9303501000395045
[8],['swish'],08,446,Adam,MaxAbsoluteDeviation,0.8732188940048218,0.8601630926132202,1.937551200040616
"[8, 11]","['swish', 'tanh']",0839,700,Adam,MaxAbsoluteDeviation,0.04408303648233414,0.03579413518309593,3.1538265999988653
