"[18, 20]","['sigmoid', 'elu']",a6c0,172,Adam,MaxAbsoluteDeviation,0.9346550107002258,0.8173242211341858,1.5982713000266813
[18],['sigmoid'],a6,172,Adam,MaxAbsoluteDeviation,0.9896787405014038,0.9211283326148987,1.4455466999788769
[18],['swish'],a8,172,Adam,MaxAbsoluteDeviation,0.9341385364532471,0.8519919514656067,1.4876985999871977
"[18, 13]","['swish', 'swish']",a858,172,Adam,MaxAbsoluteDeviation,0.14252448081970215,0.09428811073303223,1.7007758999825455
"[18, 13]","['swish', 'swish']",a858,172,Adam,MaxAbsoluteDeviation,0.10607490688562393,0.08864961564540863,1.6491607999778353
"[18, 13]","['swish', 'elu']",a850,172,Adam,MaxAbsoluteDeviation,0.11022420227527618,0.06779603660106659,1.61229540000204
"[18, 8]","['swish', 'elu']",a800,172,Adam,MaxAbsoluteDeviation,0.1490187793970108,0.10620273649692535,1.6039731000200845
"[18, 8]","['swish', 'elu']",a800,100,Adam,MaxAbsoluteDeviation,0.41440707445144653,0.4073590934276581,1.1097815000102855
"[23, 8]","['swish', 'elu']",f800,172,Adam,MaxAbsoluteDeviation,0.1632618010044098,0.1308789849281311,1.6828332000295632
"[8, 8]","['swish', 'elu']",0800,172,Adam,MaxAbsoluteDeviation,0.43834415078163147,0.2817879319190979,1.6213190999696963
"[8, 8]","['swish', 'elu']",0800,123,Adam,MaxAbsoluteDeviation,0.8094325065612793,0.7458491325378418,1.2537315999506973
"[8, 8]","['swish', 'elu']",0800,110,Adam,MaxAbsoluteDeviation,0.8774139881134033,0.8216766119003296,1.162508399982471
[8],['swish'],08,700,Adam,MaxAbsoluteDeviation,0.7054792046546936,0.6609905362129211,5.1039619000512175
[8],['swish'],08,700,Adam,MaxAbsoluteDeviation,0.8193053603172302,0.7834502458572388,5.2945780999725685
[8],['swish'],08,700,Adam,MaxAbsoluteDeviation,0.9998331665992737,0.9337623715400696,5.310821900027804
[8],['swish'],08,700,Adam,MaxAbsoluteDeviation,0.8239141702651978,0.7799481153488159,5.117521499982104
[23],['swish'],f8,700,Adam,MaxAbsoluteDeviation,0.8008320331573486,0.7535568475723267,5.314663099998143
[23],['swish'],f8,700,Adam,MaxAbsoluteDeviation,0.5477369427680969,0.486001580953598,5.203911999997217
[23],['swish'],f8,700,Adam,MaxAbsoluteDeviation,0.7984668612480164,0.7527155876159668,5.240295699972194
[23],['swish'],f8,700,Adam,MaxAbsoluteDeviation,0.8447056412696838,0.8088127970695496,5.236033099994529
[23],['swish'],f8,310,Adam,MaxAbsoluteDeviation,0.8736018538475037,0.827240526676178,2.343849400000181
[23],['swish'],f8,310,Adam,MaxAbsoluteDeviation,0.8696424961090088,0.8293439745903015,2.398108499997761
[23],['swish'],f8,700,Adam,MaxAbsoluteDeviation,0.8013463616371155,0.7593206763267517,5.224858500005212
[23],['swish'],f8,700,Adam,MaxAbsoluteDeviation,0.800790548324585,0.7825404405593872,5.256657299993094
[23],['swish'],f8,700,Adam,MaxAbsoluteDeviation,0.6156522631645203,0.5856503248214722,5.1290031999815255
[23],['swish'],f8,700,Adam,MaxAbsoluteDeviation,0.6212867498397827,0.5430355668067932,5.312699000001885
[8],['swish'],08,700,Adam,MaxAbsoluteDeviation,0.8542782664299011,0.8220854997634888,5.2814732999540865
[8],['swish'],08,700,Adam,MaxAbsoluteDeviation,0.8412970900535583,0.8031430244445801,5.19173410005169
[8],['swish'],08,700,Adam,MaxAbsoluteDeviation,0.7684348821640015,0.734739363193512,5.345409000001382
[8],['swish'],08,410,Adam,MaxAbsoluteDeviation,0.8777154684066772,0.8313333988189697,3.089446099998895
"[8, 18]","['swish', 'elu']",08a0,700,Adam,MaxAbsoluteDeviation,0.06035167723894119,0.05405593290925026,5.683859799988568
