"[15, 13]","['tanh', 'elu']",7950,332,Adam,0.8454464673995972,0.8454464673995972,0.8857933282852173,1.2288169999956153
[8],['tanh'],09,332,Adam,MaxAbsoluteDeviation,0.9430966973304749,1.0034230947494507,1.1201100000034785
[8],['tanh'],09,332,Adam,MaxAbsoluteDeviation,0.9785341024398804,0.9876190423965454,1.111224400010542
"[8, 21, 23]","['tanh', 'tanh', 'elu']",09d9f0,332,Adam,MaxAbsoluteDeviation,0.5629172325134277,0.6547924280166626,1.3381018999934895
"[8, 21, 23, 12]","['tanh', 'tanh', 'elu', 'sigmoid']",09d9f046,332,Adam,MaxAbsoluteDeviation,0.6941034197807312,0.6601622700691223,1.4345298999978695
"[8, 21, 23]","['tanh', 'swish', 'elu']",09d8f0,332,Adam,MaxAbsoluteDeviation,0.10908940434455872,0.13743138313293457,1.3441299999976764
"[8, 21, 23]","['tanh', 'swish', 'elu']",09d8f0,700,Adam,MaxAbsoluteDeviation,0.2306082546710968,0.22786599397659302,2.462014899996575
"[8, 21]","['tanh', 'swish']",09d8,700,Adam,MaxAbsoluteDeviation,0.8274697661399841,0.852637529373169,2.3068934000039008
"[8, 21, 20]","['tanh', 'swish', 'elu']",09d8c0,700,Adam,MaxAbsoluteDeviation,0.20743757486343384,0.12607848644256592,2.4337477999943076
"[8, 21, 20]","['tanh', 'swish', 'elu']",09d8c0,700,Adam,MaxAbsoluteDeviation,0.2693745493888855,0.1778799295425415,2.4378593000001274
"[8, 21, 23, 13]","['tanh', 'swish', 'elu', 'tanh']",09d8f059,700,Adam,MaxAbsoluteDeviation,0.9980725049972534,1.0339899063110352,2.558494500000961
"[8, 21, 23, 13]","['tanh', 'swish', 'elu', 'tanh']",09d8f059,700,Adam,MaxAbsoluteDeviation,0.19086505472660065,0.196862131357193,2.556656600005226
"[8, 21, 23, 13, 17]","['tanh', 'swish', 'elu', 'tanh', 'swish']",09d8f05998,700,Adam,MaxAbsoluteDeviation,0.22848127782344818,0.23918315768241882,2.723410899998271
"[8, 21, 23, 13]","['tanh', 'swish', 'elu', 'tanh']",09d8f059,700,Adam,MaxAbsoluteDeviation,0.9851603507995605,1.0133963823318481,2.5484733000048436
"[23, 21, 23, 13]","['tanh', 'swish', 'elu', 'tanh']",f9d8f059,700,Adam,MaxAbsoluteDeviation,0.9789190888404846,1.0945672988891602,2.5544365999958245
"[23, 21, 23, 8]","['tanh', 'swish', 'elu', 'tanh']",f9d8f009,700,Adam,MaxAbsoluteDeviation,0.9528534412384033,1.103529453277588,2.540081099999952
"[23, 21, 23]","['tanh', 'swish', 'elu']",f9d8f0,700,Adam,MaxAbsoluteDeviation,0.24699825048446655,0.206126868724823,2.406467499997234
"[23, 21, 23]","['tanh', 'swish', 'sigmoid']",f9d8f6,700,Adam,MaxAbsoluteDeviation,0.1031513512134552,0.06660354137420654,2.3894295999925816
"[23, 21, 17]","['tanh', 'swish', 'swish']",f9d898,239,Adam,MaxAbsoluteDeviation,0.3421176075935364,0.25958046317100525,1.0739234999928158
"[23, 21, 17, 15]","['tanh', 'swish', 'swish', 'swish']",f9d89878,239,Adam,MaxAbsoluteDeviation,0.24347080290317535,0.3585279583930969,1.1900378999998793
"[23, 23, 17, 8, 10]","['tanh', 'swish', 'swish', 'swish', 'swish']",f9f8980828,239,Adam,MaxAbsoluteDeviation,0.27992069721221924,0.29140859842300415,1.2745254000037676
"[23, 23, 17, 8, 10]","['tanh', 'swish', 'swish', 'swish', 'swish']",f9f8980828,239,Adam,MaxAbsoluteDeviation,0.1626037359237671,0.15444982051849365,1.2706888999964576
"[23, 23, 17, 8, 8]","['tanh', 'swish', 'swish', 'swish', 'swish']",f9f8980808,239,Adam,MaxAbsoluteDeviation,0.12580232322216034,0.17606842517852783,1.28149459999986
"[23, 23, 17, 8]","['tanh', 'swish', 'swish', 'swish']",f9f8980808,239,Adam,MaxAbsoluteDeviation,0.12580232322216034,0.8292748332023621,0.7965609000093536
"[23, 23, 17, 8, 8]","['tanh', 'swish', 'swish', 'swish', 'swish']",f9f8980808,700,Adam,MaxAbsoluteDeviation,0.11942137032747269,0.13707393407821655,2.6686147000000346
"[23, 23, 17, 8, 8]","['tanh', 'swish', 'swish', 'swish', 'elu']",f9f8980800,700,Adam,MaxAbsoluteDeviation,0.17104433476924896,0.1261548101902008,6.792052800010424
"[23, 23, 17, 8, 8]","['tanh', 'swish', 'swish', 'swish', 'elu']",f9f8980800,700,Adam,MaxAbsoluteDeviation,0.17210611701011658,0.2174665629863739,3.455621600005543
"[23, 23, 17, 8]","['tanh', 'swish', 'swish', 'swish']",f9f89808,700,Adam,MaxAbsoluteDeviation,0.06651029735803604,0.0630272924900055,3.154943799992907
