[18],['elu'],a0,302,Adam,0.4835382103919983,0.4835382103919983,0.6200484037399292,1.0444063000031747
[8],['elu'],00,302,Adam,RootMeanSquaredError,0.47711479663848877,0.6110005378723145,1.0389562999916961
[8],['swish'],08,302,Adam,RootMeanSquaredError,0.5328157544136047,0.7096365094184875,1.0663988000014797
"[8, 17]","['swish', 'tanh']",0899,302,Adam,RootMeanSquaredError,0.20653365552425385,0.24167287349700928,1.2252318999962881
"[8, 17]","['sigmoid', 'elu']",0899,302,Adam,RootMeanSquaredError,0.20653365552425385,0.7276606559753418,1.2051994999928866
"[8, 17]","['swish', 'tanh']",0899,302,Adam,RootMeanSquaredError,0.20653365552425385,0.6129136681556702,0.8242634999915026
[8],['swish'],0899,302,Adam,RootMeanSquaredError,0.20653365552425385,0.7275298237800598,1.0739252000057604
[8],['swish'],0899,302,Adam,RootMeanSquaredError,0.20653365552425385,0.6334431767463684,1.071131000004243
[8],['swish'],08,302,Adam,RootMeanSquaredError,0.5014487504959106,0.6314241886138916,1.0759658000024501
[8],['swish'],08,100,Adam,RootMeanSquaredError,0.5371705889701843,0.6985520720481873,0.5665293000056408
[8],['swish'],08,700,Adam,RootMeanSquaredError,0.49759024381637573,0.6248395442962646,2.210378199990373
"[8, 19]","['swish', 'elu']",08b0,700,Adam,RootMeanSquaredError,0.06336448341608047,0.08061300218105316,2.4581350999942515
