"[16, 19, 21]","['swish', 'swish', 'sigmoid']",88b8d6,438,Adam,MaxAbsoluteDeviation,0.2345418781042099,0.22330161929130554,2.49643699999433
"[8, 19, 21]","['elu', 'swish', 'sigmoid']",00b8d6,438,Adam,MaxAbsoluteDeviation,0.2743639647960663,0.23420582711696625,2.44824050005991
"[8, 19, 21]","['elu', 'swish', 'sigmoid']",00b8d6,700,Adam,MaxAbsoluteDeviation,0.14872945845127106,0.09533271938562393,3.6539713999954984
"[8, 19, 21, 14]","['elu', 'swish', 'sigmoid', 'elu']",00b8d660,223,Adam,MaxAbsoluteDeviation,0.23429381847381592,0.38204842805862427,1.5574247000040486
"[23, 19, 21, 14]","['elu', 'swish', 'sigmoid', 'elu']",f0b8d660,223,Adam,MaxAbsoluteDeviation,0.22344110906124115,0.07134770601987839,1.538228900055401
"[23, 19, 21, 14]","['elu', 'swish', 'sigmoid', 'elu']",f0b8d660,100,Adam,MaxAbsoluteDeviation,1.4369088411331177,1.2233097553253174,0.9725388999795541
"[23, 19, 21, 14]","['elu', 'swish', 'sigmoid', 'elu']",f0b8d660,223,Adam,MaxAbsoluteDeviation,0.38639283180236816,0.1442321389913559,1.5418119999812916
"[23, 19, 21, 14]","['sigmoid', 'swish', 'sigmoid', 'elu']",f6b8d660,223,Adam,MaxAbsoluteDeviation,0.6707574725151062,0.4150182902812958,1.7636322000762448
"[23, 19, 21, 14]","['sigmoid', 'swish', 'tanh', 'elu']",f6b8d960,223,Adam,MaxAbsoluteDeviation,0.5013335347175598,0.17752550542354584,1.555806600023061
"[23, 19, 21, 14]","['sigmoid', 'swish', 'tanh', 'elu']",f6b8d960,100,Adam,MaxAbsoluteDeviation,1.4768118858337402,0.705048680305481,0.9751578000141308
"[23, 19, 21, 14]","['sigmoid', 'swish', 'tanh', 'elu']",f6b8d960,700,Adam,MaxAbsoluteDeviation,0.5927000641822815,0.0754946917295456,3.8507334999740124
"[23, 19]","['sigmoid', 'swish']",f6b8,700,Adam,MaxAbsoluteDeviation,0.18792438507080078,0.09643284976482391,3.4990949999773875
"[23, 8]","['sigmoid', 'swish']",f608,700,Adam,MaxAbsoluteDeviation,0.2199321985244751,0.12125414609909058,3.4973365000914782
"[23, 8]","['sigmoid', 'swish']",f608,700,Adam,MaxAbsoluteDeviation,0.3208426535129547,0.26655638217926025,3.4972821000264958
"[23, 8]","['sigmoid', 'swish']",f608,700,Adam,MaxAbsoluteDeviation,0.6492749452590942,0.6790128946304321,3.4405889000045136
"[23, 8, 18]","['sigmoid', 'swish', 'sigmoid']",f608a6,700,Adam,MaxAbsoluteDeviation,0.2614527940750122,0.0841221883893013,3.6237348000286147
"[23, 8]","['sigmoid', 'swish']",f608,700,Adam,MaxAbsoluteDeviation,0.20932184159755707,0.14899498224258423,3.511824000044726
"[23, 8]","['sigmoid', 'swish']",f608,700,Adam,MaxAbsoluteDeviation,0.43954598903656006,0.19239644706249237,3.671946100075729
"[23, 8]","['swish', 'swish']",f808,700,Adam,MaxAbsoluteDeviation,0.06270042061805725,0.07778723537921906,3.529046199982986
