"[22, 11]","['swish', 'elu']",e830,640,Adam,MaxAbsoluteDeviation,0.28609099984169006,0.2672405242919922,2.159811699995771
[22],['swish'],e8,640,Adam,MaxAbsoluteDeviation,0.695879340171814,0.7079370021820068,1.9889613999985158
[22],['elu'],e0,640,Adam,MaxAbsoluteDeviation,0.695879340171814,2.689650058746338,1.9608449999941513
[23],['swish'],f8,640,Adam,MaxAbsoluteDeviation,0.695879340171814,1.696142554283142,1.9588328000390902
[22],['swish'],e8,700,Adam,MaxAbsoluteDeviation,0.695879340171814,1.162435531616211,2.136829699971713
[22],['swish'],e8,700,Adam,MaxAbsoluteDeviation,1.0959270000457764,0.7427758574485779,2.152246700017713
[22],['swish'],e8,700,Adam,MaxAbsoluteDeviation,1.627325415611267,1.4854750633239746,2.1427582999458537
[8],['swish'],08,700,Adam,MaxAbsoluteDeviation,1.627325415611267,3.050051689147949,2.1529641000088304
[22],['swish'],e8,700,Adam,MaxAbsoluteDeviation,0.7322278022766113,0.7007749080657959,2.159902499988675
[22],['swish'],e8,437,Adam,MaxAbsoluteDeviation,0.7322278022766113,2.1017792224884033,1.398813399951905
[22],['swish'],e8,700,Adam,MaxAbsoluteDeviation,0.7322278022766113,2.4176597595214844,2.1528368999715894
[22],['swish'],e8,100,Adam,MaxAbsoluteDeviation,0.7322278022766113,2.4864659309387207,0.5286373000126332
[22],['swish'],e8,206,Adam,MaxAbsoluteDeviation,2.4771199226379395,2.184490203857422,0.7872777000302449
[8],['swish'],08,206,Adam,MaxAbsoluteDeviation,3.0813064575195312,3.0948715209960938,0.7869032000890002
[23],['swish'],f8,206,Adam,MaxAbsoluteDeviation,2.491558313369751,2.3868966102600098,0.7887493999442086
"[23, 15]","['swish', 'swish']",f878,100,Adam,MaxAbsoluteDeviation,0.6771745085716248,0.6284494400024414,0.6210011999355629
[17],['swish'],98,100,Adam,MaxAbsoluteDeviation,0.6771745085716248,3.6066765785217285,0.5265268000075594
"[23, 8]","['swish', 'swish']",f808,100,Adam,MaxAbsoluteDeviation,1.5700451135635376,1.6912050247192383,0.6401154000777751
"[23, 8]","['swish', 'swish']",f808,100,Adam,MaxAbsoluteDeviation,1.7002129554748535,1.3219032287597656,0.6272833999246359
[23],['swish'],f8,100,Adam,MaxAbsoluteDeviation,1.7002129554748535,3.0937652587890625,0.5274630000349134
"[23, 8, 21]","['swish', 'swish', 'sigmoid']",f808d6,100,Adam,MaxAbsoluteDeviation,0.6547569036483765,0.5824966430664062,0.6995554999448359
"[23, 23]","['swish', 'swish']",f8f8,100,Adam,MaxAbsoluteDeviation,0.9669987559318542,0.9294615387916565,0.6224593999795616
"[23, 23]","['swish', 'swish']",f8f8,100,Adam,MaxAbsoluteDeviation,0.9373030066490173,0.6932437419891357,0.6210313000483438
"[23, 23]","['swish', 'swish']",f8f8,700,Adam,MaxAbsoluteDeviation,0.32091808319091797,0.22156238555908203,2.336288599995896
"[8, 23]","['swish', 'swish']",08f8,700,Adam,MaxAbsoluteDeviation,0.4437757730484009,0.6348190307617188,2.309175100061111
"[8, 23]","['swish', 'swish']",08f8,700,Adam,MaxAbsoluteDeviation,0.4233919382095337,0.3529013395309448,2.317944800015539
"[23, 23]","['swish', 'swish']",f8f8,700,Adam,MaxAbsoluteDeviation,0.139960378408432,0.08527469635009766,2.329995600041002
"[8, 23]","['swish', 'swish']",08f8,700,Adam,MaxAbsoluteDeviation,0.139960378408432,0.2762889862060547,2.31849939993117
"[23, 23]","['swish', 'swish']",f8f8,291,Adam,MaxAbsoluteDeviation,0.139960378408432,0.21671468019485474,1.12676370004192
"[23, 23]","['swish', 'swish']",f8f8,318,Adam,MaxAbsoluteDeviation,0.7621899247169495,0.23907601833343506,1.21704779996071
"[23, 23]","['swish', 'swish']",f8f8,318,Adam,MaxAbsoluteDeviation,0.5953459739685059,0.20418310165405273,1.1921836999244988
[8],['swish'],08,318,Adam,MaxAbsoluteDeviation,0.5953459739685059,2.1559391021728516,1.0700402000220492
"[23, 23]","['swish', 'swish']",f8f8,100,Adam,MaxAbsoluteDeviation,0.6650433540344238,1.6409111022949219,0.6194331001024693
"[23, 23]","['swish', 'swish']",f8f8,700,Adam,MaxAbsoluteDeviation,0.2200811356306076,0.20223595201969147,2.30919920001179
"[23, 23]","['swish', 'swish']",f8f8,700,Adam,MaxAbsoluteDeviation,0.3449000418186188,0.2203655242919922,2.3244606000371277
"[23, 23, 11]","['swish', 'swish', 'sigmoid']",f8f836,700,Adam,MaxAbsoluteDeviation,0.21168559789657593,0.1270761489868164,2.479044699924998
"[23, 23, 11]","['swish', 'swish', 'sigmoid']",f8f836,314,Adam,MaxAbsoluteDeviation,0.5151474475860596,0.7933120727539062,1.3048421000130475
"[23, 23, 11]","['swish', 'swish', 'swish']",f8f838,314,Adam,MaxAbsoluteDeviation,0.5318983197212219,0.29006004333496094,1.3116029999218881
"[8, 23]","['swish', 'swish']",08f8,314,Adam,MaxAbsoluteDeviation,0.7769729495048523,0.5471830368041992,1.1824751000385731
"[8, 23, 16]","['swish', 'swish', 'tanh']",08f889,314,Adam,MaxAbsoluteDeviation,0.3504630923271179,0.41815972328186035,1.2852314999327064
"[8, 23, 16]","['swish', 'swish', 'tanh']",08f889,309,Adam,MaxAbsoluteDeviation,0.2781114876270294,0.2613563537597656,1.2668084999313578
"[8, 23, 23]","['swish', 'swish', 'tanh']",08f8f9,309,Adam,MaxAbsoluteDeviation,0.4153629541397095,0.5034885406494141,1.265022600069642
"[17, 23, 23]","['swish', 'swish', 'tanh']",98f8f9,309,Adam,MaxAbsoluteDeviation,0.2836219072341919,0.4668235778808594,1.2616729999426752
"[17, 23, 23, 18]","['swish', 'swish', 'tanh', 'sigmoid']",98f8f9a6,309,Adam,MaxAbsoluteDeviation,0.3749813735485077,1.0683135986328125,1.3684780999319628
"[17, 23, 23, 8]","['swish', 'swish', 'tanh', 'sigmoid']",98f8f906,309,Adam,MaxAbsoluteDeviation,0.3749813735485077,0.5519909858703613,1.3716403000289574
"[17, 23, 8, 18]","['swish', 'swish', 'tanh', 'sigmoid']",98f809a6,700,Adam,MaxAbsoluteDeviation,0.31953227519989014,0.12772178649902344,2.5553293999982998
"[17, 23, 8, 18]","['swish', 'swish', 'tanh', 'sigmoid']",98f809a6,700,Adam,MaxAbsoluteDeviation,0.22839012742042542,0.12015581130981445,2.5536845999304205
"[8, 23, 8, 18]","['swish', 'swish', 'tanh', 'sigmoid']",08f809a6,700,Adam,MaxAbsoluteDeviation,0.3438171446323395,0.3247413635253906,2.5583380999742076
"[23, 23, 8, 18]","['swish', 'swish', 'tanh', 'sigmoid']",f8f809a6,700,Adam,MaxAbsoluteDeviation,0.4922291040420532,0.22359848022460938,2.592819899902679
