"[13, 15, 10, 11]","['swish', 'elu', 'tanh', 'sigmoid']",58702936,692,Adam,MaxAbsoluteDeviation,0.3044680655002594,0.5126113891601562,2.4048545999685302
"[13, 15, 10]","['swish', 'elu', 'tanh']",587029,100,Adam,MaxAbsoluteDeviation,0.3044680655002594,1.024214744567871,0.6489947999361902
"[13, 15, 10]","['swish', 'elu', 'tanh']",587029,692,Adam,MaxAbsoluteDeviation,0.34491032361984253,0.3010892868041992,2.3080198999959975
"[8, 15]","['swish', 'elu']",0870,700,Adam,MaxAbsoluteDeviation,0.32151076197624207,0.309786319732666,2.1872454000404105
"[8, 15]","['swish', 'tanh']",0879,700,Adam,MaxAbsoluteDeviation,0.2067413181066513,0.1870431900024414,2.1883900000248104
"[23, 15]","['swish', 'tanh']",f879,700,Adam,MaxAbsoluteDeviation,0.20773234963417053,0.3926811218261719,2.186487099970691
[23],['swish'],f8,700,Adam,MaxAbsoluteDeviation,0.20773234963417053,1.2454721927642822,2.083370600012131
"[23, 23]","['swish', 'tanh']",f8f9,700,Adam,MaxAbsoluteDeviation,0.15163925290107727,0.15984153747558594,2.191394399967976
[8],['swish'],08,700,Adam,MaxAbsoluteDeviation,0.15163925290107727,2.92172908782959,2.069360399967991
"[23, 23]","['swish', 'tanh']",f8f9,700,Adam,MaxAbsoluteDeviation,0.4415224492549896,0.5933933258056641,2.186058499966748
"[23, 23]","['swish', 'tanh']",f8f9,616,Adam,MaxAbsoluteDeviation,0.13205260038375854,0.15505075454711914,1.9546932999510318
"[23, 23, 17]","['swish', 'tanh', 'tanh']",f8f999,100,Adam,MaxAbsoluteDeviation,0.3195180594921112,0.4439125061035156,0.6479394000489265
"[23, 23]","['swish', 'tanh']",f8f9,100,Adam,MaxAbsoluteDeviation,0.3195180594921112,0.5091714859008789,3.62471119989641
"[23, 23, 17]","['swish', 'tanh', 'tanh']",f8f999,100,Adam,MaxAbsoluteDeviation,0.6228059530258179,0.39040374755859375,0.7182868999661878
"[8, 23, 17]","['swish', 'tanh', 'tanh']",08f999,100,Adam,MaxAbsoluteDeviation,0.6219280362129211,0.28906679153442383,0.6948926000623032
"[8, 23, 17]","['swish', 'tanh', 'tanh']",08f999,100,Adam,MaxAbsoluteDeviation,0.5506041646003723,0.7047720551490784,0.6938601000001654
"[8, 23, 17]","['swish', 'tanh', 'tanh']",08f999,100,Adam,MaxAbsoluteDeviation,0.9350990056991577,0.44332122802734375,0.7005496999481693
"[8, 23, 17]","['swish', 'tanh', 'tanh']",08f999,100,Adam,MaxAbsoluteDeviation,0.8643607497215271,2.0078163146972656,0.6989790999796242
"[8, 23, 17, 8]","['swish', 'tanh', 'tanh', 'swish']",08f99908,100,Adam,MaxAbsoluteDeviation,0.3562431037425995,0.45568275451660156,0.800144600099884
"[8, 23, 17, 8]","['swish', 'tanh', 'tanh', 'swish']",08f99908,700,Adam,MaxAbsoluteDeviation,0.15506908297538757,0.4712409973144531,2.8875815999927
"[8, 23, 17]","['swish', 'tanh', 'tanh']",08f999,700,Adam,MaxAbsoluteDeviation,0.15506908297538757,0.35149669647216797,2.6055003999499604
"[8, 23, 17, 23]","['swish', 'tanh', 'tanh', 'swish']",08f999f8,700,Adam,MaxAbsoluteDeviation,0.15506908297538757,0.2177821397781372,2.863157600047998
"[8, 23, 17, 8]","['swish', 'tanh', 'tanh', 'swish']",08f99908,700,Adam,MaxAbsoluteDeviation,0.43617671728134155,0.5782012939453125,2.8678193000378087
"[8, 23, 17, 8]","['swish', 'tanh', 'tanh', 'swish']",08f99908,272,Adam,MaxAbsoluteDeviation,0.6169259548187256,0.4454011917114258,1.3453699999954551
"[8, 23, 17]","['swish', 'tanh', 'tanh']",08f999,272,Adam,MaxAbsoluteDeviation,0.20896263420581818,0.15530753135681152,1.1971459001069888
"[8, 23]","['swish', 'sigmoid']",08f6,272,Adam,MaxAbsoluteDeviation,0.39333802461624146,0.3939056396484375,1.0819923999952152
"[8, 23]","['swish', 'sigmoid']",08f6,272,Adam,MaxAbsoluteDeviation,0.30431342124938965,0.2811450958251953,1.073756100027822
"[8, 23]","['swish', 'sigmoid']",08f6,700,Adam,MaxAbsoluteDeviation,0.1976463347673416,0.08674240112304688,2.3741573999868706
"[8, 23]","['swish', 'sigmoid']",08f6,700,Adam,MaxAbsoluteDeviation,0.17065125703811646,0.08712005615234375,2.354843300068751
"[8, 23, 14]","['swish', 'sigmoid', 'elu']",08f660,700,Adam,MaxAbsoluteDeviation,0.2741945683956146,0.5640926361083984,2.539212099974975
"[8, 23, 14]","['swish', 'sigmoid', 'elu']",08f660,700,Adam,MaxAbsoluteDeviation,0.08084236085414886,0.39716148376464844,2.5783791999565437
