[18],['elu'],a0,231,Adam,RootMeanSquaredError,0.5167087316513062,0.6617071628570557,0.8327787000162061
[23],['sigmoid'],f6,231,Adam,RootMeanSquaredError,0.5622994303703308,0.7341864705085754,0.8703043000132311
[23],['tanh'],f9,231,Adam,RootMeanSquaredError,0.5002245903015137,0.642137348651886,0.8345527999917977
[23],['tanh'],f9,700,Adam,RootMeanSquaredError,0.38160574436187744,0.5109701156616211,2.0999216999916825
[23],['swish'],f8,700,Adam,RootMeanSquaredError,0.4997679889202118,0.6319052577018738,2.056748900009552
[23],['swish'],f8,700,Adam,RootMeanSquaredError,0.4933062791824341,0.6119687557220459,2.076454099995317
[23],['swish'],f8,563,Adam,RootMeanSquaredError,0.492990106344223,0.6094767451286316,1.7002070000162348
[8],['swish'],08,563,Adam,RootMeanSquaredError,0.4684007167816162,0.6193199157714844,1.9450921000097878
[8],['swish'],08,100,Adam,RootMeanSquaredError,0.5575975179672241,0.7328331470489502,0.5129848999786191
[8],['swish'],08,100,Adam,RootMeanSquaredError,0.5636757612228394,0.7408768534660339,0.51558509998722
[8],['swish'],08,100,Adam,RootMeanSquaredError,0.5681207776069641,0.7447873950004578,0.5223098999995273
"[8, 12]","['swish', 'tanh']",0849,100,Adam,RootMeanSquaredError,0.3585452139377594,0.4368455410003662,0.588814699993236
"[8, 12, 13]","['elu', 'tanh', 'tanh']",004959,100,Adam,RootMeanSquaredError,0.055702850222587585,0.055512577295303345,0.6502498000045307
